GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 01, 2022",SAC @ HOU,W,4,0,0,0,0,0,0
"Mar 30, 2022",SAC @ HOU,W,4,2,1,0,0,0,0
"Mar 26, 2022",SAC @ ORL,W,22,15,3,2,0,0,2
"Mar 23, 2022",SAC @ IND,W,18,5,2,2,1,0,0
"Mar 09, 2022",SAC vs. DEN,L,11,4,2,0,0,0,0
"Feb 26, 2022",SAC @ DEN,L,6,3,0,0,0,0,0
"Feb 08, 2022",SAC vs. MIN,L,19,4,3,1,1,0,3
"Feb 05, 2022",SAC vs. OKC,W,8,2,1,4,0,0,0
"Jan 26, 2022",SAC @ ATL,L,7,2,4,0,1,0,0
"Jan 16, 2022",SAC vs. HOU,L,13,1,4,2,0,1,0
"Jan 14, 2022",SAC vs. HOU,W,12,2,4,2,2,2,2
"Jan 12, 2022",SAC vs. LAL,W,18,8,3,3,1,0,3
"Jan 10, 2022",SAC vs. CLE,L,24,4,10,1,0,1,1
"Jan 09, 2022",SAC @ POR,L,23,16,10,0,0,0,0
"Jan 07, 2022",SAC @ DEN,L,28,18,10,2,2,0,0
"Jan 05, 2022",SAC vs. ATL,L,15,7,4,1,0,0,3
"Jan 04, 2022",SAC @ LAL,L,18,9,8,2,0,0,3
"Jan 02, 2022",SAC vs. MIA,W,17,4,3,2,0,0,2
"Dec 15, 2021",SAC vs. WAS,W,20,6,6,2,0,1,0
"Dec 13, 2021",SAC @ TOR,L,22,12,8,0,0,0,3
"Dec 11, 2021",SAC @ CLE,L,24,5,6,1,1,2,1
"Dec 10, 2021",SAC @ CHA,L,13,4,3,2,0,1,0
"Dec 08, 2021",SAC vs. ORL,W,17,6,4,0,1,2,2
"Dec 04, 2021",SAC vs. LAC,W,12,3,4,0,0,0,1
"Dec 01, 2021",SAC @ LAC,W,15,4,4,1,0,0,2
"Nov 30, 2021",SAC vs. LAL,L,12,3,1,1,1,0,1
"Nov 28, 2021",SAC @ MEM,L,7,0,1,0,0,0,1
"Nov 26, 2021",SAC @ LAL,W,37,12,8,0,0,1,1
"Nov 24, 2021",SAC vs. POR,W,17,12,3,2,0,1,0
"Nov 22, 2021",SAC vs. PHI,L,9,4,1,0,0,0,1
"Nov 20, 2021",SAC vs. UTA,L,12,5,7,1,0,1,0
"Nov 10, 2021",SAC @ SAS,L,15,8,6,1,0,1,1
"Nov 08, 2021",SAC vs. PHX,L,11,2,1,1,0,0,2
"Nov 07, 2021",SAC vs. IND,L,20,5,5,3,0,3,1
"Nov 03, 2021",SAC vs. NOP,W,21,12,5,2,0,3,2
"Nov 02, 2021",SAC @ UTA,L,15,4,5,3,1,1,0
"Oct 29, 2021",SAC @ NOP,W,16,4,4,0,0,2,3
"Oct 27, 2021",SAC @ PHX,W,18,10,3,1,1,1,2
"Oct 22, 2021",SAC vs. UTA,L,23,8,4,0,0,1,0
