GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",PHX vs. SAC,L,26,14,9,1,0,2,0
"Apr 06, 2022",PHX @ LAC,L,30,14,12,2,1,1,0
"Apr 05, 2022",PHX vs. LAL,W,5,0,1,0,0,0,1
"Apr 03, 2022",PHX @ OKC,L,22,7,6,2,0,1,0
"Mar 30, 2022",PHX @ GSW,W,9,2,4,0,0,0,2
"Mar 27, 2022",PHX vs. PHI,W,17,6,7,0,0,2,1
"Mar 24, 2022",PHX @ DEN,W,5,2,1,0,0,0,0
"Mar 23, 2022",PHX @ MIN,W,4,0,1,0,0,0,0
"Mar 20, 2022",PHX @ SAC,W,8,0,0,0,0,0,1
"Mar 18, 2022",PHX vs. CHI,W,6,6,1,0,0,0,0
"Mar 16, 2022",PHX @ HOU,W,6,2,1,0,0,0,1
"Mar 15, 2022",PHX @ NOP,W,4,0,0,1,0,0,0
"Mar 13, 2022",PHX vs. LAL,W,11,3,3,0,0,1,1
"Mar 11, 2022",PHX vs. TOR,L,10,4,2,1,0,2,2
"Mar 09, 2022",PHX @ MIA,W,3,2,1,0,0,0,0
"Mar 06, 2022",PHX @ MIL,L,13,0,3,0,2,1,1
"Mar 04, 2022",PHX vs. NYK,W,8,0,2,1,0,1,1
"Mar 02, 2022",PHX vs. POR,W,9,3,4,1,0,1,1
"Feb 25, 2022",PHX vs. NOP,L,3,0,1,0,0,0,0
"Feb 12, 2022",PHX vs. ORL,W,7,2,2,0,0,0,1
"Feb 10, 2022",PHX vs. MIL,W,11,9,2,0,0,0,0
"Feb 07, 2022",PHX @ CHI,W,1,0,0,0,0,0,0
"Feb 05, 2022",PHX @ WAS,W,10,1,6,0,1,0,1
"Feb 01, 2022",PHX vs. BKN,W,6,0,1,0,0,0,0
"Jan 30, 2022",PHX vs. SAS,W,22,10,11,2,0,1,1
"Jan 28, 2022",PHX vs. MIN,W,29,14,12,0,0,0,2
"Jan 26, 2022",PHX @ UTA,W,29,12,6,0,1,2,0
"Jan 24, 2022",PHX vs. UTA,W,31,16,13,1,0,1,0
"Jan 22, 2022",PHX vs. IND,W,30,21,13,5,1,2,2
"Jan 20, 2022",PHX @ DAL,W,28,9,4,1,2,0,2
"Jan 17, 2022",PHX @ SAS,W,25,17,14,1,1,0,1
"Jan 16, 2022",PHX @ DET,W,14,7,4,0,0,1,1
"Jan 11, 2022",PHX @ TOR,W,5,0,5,0,0,0,2
"Jan 06, 2022",PHX vs. LAC,W,13,0,3,0,0,3,0
"Jan 04, 2022",PHX @ NOP,W,29,16,6,3,2,3,0
"Jan 02, 2022",PHX @ CHA,W,18,11,6,1,1,1,0
