GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",ATL @ HOU,W,28,14,6,7,2,0,0
"Apr 08, 2022",ATL @ MIA,L,36,25,7,2,2,0,0
"Apr 06, 2022",ATL vs. WAS,W,28,18,2,4,0,0,0
"Apr 05, 2022",ATL @ TOR,L,32,19,9,3,0,1,1
"Apr 02, 2022",ATL vs. BKN,W,24,8,1,2,2,0,1
"Mar 31, 2022",ATL vs. CLE,W,22,11,2,0,1,0,1
"Mar 30, 2022",ATL @ OKC,W,22,20,2,3,2,0,2
"Mar 28, 2022",ATL @ IND,W,29,29,5,0,0,0,1
"Mar 23, 2022",ATL @ DET,L,28,13,2,2,2,0,2
"Mar 22, 2022",ATL @ NYK,W,34,32,4,3,3,0,1
"Mar 20, 2022",ATL vs. NOP,L,33,21,4,3,0,0,3
"Mar 18, 2022",ATL vs. MEM,W,30,30,2,3,3,0,1
"Mar 16, 2022",ATL @ CHA,L,32,12,4,2,0,0,0
"Mar 14, 2022",ATL vs. POR,W,24,9,3,6,2,0,0
"Mar 13, 2022",ATL vs. IND,W,31,13,4,6,1,1,2
"Mar 11, 2022",ATL vs. LAC,W,28,11,3,6,1,0,1
"Mar 09, 2022",ATL @ MIL,L,31,9,6,4,2,0,2
"Mar 07, 2022",ATL @ DET,L,39,22,5,6,0,2,1
"Mar 04, 2022",ATL @ WAS,W,35,17,6,2,2,0,1
"Mar 03, 2022",ATL vs. CHI,W,31,20,4,2,0,2,0
"Mar 01, 2022",ATL @ BOS,L,37,25,4,3,1,0,2
"Feb 26, 2022",ATL vs. TOR,W,29,14,6,2,2,0,3
"Feb 24, 2022",ATL @ CHI,L,38,27,5,3,1,1,2
"Feb 16, 2022",ATL @ ORL,W,26,23,1,6,2,0,1
"Feb 15, 2022",ATL vs. CLE,W,29,10,7,3,4,0,2
"Feb 13, 2022",ATL @ BOS,L,38,26,6,2,1,0,1
"Feb 11, 2022",ATL vs. SAS,L,30,23,5,4,2,0,1
"Feb 08, 2022",ATL vs. IND,W,21,13,2,2,0,0,0
"Feb 06, 2022",ATL @ DAL,L,23,5,6,3,1,0,1
"Feb 04, 2022",ATL @ TOR,L,34,18,4,5,4,1,3
"Feb 03, 2022",ATL vs. PHX,W,36,11,2,6,1,0,4
"Jan 31, 2022",ATL vs. TOR,L,31,18,5,4,0,0,0
"Jan 30, 2022",ATL vs. LAL,W,27,10,5,3,1,0,1
"Jan 28, 2022",ATL vs. BOS,W,28,19,3,3,2,0,1
"Jan 26, 2022",ATL vs. SAC,W,23,18,3,7,1,0,1
"Jan 14, 2022",ATL @ MIA,L,23,7,3,5,0,0,1
"Jan 12, 2022",ATL vs. MIA,L,32,15,5,2,1,1,1
"Jan 09, 2022",ATL @ LAC,L,31,19,6,3,2,0,1
"Jan 07, 2022",ATL @ LAL,L,27,15,4,2,1,0,2
"Dec 27, 2021",ATL vs. CHI,L,41,20,4,3,0,1,0
"Dec 25, 2021",ATL @ NYK,L,36,8,5,4,1,0,2
"Dec 23, 2021",ATL @ PHI,W,28,15,5,2,0,0,2
"Dec 22, 2021",ATL vs. ORL,L,22,6,2,2,2,0,0
"Nov 27, 2021",ATL vs. NYK,L,10,2,1,1,1,0,0
"Nov 26, 2021",ATL @ MEM,W,26,8,7,4,0,0,1
"Nov 24, 2021",ATL @ SAS,W,30,18,5,3,1,2,1
"Nov 22, 2021",ATL vs. OKC,W,27,13,5,0,1,0,0
"Nov 20, 2021",ATL vs. CHA,W,24,7,1,2,0,0,0
"Nov 17, 2021",ATL vs. BOS,W,32,12,1,6,0,0,0
"Nov 15, 2021",ATL vs. ORL,W,29,20,1,4,1,0,1
"Nov 14, 2021",ATL vs. MIL,W,30,6,4,2,0,0,1
"Nov 12, 2021",ATL @ DEN,L,30,10,2,3,1,0,1
"Nov 08, 2021",ATL @ GSW,L,31,17,1,2,0,1,2
"Nov 06, 2021",ATL @ PHX,L,29,18,7,0,0,0,2
"Nov 04, 2021",ATL vs. UTA,L,30,8,5,2,0,0,1
"Nov 03, 2021",ATL @ BKN,L,29,8,4,1,3,0,3
"Nov 01, 2021",ATL vs. WAS,W,34,16,6,6,0,0,0
"Oct 30, 2021",ATL @ PHI,L,29,13,4,1,2,0,3
"Oct 28, 2021",ATL @ WAS,L,34,14,6,4,1,0,0
"Oct 27, 2021",ATL @ NOP,W,31,12,3,3,0,1,0
"Oct 25, 2021",ATL vs. DET,W,25,14,3,1,0,0,0
"Oct 23, 2021",ATL @ CLE,L,27,5,2,2,0,0,0
"Oct 21, 2021",ATL vs. DAL,W,26,11,3,2,2,0,2
