GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",ATL @ HOU,W,23,18,13,0,1,2,0
"Apr 08, 2022",ATL @ MIA,L,27,17,14,0,0,0,0
"Apr 06, 2022",ATL vs. WAS,W,25,19,7,0,4,0,0
"Apr 05, 2022",ATL @ TOR,L,33,10,14,0,2,0,0
"Apr 02, 2022",ATL vs. BKN,W,30,9,12,1,2,1,0
"Mar 31, 2022",ATL vs. CLE,W,23,12,14,2,2,3,0
"Mar 30, 2022",ATL @ OKC,W,20,4,11,1,0,1,1
"Mar 28, 2022",ATL @ IND,W,31,22,15,3,0,0,2
"Mar 25, 2022",ATL vs. GSW,W,31,19,13,1,1,1,2
"Mar 23, 2022",ATL @ DET,L,17,1,9,0,0,0,1
"Mar 22, 2022",ATL @ NYK,W,29,2,6,2,0,1,0
"Mar 20, 2022",ATL vs. NOP,L,31,14,10,0,0,1,1
"Mar 18, 2022",ATL vs. MEM,W,28,18,7,2,1,1,1
"Mar 16, 2022",ATL @ CHA,L,31,17,15,1,1,0,1
"Mar 14, 2022",ATL vs. POR,W,28,8,16,0,1,2,0
"Mar 13, 2022",ATL vs. IND,W,22,10,6,3,3,1,0
"Mar 11, 2022",ATL vs. LAC,W,26,14,11,2,1,2,2
"Mar 09, 2022",ATL @ MIL,L,20,11,9,0,0,0,1
"Mar 07, 2022",ATL @ DET,L,33,9,12,1,0,2,0
"Mar 04, 2022",ATL @ WAS,W,23,12,12,0,0,3,0
"Mar 03, 2022",ATL vs. CHI,W,33,12,11,3,0,0,0
"Mar 01, 2022",ATL @ BOS,L,30,5,11,0,1,0,1
"Feb 26, 2022",ATL vs. TOR,W,18,8,9,0,0,2,0
"Feb 24, 2022",ATL @ CHI,L,29,14,17,0,0,2,0
"Feb 16, 2022",ATL @ ORL,W,23,8,9,1,0,2,0
"Feb 15, 2022",ATL vs. CLE,W,31,5,7,3,0,2,2
"Feb 13, 2022",ATL @ BOS,L,31,8,17,0,0,1,1
"Feb 11, 2022",ATL vs. SAS,L,21,13,11,0,0,1,3
"Feb 08, 2022",ATL vs. IND,W,21,6,12,3,3,0,0
"Feb 06, 2022",ATL @ DAL,L,20,8,9,0,0,1,2
"Feb 04, 2022",ATL @ TOR,L,19,8,9,0,0,1,0
"Feb 03, 2022",ATL vs. PHX,W,25,6,12,4,0,1,0
"Jan 31, 2022",ATL vs. TOR,L,23,6,8,1,0,1,1
"Jan 30, 2022",ATL vs. LAL,W,24,15,9,3,0,0,0
"Jan 28, 2022",ATL vs. BOS,W,23,6,7,0,0,2,0
"Jan 26, 2022",ATL vs. SAC,W,21,8,8,1,1,1,0
"Jan 23, 2022",ATL @ CHA,W,26,7,8,0,2,1,1
"Jan 21, 2022",ATL vs. MIA,W,26,6,6,2,0,0,0
"Jan 07, 2022",ATL @ LAL,L,23,9,12,0,1,0,0
"Jan 05, 2022",ATL @ SAC,W,26,11,14,2,1,2,1
"Jan 03, 2022",ATL @ POR,L,32,22,11,1,0,0,0
"Dec 31, 2021",ATL @ CLE,W,40,18,23,2,1,4,0
"Dec 29, 2021",ATL @ CHI,L,30,18,15,3,0,0,0
"Dec 27, 2021",ATL vs. CHI,L,26,8,16,3,0,1,1
"Dec 25, 2021",ATL @ NYK,L,28,6,9,1,0,2,1
"Dec 17, 2021",ATL vs. DEN,L,24,15,11,1,0,3,0
"Dec 15, 2021",ATL @ ORL,W,27,7,11,4,1,2,0
"Dec 13, 2021",ATL vs. HOU,L,32,12,16,1,1,2,1
"Dec 10, 2021",ATL vs. BKN,L,34,14,16,1,2,2,1
"Dec 06, 2021",ATL @ MIN,W,30,9,16,4,1,4,1
"Dec 05, 2021",ATL vs. CHA,L,31,8,14,0,0,0,1
"Dec 03, 2021",ATL vs. PHI,L,30,6,11,0,0,0,1
"Dec 01, 2021",ATL @ IND,W,33,8,9,4,0,2,1
"Nov 27, 2021",ATL vs. NYK,L,35,16,22,1,1,3,0
"Nov 26, 2021",ATL @ MEM,W,29,23,17,2,1,3,0
"Nov 24, 2021",ATL @ SAS,W,32,11,13,1,5,3,0
"Nov 22, 2021",ATL vs. OKC,W,30,10,14,0,0,0,1
"Nov 20, 2021",ATL vs. CHA,W,24,20,15,1,0,2,1
"Nov 17, 2021",ATL vs. BOS,W,32,9,12,3,1,1,1
"Nov 15, 2021",ATL vs. ORL,W,34,20,16,3,3,2,1
"Nov 14, 2021",ATL vs. MIL,W,32,12,13,2,2,0,3
"Nov 12, 2021",ATL @ DEN,L,32,14,13,0,0,1,0
"Nov 09, 2021",ATL @ UTA,L,35,13,12,2,2,2,0
"Nov 08, 2021",ATL @ GSW,L,23,2,6,2,0,1,1
"Nov 06, 2021",ATL @ PHX,L,28,9,13,1,0,0,0
"Nov 04, 2021",ATL vs. UTA,L,36,13,10,2,1,0,0
"Nov 03, 2021",ATL @ BKN,L,33,13,16,1,1,0,0
"Nov 01, 2021",ATL vs. WAS,W,33,16,12,1,1,2,0
"Oct 30, 2021",ATL @ PHI,L,28,11,12,0,0,1,0
"Oct 28, 2021",ATL @ WAS,L,23,11,4,1,0,1,0
"Oct 27, 2021",ATL @ NOP,W,29,5,12,1,1,3,2
"Oct 25, 2021",ATL vs. DET,W,26,4,8,0,2,1,0
"Oct 23, 2021",ATL @ CLE,L,27,10,14,1,0,2,1
"Oct 21, 2021",ATL vs. DAL,W,21,12,13,0,0,2,1
