GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 05, 2022",TOR vs. ATL,W,4,1,1,1,1,0,0
"Mar 30, 2022",TOR vs. MIN,W,4,4,1,1,0,0,0
"Mar 26, 2022",TOR vs. IND,W,9,0,3,2,0,0,1
"Mar 24, 2022",TOR vs. CLE,W,2,2,1,0,0,0,0
"Mar 21, 2022",TOR @ CHI,L,4,0,1,2,0,0,0
"Mar 18, 2022",TOR vs. LAL,L,6,3,2,0,0,0,0
"Mar 14, 2022",TOR @ LAL,W,5,1,0,0,0,0,1
"Mar 12, 2022",TOR @ DEN,W,17,2,2,5,0,0,0
"Mar 11, 2022",TOR @ PHX,W,10,1,0,1,1,0,0
"Mar 09, 2022",TOR @ SAS,W,21,6,4,4,1,1,0
"Mar 06, 2022",TOR @ CLE,L,9,0,1,2,0,0,0
"Mar 04, 2022",TOR vs. ORL,L,1,3,1,0,0,0,0
"Mar 03, 2022",TOR vs. DET,L,13,5,1,1,0,1,1
"Mar 01, 2022",TOR vs. BKN,W,6,0,1,0,0,0,2
"Feb 28, 2022",TOR @ BKN,W,13,5,0,3,1,0,1
"Feb 26, 2022",TOR @ ATL,L,3,2,1,2,0,0,0
"Feb 25, 2022",TOR @ CHA,L,12,0,0,0,0,0,1
"Feb 16, 2022",TOR @ MIN,W,8,3,3,1,0,0,0
"Feb 14, 2022",TOR @ NOP,L,12,4,1,0,1,0,0
"Feb 12, 2022",TOR vs. DEN,L,10,4,2,1,1,0,0
"Feb 10, 2022",TOR @ HOU,W,20,10,4,3,1,0,1
"Feb 09, 2022",TOR @ OKC,W,12,2,2,0,0,0,2
"Feb 07, 2022",TOR @ CHA,W,11,0,2,0,0,0,0
"Feb 04, 2022",TOR vs. ATL,W,10,0,1,3,1,0,1
"Feb 03, 2022",TOR vs. CHI,W,11,2,6,1,1,0,0
"Feb 01, 2022",TOR vs. MIA,W,8,2,1,3,0,0,0
"Jan 31, 2022",TOR @ ATL,W,6,0,2,0,2,0,0
"Jan 29, 2022",TOR @ MIA,W,9,0,3,0,1,0,1
"Jan 26, 2022",TOR @ CHI,L,24,7,5,3,2,0,2
"Jan 25, 2022",TOR vs. CHA,W,17,10,1,3,0,3,2
"Jan 23, 2022",TOR vs. POR,L,12,5,4,2,2,0,3
"Jan 14, 2022",TOR @ DET,L,6,0,1,0,0,0,1
"Jan 07, 2022",TOR vs. UTA,W,2,0,0,0,0,0,0
"Jan 04, 2022",TOR vs. SAS,W,6,2,0,1,1,0,1
"Jan 02, 2022",TOR vs. NYK,W,5,0,0,0,0,0,1
"Dec 31, 2021",TOR vs. LAC,W,3,0,0,0,0,0,1
"Dec 26, 2021",TOR @ CLE,L,24,7,3,6,0,0,3
"Dec 13, 2021",TOR vs. SAC,W,9,4,2,6,0,0,0
"Dec 10, 2021",TOR vs. NYK,W,7,0,0,1,0,0,0
"Dec 08, 2021",TOR vs. OKC,L,11,0,3,1,1,0,1
"Dec 05, 2021",TOR vs. WAS,W,15,5,3,6,1,0,0
"Dec 02, 2021",TOR vs. MIL,W,14,2,4,2,0,0,1
"Nov 30, 2021",TOR vs. MEM,L,15,2,6,2,0,0,2
"Nov 28, 2021",TOR vs. BOS,L,3,0,1,1,0,0,0
"Nov 26, 2021",TOR @ IND,L,17,2,2,2,0,0,2
"Nov 24, 2021",TOR @ MEM,W,14,4,2,2,0,0,1
"Nov 21, 2021",TOR @ GSW,L,20,7,3,3,0,0,3
"Nov 19, 2021",TOR @ SAC,W,11,4,3,1,0,0,0
"Nov 18, 2021",TOR @ UTA,L,17,6,0,1,0,0,2
"Nov 15, 2021",TOR @ POR,L,8,0,0,1,0,0,1
"Nov 13, 2021",TOR vs. DET,L,19,12,3,2,1,0,3
"Nov 11, 2021",TOR @ PHI,W,16,4,4,2,0,0,2
"Nov 10, 2021",TOR @ BOS,L,14,2,2,0,0,2,1
"Nov 07, 2021",TOR vs. BKN,L,12,5,2,4,1,0,0
"Nov 05, 2021",TOR vs. CLE,L,10,11,2,1,0,0,1
"Nov 03, 2021",TOR @ WAS,W,17,5,3,0,2,0,1
"Nov 01, 2021",TOR @ NYK,W,9,4,3,0,0,2,0
"Oct 30, 2021",TOR @ IND,W,17,2,2,2,1,0,3
"Oct 29, 2021",TOR vs. ORL,W,23,10,5,2,2,0,0
"Oct 27, 2021",TOR vs. IND,W,16,10,1,3,0,1,2
"Oct 25, 2021",TOR vs. CHI,L,5,2,1,0,1,0,0
"Oct 23, 2021",TOR vs. DAL,L,8,0,2,0,0,0,1
"Oct 22, 2021",TOR @ BOS,W,3,2,0,2,0,0,0
"Oct 20, 2021",TOR vs. WAS,L,12,7,4,1,1,0,0
