GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2022",MEM vs. NOP,W,24,23,3,5,0,0,0
"Apr 07, 2022",MEM @ DEN,L,26,12,1,2,1,1,2
"Apr 01, 2022",MEM vs. PHX,W,35,30,4,7,0,0,2
"Mar 30, 2022",MEM @ SAS,W,31,21,6,4,0,0,2
"Mar 28, 2022",MEM vs. GSW,W,22,21,2,0,1,0,2
"Mar 26, 2022",MEM vs. MIL,W,25,19,3,1,0,0,1
"Mar 23, 2022",MEM vs. BKN,W,34,21,3,2,1,1,0
"Mar 20, 2022",MEM @ HOU,W,25,20,4,1,3,0,1
"Mar 18, 2022",MEM @ ATL,L,26,11,4,1,1,1,1
"Mar 15, 2022",MEM @ IND,W,24,10,1,4,1,1,1
"Mar 13, 2022",MEM @ OKC,W,26,15,2,4,1,0,1
"Jan 08, 2022",MEM @ LAC,W,7,2,1,0,1,0,0
"Jan 06, 2022",MEM vs. DET,W,25,18,3,5,3,2,1
"Dec 23, 2021",MEM @ GSW,L,35,13,1,2,2,0,2
"Dec 20, 2021",MEM vs. OKC,L,35,19,2,2,1,0,1
"Dec 19, 2021",MEM vs. POR,L,35,37,3,3,1,0,0
"Dec 17, 2021",MEM @ SAC,W,34,23,6,2,1,0,2
"Dec 15, 2021",MEM @ POR,W,37,22,7,6,0,0,3
"Dec 13, 2021",MEM vs. PHI,W,27,23,6,2,1,0,1
"Dec 11, 2021",MEM vs. HOU,W,33,25,0,2,0,0,1
"Dec 08, 2021",MEM vs. DAL,L,33,15,4,2,2,0,0
"Dec 06, 2021",MEM @ MIA,W,36,21,3,8,2,0,3
"Dec 04, 2021",MEM @ DAL,W,30,11,3,3,0,0,3
"Dec 02, 2021",MEM vs. OKC,W,15,11,1,3,2,0,4
"Nov 30, 2021",MEM @ TOR,W,33,17,4,1,4,1,5
"Nov 28, 2021",MEM vs. SAC,W,21,21,6,1,2,0,0
"Nov 26, 2021",MEM vs. ATL,L,19,12,5,1,0,0,0
"Nov 24, 2021",MEM vs. TOR,L,26,20,2,3,0,1,3
"Nov 18, 2021",MEM vs. LAC,W,27,18,1,2,1,0,1
"Nov 15, 2021",MEM vs. HOU,W,23,16,2,3,2,0,2
"Nov 13, 2021",MEM @ NOP,L,31,23,5,0,0,0,3
"Nov 10, 2021",MEM vs. CHA,L,26,20,4,6,2,0,2
