GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",HOU vs. ATL,L,30,5,2,2,0,1,1
"Apr 08, 2022",HOU @ TOR,L,26,12,6,3,0,0,2
"Apr 05, 2022",HOU @ BKN,L,29,6,9,3,3,0,2
"Apr 03, 2022",HOU vs. MIN,L,21,9,2,1,1,0,0
"Apr 01, 2022",HOU vs. SAC,L,27,15,2,3,0,0,0
"Mar 30, 2022",HOU vs. SAC,L,24,7,6,1,1,0,2
"Mar 28, 2022",HOU vs. SAS,L,28,10,7,2,0,1,0
"Mar 26, 2022",HOU @ POR,W,20,8,4,1,0,1,2
"Mar 25, 2022",HOU @ POR,W,23,17,4,1,2,0,2
"Mar 23, 2022",HOU @ DAL,L,23,13,5,1,1,0,3
"Mar 21, 2022",HOU vs. WAS,W,19,7,8,6,0,1,1
"Mar 20, 2022",HOU vs. MEM,L,17,4,4,2,2,1,2
"Mar 18, 2022",HOU vs. IND,L,23,6,4,1,1,0,1
"Mar 16, 2022",HOU vs. PHX,L,24,10,4,2,0,1,0
"Mar 13, 2022",HOU @ NOP,L,20,14,2,0,0,0,3
"Mar 07, 2022",HOU @ MIA,L,25,6,6,3,1,1,2
"Mar 06, 2022",HOU vs. MEM,W,27,4,7,3,1,0,1
"Mar 04, 2022",HOU @ DEN,L,23,10,6,3,0,0,2
"Mar 02, 2022",HOU vs. UTA,L,11,9,0,1,0,0,2
"Mar 01, 2022",HOU vs. LAC,L,20,12,9,2,0,0,2
"Feb 27, 2022",HOU vs. LAC,L,32,14,6,4,4,0,0
"Feb 25, 2022",HOU @ ORL,L,28,13,5,6,2,1,0
"Feb 17, 2022",HOU @ LAC,L,28,19,3,4,0,1,3
"Feb 16, 2022",HOU @ PHX,L,28,22,10,1,0,0,3
"Feb 14, 2022",HOU @ UTA,L,22,14,3,1,0,0,2
"Feb 10, 2022",HOU vs. TOR,L,40,12,5,6,1,1,3
"Feb 08, 2022",HOU @ NOP,L,32,9,9,3,3,0,3
"Feb 06, 2022",HOU vs. NOP,L,32,15,3,1,1,2,3
"Feb 04, 2022",HOU @ SAS,L,26,11,4,3,1,0,3
"Feb 02, 2022",HOU vs. CLE,W,29,6,5,2,4,0,4
"Jan 31, 2022",HOU vs. GSW,L,30,10,3,2,0,1,0
"Jan 28, 2022",HOU vs. POR,L,26,12,4,5,1,0,1
"Jan 25, 2022",HOU vs. SAS,L,19,14,6,2,3,0,1
"Jan 21, 2022",HOU @ GSW,L,22,10,3,1,1,0,3
"Jan 19, 2022",HOU @ UTA,W,26,18,5,2,0,0,1
"Jan 16, 2022",HOU @ SAC,W,27,10,4,2,1,0,4
"Jan 14, 2022",HOU @ SAC,L,31,17,10,8,2,1,1
"Jan 12, 2022",HOU @ SAS,W,29,13,6,7,1,3,2
"Jan 10, 2022",HOU vs. PHI,L,25,9,1,1,0,2,0
"Jan 09, 2022",HOU vs. MIN,L,23,10,7,4,1,0,1
"Jan 07, 2022",HOU vs. DAL,L,26,15,8,5,0,0,1
"Jan 05, 2022",HOU @ WAS,W,32,13,10,0,0,0,4
"Jan 03, 2022",HOU @ PHI,L,28,14,3,5,1,2,0
"Jan 01, 2022",HOU vs. DEN,L,22,8,5,2,0,0,3
"Dec 31, 2021",HOU vs. MIA,L,25,22,7,2,2,1,0
"Dec 23, 2021",HOU @ IND,L,29,18,4,1,0,0,1
"Dec 22, 2021",HOU @ MIL,L,14,4,5,0,0,0,1
"Dec 20, 2021",HOU @ CHI,L,22,16,5,6,0,0,0
"Dec 18, 2021",HOU @ DET,W,28,11,5,4,3,0,3
"Dec 16, 2021",HOU vs. NYK,L,29,20,3,6,0,0,4
"Dec 15, 2021",HOU @ CLE,L,29,12,6,1,3,0,2
"Dec 13, 2021",HOU @ ATL,W,24,15,2,4,2,2,1
"Dec 11, 2021",HOU @ MEM,L,25,7,3,3,2,0,2
"Dec 10, 2021",HOU vs. MIL,L,33,6,2,9,1,0,1
"Dec 08, 2021",HOU vs. BKN,W,27,10,2,5,1,1,2
"Dec 05, 2021",HOU vs. NOP,W,32,11,5,7,0,0,5
"Dec 03, 2021",HOU vs. ORL,W,32,15,7,4,2,1,1
"Dec 01, 2021",HOU @ OKC,W,35,32,10,7,2,5,3
"Nov 29, 2021",HOU vs. OKC,W,28,15,6,8,1,0,0
"Nov 27, 2021",HOU vs. CHA,W,36,16,2,5,1,0,2
"Nov 24, 2021",HOU vs. CHI,W,21,8,3,1,0,0,5
"Nov 22, 2021",HOU @ BOS,L,22,6,5,2,0,0,1
"Nov 20, 2021",HOU @ NYK,L,31,11,10,3,1,2,3
"Nov 17, 2021",HOU @ OKC,L,34,16,8,2,1,0,1
"Nov 15, 2021",HOU @ MEM,L,25,14,9,0,1,0,1
"Nov 14, 2021",HOU vs. PHX,L,21,0,5,1,0,1,0
"Nov 12, 2021",HOU vs. POR,L,25,14,6,1,1,0,2
"Nov 10, 2021",HOU vs. DET,L,29,14,8,1,2,1,1
"Nov 07, 2021",HOU @ GSW,L,33,21,10,0,0,0,2
"Nov 06, 2021",HOU @ DEN,L,31,10,8,1,1,1,1
"Nov 04, 2021",HOU @ PHX,L,34,14,5,4,1,0,3
"Nov 02, 2021",HOU @ LAL,L,35,20,5,2,1,2,3
"Oct 31, 2021",HOU @ LAL,L,18,6,6,1,0,2,3
"Oct 28, 2021",HOU vs. UTA,L,15,7,5,1,0,0,1
"Oct 26, 2021",HOU @ DAL,L,27,6,3,1,0,1,3
"Oct 24, 2021",HOU vs. BOS,L,35,12,8,4,2,0,1
"Oct 22, 2021",HOU vs. OKC,W,28,16,14,5,1,0,2
"Oct 20, 2021",HOU @ MIN,L,21,2,3,2,0,0,2
