GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",HOU vs. ATL,L,19,6,1,3,1,0,1
"Apr 08, 2022",HOU @ TOR,L,30,20,5,4,1,0,3
"Apr 05, 2022",HOU @ BKN,L,30,5,8,2,2,2,3
"Apr 03, 2022",HOU vs. MIN,L,30,30,3,0,2,0,2
"Apr 01, 2022",HOU vs. SAC,L,19,4,2,3,0,0,2
"Mar 30, 2022",HOU vs. SAC,L,24,6,4,5,5,0,4
"Mar 28, 2022",HOU vs. SAS,L,30,20,6,6,2,1,2
"Mar 26, 2022",HOU @ POR,W,19,6,3,3,0,1,3
"Mar 25, 2022",HOU @ POR,W,20,14,4,2,2,0,1
"Mar 23, 2022",HOU @ DAL,L,17,11,1,1,1,0,2
"Mar 21, 2022",HOU vs. WAS,W,7,0,0,1,0,0,1
"Mar 20, 2022",HOU vs. MEM,L,24,4,3,7,0,0,4
"Mar 18, 2022",HOU vs. IND,L,16,2,3,1,2,0,0
"Mar 16, 2022",HOU vs. PHX,L,18,4,0,1,0,0,0
"Mar 13, 2022",HOU @ NOP,L,26,13,5,2,0,0,4
"Mar 11, 2022",HOU vs. DAL,L,26,17,3,2,1,0,1
"Mar 09, 2022",HOU vs. LAL,W,22,21,6,1,0,0,0
"Mar 07, 2022",HOU @ MIA,L,29,16,3,3,1,2,1
"Mar 06, 2022",HOU vs. MEM,W,17,8,4,2,0,0,4
"Mar 04, 2022",HOU @ DEN,L,18,2,2,3,0,0,2
"Mar 02, 2022",HOU vs. UTA,L,19,4,3,2,0,0,1
"Mar 01, 2022",HOU vs. LAC,L,22,4,5,5,3,0,2
"Feb 27, 2022",HOU vs. LAC,L,13,0,3,3,0,0,0
"Feb 25, 2022",HOU @ ORL,L,12,0,2,1,0,0,1
"Feb 17, 2022",HOU @ LAC,L,26,13,4,4,3,0,2
"Feb 16, 2022",HOU @ PHX,L,11,2,7,2,0,1,0
"Feb 14, 2022",HOU @ UTA,L,10,0,1,0,0,0,0
"Feb 10, 2022",HOU vs. TOR,L,15,6,2,0,0,0,1
"Feb 08, 2022",HOU @ NOP,L,17,4,1,1,2,0,3
"Feb 06, 2022",HOU vs. NOP,L,23,12,1,2,1,0,3
"Feb 04, 2022",HOU @ SAS,L,29,23,5,4,2,0,1
"Feb 02, 2022",HOU vs. CLE,W,12,5,2,0,0,0,0
"Jan 31, 2022",HOU vs. GSW,L,19,13,1,5,0,0,0
"Jan 28, 2022",HOU vs. POR,L,20,11,2,3,0,0,0
"Jan 25, 2022",HOU vs. SAS,L,24,13,2,3,2,0,1
"Jan 21, 2022",HOU @ GSW,L,14,8,1,0,0,1,2
"Jan 19, 2022",HOU @ UTA,W,17,6,3,1,1,0,0
"Jan 16, 2022",HOU @ SAC,W,11,0,3,0,1,0,0
"Jan 14, 2022",HOU @ SAC,L,18,6,2,2,1,0,3
"Jan 12, 2022",HOU @ SAS,W,16,6,3,1,0,2,2
"Jan 10, 2022",HOU vs. PHI,L,23,13,2,2,1,0,3
"Jan 09, 2022",HOU vs. MIN,L,27,19,3,4,2,0,3
"Jan 07, 2022",HOU vs. DAL,L,21,7,6,1,2,0,3
"Jan 05, 2022",HOU @ WAS,W,14,8,4,1,0,0,1
"Jan 03, 2022",HOU @ PHI,L,21,13,2,4,3,0,0
"Jan 01, 2022",HOU vs. DEN,L,23,7,2,1,1,1,3
"Dec 31, 2021",HOU vs. MIA,L,25,7,5,3,2,0,1
"Dec 28, 2021",HOU vs. LAL,L,27,14,3,2,3,0,2
"Dec 27, 2021",HOU @ CHA,L,21,6,0,2,0,0,3
"Dec 23, 2021",HOU @ IND,L,18,2,1,0,0,0,3
"Dec 22, 2021",HOU @ MIL,L,22,9,5,4,0,0,2
"Dec 20, 2021",HOU @ CHI,L,20,10,3,2,0,1,2
"Dec 18, 2021",HOU @ DET,W,28,10,4,7,1,0,5
"Dec 16, 2021",HOU vs. NYK,L,33,14,0,3,2,0,1
"Dec 15, 2021",HOU @ CLE,L,27,17,1,4,1,0,4
"Dec 13, 2021",HOU @ ATL,W,24,6,4,3,0,0,0
"Dec 11, 2021",HOU @ MEM,L,21,12,2,2,0,0,2
"Dec 10, 2021",HOU vs. MIL,L,13,7,3,0,3,0,3
"Dec 08, 2021",HOU vs. BKN,W,23,18,2,2,2,1,1
"Dec 05, 2021",HOU vs. NOP,W,4,0,0,0,0,0,0
"Dec 03, 2021",HOU vs. ORL,W,6,0,0,0,0,0,1
"Dec 01, 2021",HOU @ OKC,W,16,10,5,1,0,0,1
"Nov 29, 2021",HOU vs. OKC,W,2,0,0,0,0,0,1
"Nov 22, 2021",HOU @ BOS,L,6,8,0,0,0,0,1
"Nov 15, 2021",HOU @ MEM,L,10,2,1,5,0,0,1
"Nov 14, 2021",HOU vs. PHX,L,15,6,1,0,2,0,1
"Nov 12, 2021",HOU vs. POR,L,2,0,1,0,0,0,0
"Nov 10, 2021",HOU vs. DET,L,5,2,0,1,0,0,0
"Nov 07, 2021",HOU @ GSW,L,19,2,3,2,1,0,0
"Oct 31, 2021",HOU @ LAL,L,1,0,0,0,0,0,0
"Oct 28, 2021",HOU vs. UTA,L,12,4,1,2,0,0,1
"Oct 24, 2021",HOU vs. BOS,L,1,2,0,0,0,0,1
"Oct 22, 2021",HOU vs. OKC,W,6,2,2,0,1,0,1
"Oct 20, 2021",HOU @ MIN,L,8,5,1,1,2,0,1
