GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",GSW @ NOP,W,31,41,3,2,0,0,3
"Apr 07, 2022",GSW vs. LAL,W,33,33,4,4,0,0,1
"Apr 02, 2022",GSW vs. UTA,W,39,36,5,2,0,0,1
"Mar 30, 2022",GSW vs. PHX,L,34,13,1,4,0,0,3
"Mar 27, 2022",GSW @ WAS,L,37,25,5,3,0,0,0
"Mar 25, 2022",GSW @ ATL,L,40,37,7,3,0,1,2
"Mar 22, 2022",GSW @ ORL,L,32,15,2,3,2,0,1
"Mar 20, 2022",GSW vs. SAS,L,38,24,3,0,1,0,0
"Mar 16, 2022",GSW vs. BOS,L,33,18,3,1,0,0,1
"Mar 14, 2022",GSW vs. WAS,W,33,20,4,1,0,0,1
"Mar 12, 2022",GSW vs. MIL,W,34,38,6,5,1,1,2
"Mar 10, 2022",GSW @ DEN,W,33,18,3,2,1,2,0
"Mar 08, 2022",GSW vs. LAC,W,34,20,5,1,0,2,0
"Mar 05, 2022",GSW @ LAL,L,31,7,6,4,1,3,4
"Mar 03, 2022",GSW @ DAL,L,28,16,3,2,0,1,2
"Feb 24, 2022",GSW @ POR,W,25,18,5,2,0,0,0
"Feb 16, 2022",GSW vs. DEN,L,31,16,4,4,1,0,0
"Feb 14, 2022",GSW @ LAC,L,27,7,4,4,1,0,1
"Feb 12, 2022",GSW vs. LAL,W,30,33,5,0,0,0,1
"Feb 10, 2022",GSW vs. NYK,L,30,17,7,5,0,1,1
"Feb 07, 2022",GSW @ OKC,W,29,21,2,2,2,1,0
"Feb 03, 2022",GSW vs. SAC,W,24,23,5,7,0,0,2
"Jan 31, 2022",GSW @ HOU,W,26,14,3,3,1,1,1
"Jan 29, 2022",GSW vs. BKN,W,27,16,6,2,1,1,0
"Jan 27, 2022",GSW vs. MIN,W,27,23,5,4,0,1,4
"Jan 25, 2022",GSW vs. DAL,W,26,15,2,6,0,0,1
"Jan 20, 2022",GSW vs. IND,L,23,12,2,1,0,0,2
"Jan 18, 2022",GSW vs. DET,W,22,21,3,4,2,0,1
"Jan 16, 2022",GSW @ MIN,L,23,13,4,2,1,0,2
"Jan 13, 2022",GSW @ MIL,L,21,11,2,1,1,0,1
"Jan 11, 2022",GSW @ MEM,L,20,14,3,3,0,1,3
"Jan 09, 2022",GSW vs. CLE,W,20,17,3,1,0,1,2
