GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",MEM vs. BOS,L,25,16,7,3,3,1,0
"Apr 09, 2022",MEM vs. NOP,W,21,7,3,4,0,1,2
"Apr 07, 2022",MEM @ DEN,L,22,11,4,4,1,0,1
"Apr 05, 2022",MEM @ UTA,L,18,8,4,2,0,2,2
"Apr 01, 2022",MEM vs. PHX,W,28,6,10,5,1,0,4
"Mar 30, 2022",MEM @ SAS,W,23,4,3,4,3,0,2
"Mar 28, 2022",MEM vs. GSW,W,25,13,5,1,0,1,3
"Mar 26, 2022",MEM vs. MIL,W,20,9,4,0,1,2,0
"Mar 24, 2022",MEM vs. IND,W,23,8,4,4,1,0,0
"Mar 23, 2022",MEM vs. BKN,W,15,10,3,2,2,1,0
"Mar 20, 2022",MEM @ HOU,W,21,7,6,1,0,1,1
"Mar 18, 2022",MEM @ ATL,L,22,9,4,2,1,1,0
"Mar 15, 2022",MEM @ IND,W,21,4,8,3,0,0,1
"Mar 13, 2022",MEM @ OKC,W,18,6,6,2,1,1,0
"Mar 11, 2022",MEM vs. NYK,W,19,6,9,3,1,2,2
"Mar 08, 2022",MEM vs. NOP,W,14,5,4,1,0,0,1
"Mar 06, 2022",MEM @ HOU,L,18,3,5,2,2,1,0
"Mar 05, 2022",MEM vs. ORL,W,18,9,6,1,1,0,0
"Mar 03, 2022",MEM @ BOS,L,24,6,5,4,6,0,0
"Feb 28, 2022",MEM vs. SAS,W,24,9,9,6,0,1,0
"Feb 26, 2022",MEM @ CHI,W,29,6,11,3,0,3,1
"Feb 24, 2022",MEM @ MIN,L,14,2,2,1,0,0,3
"Feb 16, 2022",MEM vs. POR,L,8,2,1,1,2,0,0
"Feb 15, 2022",MEM @ NOP,W,16,0,1,4,1,0,1
"Feb 12, 2022",MEM @ CHA,W,17,2,7,6,0,0,2
"Feb 10, 2022",MEM @ DET,W,26,13,11,2,1,1,2
"Feb 08, 2022",MEM vs. LAC,W,24,11,8,0,3,0,0
"Feb 05, 2022",MEM @ ORL,W,19,7,6,1,0,2,1
"Feb 02, 2022",MEM @ NYK,W,14,4,1,5,1,1,1
"Jan 31, 2022",MEM @ PHI,L,20,3,1,3,3,0,0
"Jan 29, 2022",MEM vs. WAS,W,23,4,9,4,0,0,0
"Jan 17, 2022",MEM vs. CHI,W,21,4,5,2,3,1,3
"Jan 14, 2022",MEM vs. DAL,L,19,12,5,1,0,0,0
"Jan 13, 2022",MEM vs. MIN,W,23,6,6,3,0,1,1
"Jan 11, 2022",MEM vs. GSW,W,24,8,4,2,3,1,2
"Jan 09, 2022",MEM @ LAL,W,29,14,7,8,2,2,1
"Dec 31, 2021",MEM vs. SAS,W,24,4,4,2,0,0,2
"Dec 29, 2021",MEM vs. LAL,W,30,8,4,2,0,0,0
"Dec 27, 2021",MEM @ PHX,W,23,2,6,1,2,1,3
"Dec 26, 2021",MEM @ SAC,W,26,14,3,3,0,0,1
"Dec 23, 2021",MEM @ GSW,L,20,8,5,2,0,1,0
"Dec 20, 2021",MEM vs. OKC,L,22,4,7,2,0,0,0
"Dec 19, 2021",MEM vs. POR,L,28,11,4,1,4,1,2
"Dec 17, 2021",MEM @ SAC,W,19,6,6,6,0,0,0
"Dec 15, 2021",MEM @ POR,W,27,13,11,3,3,2,2
"Dec 13, 2021",MEM vs. PHI,W,18,9,3,3,4,0,1
"Dec 11, 2021",MEM vs. HOU,W,31,16,7,4,3,1,3
"Dec 09, 2021",MEM vs. LAL,W,15,7,4,4,0,2,0
"Nov 30, 2021",MEM @ TOR,W,19,6,5,0,1,2,0
"Nov 28, 2021",MEM vs. SAC,W,19,7,5,4,1,0,2
"Nov 26, 2021",MEM vs. ATL,L,16,0,3,1,1,0,0
"Nov 24, 2021",MEM vs. TOR,L,24,11,6,2,0,0,2
"Nov 22, 2021",MEM @ UTA,W,23,9,8,4,1,0,2
"Nov 20, 2021",MEM @ MIN,L,20,2,4,2,0,0,1
"Nov 18, 2021",MEM vs. LAC,W,22,6,3,3,1,1,1
"Nov 15, 2021",MEM vs. HOU,W,18,15,5,1,1,1,1
"Nov 13, 2021",MEM @ NOP,L,24,13,4,2,0,0,0
"Nov 12, 2021",MEM vs. PHX,L,18,4,2,1,2,0,1
"Nov 10, 2021",MEM vs. CHA,L,25,12,7,2,2,0,2
"Nov 08, 2021",MEM vs. MIN,W,28,12,9,7,0,1,1
"Nov 05, 2021",MEM @ WAS,L,19,0,4,4,2,0,2
"Nov 03, 2021",MEM vs. DEN,W,23,16,3,1,0,0,0
"Nov 01, 2021",MEM vs. DEN,W,26,9,9,3,1,0,0
"Oct 30, 2021",MEM vs. MIA,L,19,13,2,2,1,1,2
"Oct 28, 2021",MEM @ GSW,W,29,8,9,3,0,2,1
"Oct 27, 2021",MEM @ POR,L,22,6,6,3,1,0,2
"Oct 24, 2021",MEM @ LAL,L,20,2,2,0,0,1,0
"Oct 23, 2021",MEM @ LAC,W,17,4,7,1,1,1,0
"Oct 20, 2021",MEM vs. CLE,W,22,10,7,4,2,0,0
