GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",ORL vs. MIA,W,28,21,10,1,0,2,0
"Apr 07, 2022",ORL @ CHA,L,5,2,2,2,0,0,0
"Apr 05, 2022",ORL vs. CLE,W,29,21,12,3,0,6,0
"Apr 03, 2022",ORL vs. NYK,L,29,13,12,0,0,0,1
"Apr 01, 2022",ORL vs. TOR,L,33,15,10,6,0,3,1
"Mar 30, 2022",ORL @ WAS,L,22,10,5,1,1,0,0
"Mar 28, 2022",ORL @ CLE,L,23,11,4,0,0,0,0
"Mar 26, 2022",ORL vs. SAC,L,34,18,13,0,2,1,2
"Mar 23, 2022",ORL @ OKC,L,22,11,10,1,0,2,1
"Mar 22, 2022",ORL vs. GSW,W,23,7,7,3,0,2,4
"Mar 20, 2022",ORL vs. OKC,W,21,7,10,1,1,1,3
"Mar 17, 2022",ORL vs. DET,L,25,10,12,2,0,1,1
"Mar 15, 2022",ORL vs. BKN,L,17,8,3,0,0,0,0
"Mar 13, 2022",ORL vs. PHI,L,33,5,5,0,1,2,1
"Mar 11, 2022",ORL vs. MIN,W,32,27,12,0,0,2,0
"Mar 09, 2022",ORL @ NOP,W,20,9,5,0,1,1,0
"Mar 08, 2022",ORL vs. PHX,L,22,9,15,0,0,0,0
"Mar 05, 2022",ORL @ MEM,L,21,10,4,0,1,1,0
"Mar 04, 2022",ORL @ TOR,W,25,14,5,1,0,1,1
"Mar 02, 2022",ORL vs. IND,L,34,19,12,0,1,1,0
"Feb 28, 2022",ORL vs. IND,W,30,15,10,0,1,1,0
"Feb 25, 2022",ORL vs. HOU,W,25,6,7,0,0,1,1
"Feb 16, 2022",ORL vs. ATL,L,27,11,9,1,0,1,1
"Feb 14, 2022",ORL @ DEN,L,11,2,3,0,0,0,1
"Feb 12, 2022",ORL @ PHX,L,23,6,7,1,0,0,0
"Feb 11, 2022",ORL @ UTA,L,31,16,8,2,0,2,2
"Feb 08, 2022",ORL @ POR,W,19,13,9,2,2,0,0
"Feb 06, 2022",ORL vs. BOS,L,27,8,10,1,0,2,2
"Feb 05, 2022",ORL vs. MEM,L,20,3,3,2,0,2,0
"Feb 02, 2022",ORL @ IND,W,15,7,4,0,0,2,0
"Feb 01, 2022",ORL @ CHI,L,22,8,8,0,0,1,1
"Jan 30, 2022",ORL vs. DAL,W,24,10,7,0,0,0,1
"Jan 28, 2022",ORL vs. DET,W,30,18,11,0,0,2,1
"Jan 26, 2022",ORL vs. LAC,L,26,10,8,1,0,1,1
"Jan 23, 2022",ORL vs. CHI,W,7,0,3,0,0,0,2
"Jan 21, 2022",ORL vs. LAL,L,25,11,8,0,1,2,1
"Jan 19, 2022",ORL @ PHI,L,30,32,4,2,0,3,1
"Jan 17, 2022",ORL vs. POR,L,20,5,9,1,0,4,2
"Jan 15, 2022",ORL @ DAL,L,17,6,6,2,0,2,2
"Jan 09, 2022",ORL vs. WAS,L,28,10,9,0,2,0,3
"Jan 08, 2022",ORL @ DET,L,29,5,7,2,0,4,0
"Jan 05, 2022",ORL vs. PHI,L,28,19,8,1,2,2,2
"Jan 03, 2022",ORL @ CHI,L,23,3,7,0,0,0,0
"Jan 02, 2022",ORL @ BOS,L,18,6,7,0,1,0,0
"Dec 12, 2021",ORL @ LAL,L,12,2,4,0,0,2,1
"Dec 11, 2021",ORL @ LAC,L,29,11,7,1,1,2,1
"Dec 08, 2021",ORL @ SAC,L,28,14,8,1,0,4,0
"Dec 06, 2021",ORL @ GSW,L,18,2,3,2,0,2,3
"Dec 03, 2021",ORL @ HOU,L,31,15,6,3,2,2,2
"Dec 01, 2021",ORL vs. DEN,W,27,9,6,2,0,2,1
"Nov 29, 2021",ORL @ PHI,L,35,11,17,1,0,6,0
"Nov 26, 2021",ORL vs. CHI,L,23,4,6,2,0,1,2
"Nov 24, 2021",ORL vs. CHA,L,31,18,12,0,0,0,3
"Nov 22, 2021",ORL @ MIL,L,20,2,3,1,0,1,0
"Nov 20, 2021",ORL @ MIL,L,25,8,7,1,2,2,0
"Nov 19, 2021",ORL @ BKN,L,35,12,10,1,1,3,2
"Nov 17, 2021",ORL @ NYK,W,32,12,12,2,0,2,1
"Nov 15, 2021",ORL @ ATL,L,30,5,8,4,3,2,0
"Nov 13, 2021",ORL vs. WAS,L,26,14,17,3,1,3,2
"Nov 10, 2021",ORL vs. BKN,L,29,14,9,2,1,1,0
"Nov 07, 2021",ORL vs. UTA,W,23,9,7,1,2,4,0
"Nov 05, 2021",ORL vs. SAS,L,31,12,7,0,1,3,1
"Nov 03, 2021",ORL vs. BOS,L,29,5,10,1,2,1,1
"Nov 01, 2021",ORL @ MIN,W,34,8,10,1,0,4,4
"Oct 30, 2021",ORL @ DET,L,29,10,3,2,0,2,1
"Oct 29, 2021",ORL @ TOR,L,39,14,18,5,0,3,3
"Oct 27, 2021",ORL vs. CHA,L,32,14,10,3,1,1,1
"Oct 25, 2021",ORL @ MIA,L,28,11,5,0,2,1,1
"Oct 24, 2021",ORL @ NYK,W,34,10,13,2,0,0,4
"Oct 22, 2021",ORL vs. NYK,L,34,15,10,1,1,2,1
"Oct 20, 2021",ORL @ SAS,L,27,18,4,4,1,4,3
