GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Jan 14, 2022",IND vs. PHX,L,28,5,7,0,3,2,0
"Jan 12, 2022",IND vs. BOS,L,24,18,4,1,0,1,0
"Jan 10, 2022",IND @ BOS,L,23,6,3,0,2,3,2
"Jan 08, 2022",IND vs. UTA,W,28,8,6,2,0,4,3
"Jan 05, 2022",IND vs. BKN,L,31,14,4,1,1,5,0
"Jan 04, 2022",IND @ NYK,L,33,5,7,1,0,2,1
"Jan 02, 2022",IND @ CLE,L,37,12,10,3,2,3,3
"Dec 31, 2021",IND vs. CHI,L,18,10,6,1,0,1,0
"Dec 29, 2021",IND vs. CHA,L,32,14,5,1,0,4,3
"Dec 26, 2021",IND @ CHI,L,36,19,5,2,1,2,0
"Dec 23, 2021",IND vs. HOU,W,37,32,10,1,1,2,2
"Dec 21, 2021",IND @ MIA,L,22,9,7,1,1,2,1
"Dec 16, 2021",IND vs. DET,W,28,16,7,1,0,4,0
"Dec 15, 2021",IND @ MIL,L,30,13,5,3,2,5,3
"Dec 13, 2021",IND vs. GSW,L,36,6,10,1,0,4,1
"Dec 10, 2021",IND vs. DAL,W,37,17,10,0,0,1,0
"Dec 08, 2021",IND vs. NYK,W,32,22,4,0,1,2,1
"Dec 06, 2021",IND vs. WAS,W,30,5,7,1,0,4,2
"Dec 03, 2021",IND vs. MIA,L,34,20,4,1,0,3,1
"Dec 01, 2021",IND vs. ATL,L,34,17,9,0,1,2,0
"Nov 28, 2021",IND vs. MIL,L,23,2,8,1,0,0,1
"Nov 26, 2021",IND vs. TOR,W,31,17,10,1,0,2,0
"Nov 24, 2021",IND vs. LAL,L,36,12,6,2,1,2,0
"Nov 22, 2021",IND @ CHI,W,26,12,10,1,0,4,0
"Nov 20, 2021",IND vs. NOP,W,26,11,9,1,1,2,0
"Nov 19, 2021",IND @ CHA,L,19,4,4,1,0,2,1
"Nov 17, 2021",IND @ DET,L,31,6,4,0,1,1,4
"Nov 15, 2021",IND @ NYK,L,32,3,3,0,1,2,1
"Nov 13, 2021",IND vs. PHI,W,35,20,2,0,2,6,2
"Nov 11, 2021",IND @ UTA,W,30,13,9,1,1,3,2
"Nov 10, 2021",IND @ DEN,L,31,13,8,0,0,6,3
"Nov 07, 2021",IND @ SAC,W,35,12,15,3,1,5,1
"Nov 05, 2021",IND @ POR,L,31,16,6,2,0,1,1
"Nov 03, 2021",IND vs. NYK,W,29,25,13,2,1,3,0
"Nov 01, 2021",IND vs. SAS,W,24,19,8,0,2,3,3
"Oct 30, 2021",IND vs. TOR,L,36,10,11,4,0,5,1
"Oct 29, 2021",IND @ BKN,L,32,9,9,2,1,2,0
"Oct 27, 2021",IND @ TOR,L,23,10,7,0,0,3,1
"Oct 25, 2021",IND vs. MIL,L,14,5,4,1,0,1,2
"Oct 23, 2021",IND vs. MIA,W,16,4,4,0,0,2,3
"Oct 22, 2021",IND @ WAS,L,44,40,10,0,1,3,1
"Oct 20, 2021",IND @ CHA,L,26,9,7,1,0,4,4
