GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2022",LAC vs. SAC,W,26,5,5,3,2,0,2
"Apr 06, 2022",LAC vs. PHX,W,22,6,5,2,1,0,0
"Apr 03, 2022",LAC vs. NOP,W,23,6,1,5,1,0,0
"Mar 31, 2022",LAC @ CHI,L,38,17,5,2,2,3,0
"Mar 29, 2022",LAC vs. UTA,W,22,8,4,0,2,1,1
"Mar 25, 2022",LAC vs. PHI,L,23,9,3,0,1,0,2
"Mar 22, 2022",LAC @ DEN,L,19,9,5,2,0,1,2
"Mar 18, 2022",LAC @ UTA,L,11,2,1,0,0,0,0
"Mar 16, 2022",LAC vs. TOR,L,32,8,4,2,1,2,0
"Mar 14, 2022",LAC @ CLE,L,33,6,4,6,2,1,3
"Mar 13, 2022",LAC @ DET,W,26,2,3,3,1,0,0
"Mar 11, 2022",LAC @ ATL,L,34,13,3,3,2,0,0
"Mar 09, 2022",LAC vs. WAS,W,33,8,5,3,0,1,1
"Mar 08, 2022",LAC @ GSW,L,27,17,6,1,2,0,0
"Mar 06, 2022",LAC vs. NYK,L,19,7,5,1,0,1,0
"Mar 03, 2022",LAC vs. LAL,W,19,6,5,3,0,0,0
"Mar 01, 2022",LAC @ HOU,W,22,4,4,0,0,0,0
"Feb 27, 2022",LAC @ HOU,W,21,5,5,1,1,1,0
"Feb 25, 2022",LAC @ LAL,W,19,0,2,2,0,2,0
"Feb 17, 2022",LAC vs. HOU,W,21,3,4,3,1,0,1
"Feb 15, 2022",LAC @ PHX,L,25,18,7,1,1,2,0
"Feb 14, 2022",LAC vs. GSW,W,29,14,8,1,2,0,0
"Feb 12, 2022",LAC @ DAL,W,20,0,2,0,0,0,1
"Feb 10, 2022",LAC @ DAL,L,28,10,3,1,1,1,0
"Feb 08, 2022",LAC @ MEM,L,23,7,3,0,1,0,0
"Feb 06, 2022",LAC vs. MIL,L,16,2,4,1,0,0,0
"Feb 03, 2022",LAC vs. LAL,W,26,4,3,3,2,3,1
"Jan 31, 2022",LAC @ IND,L,25,13,2,1,1,1,0
"Jan 28, 2022",LAC @ MIA,L,22,12,1,2,0,0,0
"Jan 26, 2022",LAC @ ORL,W,22,12,7,2,1,0,1
"Jan 25, 2022",LAC @ WAS,W,8,0,4,0,0,0,0
"Jan 23, 2022",LAC @ NYK,L,25,6,2,3,2,0,0
"Jan 21, 2022",LAC @ PHI,W,30,15,7,3,2,0,0
"Jan 17, 2022",LAC vs. IND,W,36,32,5,3,0,2,1
"Jan 15, 2022",LAC @ SAS,L,27,13,7,1,1,0,3
"Jan 13, 2022",LAC @ NOP,L,24,6,4,0,1,3,1
"Jan 11, 2022",LAC vs. DEN,W,26,6,4,1,1,0,1
"Jan 09, 2022",LAC vs. ATL,W,30,10,8,3,1,1,1
"Jan 08, 2022",LAC vs. MEM,L,20,9,2,2,1,1,1
"Jan 06, 2022",LAC @ PHX,L,18,1,7,2,0,2,0
"Dec 26, 2021",LAC vs. DEN,L,30,4,4,1,0,0,1
"Dec 22, 2021",LAC @ SAC,W,21,4,2,3,2,1,2
"Dec 20, 2021",LAC vs. SAS,L,17,3,0,0,0,0,0
"Dec 18, 2021",LAC @ OKC,L,25,12,1,2,2,0,2
"Dec 08, 2021",LAC vs. BOS,W,15,0,1,1,1,1,1
"Nov 19, 2021",LAC @ NOP,L,31,12,3,0,1,0,1
"Nov 16, 2021",LAC vs. SAS,W,14,0,1,2,0,0,0
"Nov 14, 2021",LAC vs. CHI,L,35,5,7,2,1,1,4
"Nov 13, 2021",LAC vs. MIN,W,19,5,3,1,1,1,0
"Nov 11, 2021",LAC vs. MIA,W,37,6,6,3,2,3,2
"Nov 09, 2021",LAC vs. POR,W,29,22,6,1,1,0,0
"Nov 07, 2021",LAC vs. CHA,W,28,16,6,1,3,1,1
"Nov 05, 2021",LAC @ MIN,W,29,12,8,1,1,0,0
"Nov 03, 2021",LAC @ MIN,W,30,20,5,1,1,1,1
"Nov 01, 2021",LAC vs. OKC,W,32,14,8,1,2,1,0
"Oct 29, 2021",LAC @ POR,L,26,2,9,3,0,1,0
"Oct 27, 2021",LAC vs. CLE,L,32,16,4,2,1,0,0
"Oct 25, 2021",LAC vs. POR,W,22,2,6,1,2,0,2
"Oct 23, 2021",LAC vs. MEM,L,23,5,5,2,0,2,0
