GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",IND @ BKN,L,36,28,8,3,1,0,0
"Apr 09, 2022",IND @ PHI,L,29,20,7,1,1,0,0
"Apr 05, 2022",IND vs. PHI,L,30,4,7,4,0,0,2
"Apr 03, 2022",IND vs. DET,L,34,20,10,5,1,0,5
"Apr 01, 2022",IND @ BOS,L,34,17,6,1,2,0,1
"Mar 26, 2022",IND @ TOR,L,38,21,8,2,4,0,1
"Mar 24, 2022",IND @ MEM,L,34,13,2,2,1,2,0
"Mar 23, 2022",IND vs. SAC,L,33,10,10,1,0,0,3
"Mar 20, 2022",IND vs. POR,W,25,24,9,1,1,0,1
"Mar 18, 2022",IND @ HOU,W,31,14,8,4,0,1,0
"Mar 15, 2022",IND vs. MEM,L,21,7,4,0,0,0,0
"Mar 13, 2022",IND @ ATL,L,29,15,4,2,1,0,2
"Mar 12, 2022",IND @ SAS,W,27,9,7,0,1,0,0
"Mar 08, 2022",IND vs. CLE,L,23,5,4,0,0,0,0
"Mar 06, 2022",IND @ WAS,L,27,8,2,0,0,2,0
"Mar 04, 2022",IND @ DET,L,29,10,8,2,0,1,2
"Mar 02, 2022",IND @ ORL,W,28,6,7,2,1,1,0
"Feb 28, 2022",IND @ ORL,L,31,6,6,2,0,1,0
"Feb 27, 2022",IND vs. BOS,W,34,27,6,0,0,0,0
"Feb 25, 2022",IND vs. OKC,L,37,10,15,1,3,2,1
"Feb 16, 2022",IND vs. WAS,W,29,17,6,2,2,1,1
"Feb 15, 2022",IND @ MIL,L,27,6,2,1,0,1,1
"Feb 13, 2022",IND vs. MIN,L,37,22,13,2,0,2,2
"Feb 11, 2022",IND vs. CLE,L,38,18,11,3,0,2,1
"Feb 08, 2022",IND @ ATL,L,29,15,6,2,2,0,2
"Feb 06, 2022",IND @ CLE,L,17,3,7,1,1,0,2
"Feb 04, 2022",IND vs. CHI,L,10,2,1,0,0,0,0
"Jan 29, 2022",IND @ DAL,L,23,5,10,1,0,0,1
"Jan 28, 2022",IND @ OKC,W,24,10,7,0,0,0,0
"Jan 26, 2022",IND vs. CHA,L,17,5,6,1,2,0,0
"Jan 24, 2022",IND @ NOP,L,33,6,9,0,2,2,2
"Jan 22, 2022",IND @ PHX,L,18,10,5,0,0,0,0
"Jan 20, 2022",IND @ GSW,W,22,2,6,1,1,0,1
"Jan 19, 2022",IND @ LAL,W,16,5,2,1,0,0,0
"Jan 17, 2022",IND @ LAC,L,22,13,3,1,0,0,0
"Jan 14, 2022",IND vs. PHX,L,16,6,3,0,0,0,2
"Jan 12, 2022",IND vs. BOS,L,25,8,9,0,1,1,1
"Jan 10, 2022",IND @ BOS,L,35,6,4,1,0,3,0
"Jan 08, 2022",IND vs. UTA,W,18,7,5,0,0,0,0
"Jan 05, 2022",IND vs. BKN,L,26,8,8,0,1,0,1
"Jan 04, 2022",IND @ NYK,L,15,4,2,2,0,0,0
"Jan 02, 2022",IND @ CLE,L,16,6,4,1,0,0,2
"Dec 31, 2021",IND vs. CHI,L,31,9,7,2,1,1,0
"Dec 29, 2021",IND vs. CHA,L,21,14,5,2,0,0,0
"Dec 26, 2021",IND @ CHI,L,19,6,4,1,1,0,0
"Dec 23, 2021",IND vs. HOU,W,30,6,7,2,0,1,0
"Dec 21, 2021",IND @ MIA,L,24,14,5,1,1,1,1
"Dec 16, 2021",IND vs. DET,W,20,9,4,1,1,0,0
"Dec 15, 2021",IND @ MIL,L,23,8,5,0,1,0,2
"Dec 13, 2021",IND vs. GSW,L,25,8,4,0,5,0,0
"Dec 10, 2021",IND vs. DAL,W,26,9,4,2,1,0,3
"Dec 08, 2021",IND vs. NYK,W,20,5,6,1,0,0,0
"Dec 06, 2021",IND vs. WAS,W,29,12,8,1,0,1,1
"Dec 03, 2021",IND vs. MIA,L,21,5,3,0,0,0,0
"Dec 01, 2021",IND vs. ATL,L,18,8,4,0,2,1,1
"Nov 28, 2021",IND vs. MIL,L,7,8,1,2,0,0,1
"Nov 22, 2021",IND @ CHI,W,7,3,2,0,0,1,0
"Nov 20, 2021",IND vs. NOP,W,9,0,2,0,0,0,1
"Nov 19, 2021",IND @ CHA,L,8,0,1,1,0,0,0
"Nov 10, 2021",IND @ DEN,L,4,0,1,0,0,0,0
"Nov 01, 2021",IND vs. SAS,W,3,2,0,0,0,0,0
"Oct 30, 2021",IND vs. TOR,L,8,2,0,0,1,1,0
"Oct 29, 2021",IND @ BKN,L,4,0,0,0,0,0,0
"Oct 27, 2021",IND @ TOR,L,21,6,3,0,0,0,3
"Oct 25, 2021",IND vs. MIL,L,23,3,6,2,0,0,1
"Oct 23, 2021",IND vs. MIA,W,32,18,9,1,1,0,3
"Oct 22, 2021",IND @ WAS,L,8,0,0,0,0,0,0
