GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Nov 23, 2021",DEN @ POR,L,4,2,2,1,0,0,0
"Nov 21, 2021",DEN @ PHX,L,21,3,7,1,0,0,0
"Nov 19, 2021",DEN vs. CHI,L,22,9,10,2,0,1,2
"Nov 18, 2021",DEN vs. PHI,L,16,0,2,0,0,0,2
"Nov 15, 2021",DEN @ DAL,L,22,5,1,2,0,1,1
"Nov 14, 2021",DEN vs. POR,W,22,12,4,4,1,0,0
"Nov 12, 2021",DEN vs. ATL,W,23,12,2,1,0,1,1
"Nov 10, 2021",DEN vs. IND,W,25,6,4,2,1,0,1
"Nov 08, 2021",DEN vs. MIA,W,21,7,8,1,0,0,1
"Nov 06, 2021",DEN vs. HOU,W,23,6,4,4,3,0,1
"Nov 03, 2021",DEN @ MEM,L,19,0,0,2,1,1,0
"Nov 01, 2021",DEN @ MEM,L,19,7,1,1,1,1,0
"Oct 30, 2021",DEN @ MIN,W,14,2,4,1,1,1,0
"Oct 29, 2021",DEN vs. DAL,W,22,5,4,2,1,0,2
"Oct 26, 2021",DEN @ UTA,L,17,2,2,0,0,0,1
"Oct 25, 2021",DEN vs. CLE,L,10,2,1,1,1,0,0
"Oct 22, 2021",DEN vs. SAS,W,21,7,2,3,0,0,0
"Oct 20, 2021",DEN @ PHX,W,21,10,5,1,1,0,1
