GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Jan 25, 2022",SAC @ BOS,L,10,7,2,1,0,0,0
"Jan 22, 2022",SAC @ MIL,L,30,22,7,3,1,0,3
"Jan 19, 2022",SAC vs. DET,L,38,35,6,3,1,1,0
"Jan 16, 2022",SAC vs. HOU,L,37,17,6,5,4,0,1
"Jan 14, 2022",SAC vs. HOU,W,18,14,0,1,2,1,1
"Jan 12, 2022",SAC vs. LAL,W,5,3,1,1,0,0,0
"Jan 10, 2022",SAC vs. CLE,L,3,2,1,0,0,0,0
"Jan 09, 2022",SAC @ POR,L,13,2,3,3,0,0,2
"Dec 28, 2021",SAC vs. OKC,W,21,11,6,3,0,1,0
"Dec 26, 2021",SAC vs. MEM,L,16,15,2,0,1,1,0
"Dec 13, 2021",SAC @ TOR,L,17,5,6,2,1,0,2
"Dec 11, 2021",SAC @ CLE,L,18,9,2,2,0,0,2
"Dec 10, 2021",SAC @ CHA,L,22,19,8,1,3,1,2
"Dec 08, 2021",SAC vs. ORL,W,30,16,5,3,0,1,2
"Dec 04, 2021",SAC vs. LAC,W,29,28,4,0,1,0,2
"Dec 01, 2021",SAC @ LAC,W,30,23,4,2,3,0,3
"Nov 30, 2021",SAC vs. LAL,L,15,8,6,1,1,2,2
"Nov 28, 2021",SAC @ MEM,L,17,13,4,0,0,2,4
"Nov 26, 2021",SAC @ LAL,W,29,13,6,2,2,0,0
"Nov 19, 2021",SAC vs. TOR,L,15,9,1,0,0,1,2
"Nov 12, 2021",SAC @ OKC,L,9,3,1,0,1,0,1
"Nov 08, 2021",SAC vs. PHX,L,26,13,3,1,0,0,0
"Nov 07, 2021",SAC vs. IND,L,5,0,0,0,0,0,0
"Nov 05, 2021",SAC vs. CHA,W,17,8,2,0,1,0,1
"Oct 31, 2021",SAC @ DAL,L,9,2,1,0,0,0,1
"Oct 29, 2021",SAC @ NOP,W,4,2,1,0,0,0,0
"Oct 27, 2021",SAC @ PHX,W,11,0,1,2,1,0,0
"Oct 24, 2021",SAC vs. GSW,L,12,0,2,1,0,0,0
"Oct 22, 2021",SAC vs. UTA,L,20,6,3,0,1,0,1
"Oct 20, 2021",SAC @ POR,W,13,6,0,3,1,0,1
