GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2022",WAS vs. NYK,L,26,0,10,0,0,3,1
"Apr 06, 2022",WAS @ ATL,L,4,2,3,0,0,0,0
"Apr 03, 2022",WAS @ BOS,L,8,2,3,0,0,0,0
"Apr 01, 2022",WAS vs. DAL,W,3,5,0,0,0,0,0
"Mar 25, 2022",WAS @ DET,W,14,7,5,0,0,0,1
"Mar 16, 2022",WAS vs. DEN,L,11,9,1,1,0,1,0
"Mar 12, 2022",WAS @ POR,L,23,9,4,1,0,3,0
"Mar 04, 2022",WAS vs. ATL,L,22,12,6,3,0,1,2
"Mar 01, 2022",WAS vs. DET,W,22,16,6,1,0,1,2
"Feb 26, 2022",WAS @ CLE,L,16,4,3,0,0,1,3
"Feb 25, 2022",WAS vs. SAS,L,15,6,3,2,0,1,1
"Feb 17, 2022",WAS @ BKN,W,14,12,5,2,0,2,0
"Feb 16, 2022",WAS @ IND,L,24,4,7,1,0,1,0
"Feb 14, 2022",WAS vs. DET,W,20,11,4,2,0,0,0
"Feb 12, 2022",WAS vs. SAC,L,22,13,5,1,2,0,1
"Feb 10, 2022",WAS vs. BKN,W,20,13,6,3,1,2,0
"Feb 07, 2022",WAS vs. MIA,L,22,8,5,0,0,0,3
"Feb 05, 2022",WAS vs. PHX,L,17,5,4,0,0,0,1
"Feb 01, 2022",WAS @ MIL,L,16,5,1,1,0,0,1
"Jan 29, 2022",WAS @ MEM,L,20,4,4,0,1,1,1
"Jan 25, 2022",WAS vs. LAC,L,15,11,4,1,0,1,1
"Jan 23, 2022",WAS vs. BOS,L,22,11,4,1,2,1,0
"Jan 21, 2022",WAS vs. TOR,L,14,5,2,0,0,1,0
"Jan 19, 2022",WAS vs. BKN,L,12,6,5,1,0,0,1
"Jan 17, 2022",WAS vs. PHI,W,16,15,5,1,0,1,0
"Jan 15, 2022",WAS vs. POR,L,12,0,2,0,0,0,0
"Jan 12, 2022",WAS vs. ORL,W,12,6,1,1,0,0,0
