GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",PHX vs. SAC,L,26,8,3,4,0,2,1
"Apr 08, 2022",PHX @ UTA,W,12,8,2,0,0,0,0
"Apr 06, 2022",PHX @ LAC,L,22,11,6,0,1,0,2
"Apr 05, 2022",PHX vs. LAL,W,17,9,2,0,0,0,1
"Apr 03, 2022",PHX @ OKC,L,22,8,1,1,3,1,2
"Apr 01, 2022",PHX @ MEM,L,11,3,0,0,0,1,0
"Mar 30, 2022",PHX @ GSW,W,18,6,3,0,3,0,0
"Mar 27, 2022",PHX vs. PHI,W,19,3,1,0,0,0,2
"Mar 24, 2022",PHX @ DEN,W,19,8,2,1,1,0,0
"Mar 23, 2022",PHX @ MIN,W,26,5,5,4,1,0,0
"Mar 20, 2022",PHX @ SAC,W,31,6,10,2,2,0,2
"Mar 18, 2022",PHX vs. CHI,W,31,14,9,2,2,0,2
"Mar 16, 2022",PHX @ HOU,W,34,21,14,3,0,2,1
"Mar 15, 2022",PHX @ NOP,W,28,11,1,2,0,1,0
"Mar 13, 2022",PHX vs. LAL,W,20,11,8,0,0,1,2
"Mar 11, 2022",PHX vs. TOR,L,14,3,1,4,0,0,1
"Mar 09, 2022",PHX @ MIA,W,16,0,1,1,1,0,0
"Mar 08, 2022",PHX @ ORL,W,20,6,4,1,2,2,0
"Mar 06, 2022",PHX @ MIL,L,21,5,4,1,1,1,2
"Mar 04, 2022",PHX vs. NYK,W,16,0,3,0,0,0,1
"Mar 02, 2022",PHX vs. POR,W,23,13,4,1,1,0,3
"Feb 27, 2022",PHX vs. UTA,L,13,0,2,0,0,0,1
"Feb 25, 2022",PHX vs. NOP,L,25,2,11,2,2,2,3
"Feb 24, 2022",PHX @ OKC,W,20,3,4,0,0,2,0
"Feb 16, 2022",PHX vs. HOU,W,23,9,4,0,0,2,0
"Feb 15, 2022",PHX vs. LAC,W,13,0,7,0,0,0,1
"Feb 12, 2022",PHX vs. ORL,W,23,14,3,4,2,0,1
"Feb 08, 2022",IND @ ATL,L,29,7,8,1,2,0,1
"Feb 06, 2022",IND @ CLE,L,33,5,7,1,2,0,2
"Feb 04, 2022",IND vs. CHI,L,39,5,6,0,0,2,1
"Feb 02, 2022",IND vs. ORL,L,37,22,5,3,1,0,2
"Jan 31, 2022",IND vs. LAC,W,27,8,2,2,0,0,1
