GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",CHI @ MIN,W,15,10,5,0,0,0,0
"Apr 08, 2022",CHI vs. CHA,L,14,7,4,0,0,0,0
"Apr 06, 2022",CHI vs. BOS,L,21,10,6,1,0,0,1
"Apr 05, 2022",CHI vs. MIL,L,16,4,7,0,0,1,0
"Apr 02, 2022",CHI vs. MIA,L,13,2,3,0,1,1,1
"Mar 31, 2022",CHI vs. LAC,W,12,4,6,1,0,0,0
"Mar 29, 2022",CHI @ WAS,W,17,4,3,2,0,1,0
"Mar 28, 2022",CHI @ NYK,L,14,2,6,0,0,0,0
"Mar 26, 2022",CHI @ CLE,W,12,5,4,1,1,0,0
"Mar 24, 2022",CHI @ NOP,L,15,4,4,2,0,0,1
"Mar 22, 2022",CHI @ MIL,L,16,5,4,0,1,0,0
"Mar 21, 2022",CHI vs. TOR,W,13,4,4,1,0,2,1
"Mar 18, 2022",CHI @ PHX,L,15,11,5,1,1,0,1
"Mar 16, 2022",CHI @ UTA,L,16,5,5,1,2,0,0
"Mar 14, 2022",CHI @ SAC,L,15,0,5,0,2,2,1
"Mar 12, 2022",CHI vs. CLE,W,14,5,6,0,0,0,0
"Mar 09, 2022",CHI @ DET,W,19,5,4,1,1,0,1
"Mar 07, 2022",CHI @ PHI,L,29,13,9,0,0,0,1
"Mar 04, 2022",CHI vs. MIL,L,20,4,3,1,0,0,1
"Mar 03, 2022",CHI @ ATL,L,21,8,5,1,1,0,1
"Feb 28, 2022",CHI @ MIA,L,16,2,1,0,0,0,1
"Feb 26, 2022",CHI vs. MEM,L,16,5,4,0,1,0,1
"Feb 24, 2022",CHI vs. ATL,W,13,11,6,1,1,0,0
"Feb 16, 2022",IND vs. WAS,W,21,17,6,0,0,1,1
"Feb 15, 2022",IND @ MIL,L,15,9,5,1,0,1,2
"Feb 13, 2022",IND vs. MIN,L,15,1,3,0,0,0,0
"Feb 11, 2022",IND vs. CLE,L,15,2,4,1,0,0,1
"Jan 09, 2022",SAC @ POR,L,15,1,3,0,1,1,0
"Jan 07, 2022",SAC @ DEN,L,11,5,3,0,0,1,1
"Jan 05, 2022",SAC vs. ATL,L,7,0,4,0,1,1,0
"Jan 02, 2022",SAC vs. MIA,W,2,0,0,0,0,0,1
"Dec 26, 2021",SAC vs. MEM,L,7,0,0,0,0,0,1
"Dec 22, 2021",SAC vs. LAC,L,24,11,7,1,1,0,0
"Dec 20, 2021",SAC @ GSW,L,27,10,9,1,1,0,2
"Dec 19, 2021",SAC vs. SAS,W,29,8,8,1,0,1,3
"Dec 17, 2021",SAC vs. MEM,L,29,12,9,4,0,0,2
"Dec 15, 2021",SAC vs. WAS,W,21,15,4,0,1,0,0
"Dec 13, 2021",SAC @ TOR,L,12,11,7,0,0,0,2
"Dec 11, 2021",SAC @ CLE,L,9,1,4,1,0,0,1
"Dec 10, 2021",SAC @ CHA,L,21,6,6,0,0,1,4
"Dec 08, 2021",SAC vs. ORL,W,21,14,10,0,1,1,1
"Dec 04, 2021",SAC vs. LAC,W,9,8,3,0,0,0,1
"Nov 28, 2021",SAC @ MEM,L,22,9,7,2,1,1,0
"Nov 26, 2021",SAC @ LAL,W,20,13,5,2,0,2,2
"Nov 24, 2021",SAC vs. POR,W,12,4,8,1,0,0,0
"Nov 22, 2021",SAC vs. PHI,L,11,8,7,0,0,0,0
"Nov 19, 2021",SAC vs. TOR,L,9,0,0,0,1,0,0
"Nov 17, 2021",SAC @ MIN,L,17,8,9,0,1,0,0
"Nov 15, 2021",SAC @ DET,W,15,4,8,1,0,1,0
"Nov 12, 2021",SAC @ OKC,L,16,6,10,0,1,0,2
"Nov 10, 2021",SAC @ SAS,L,6,4,5,1,0,0,2
"Nov 05, 2021",SAC vs. CHA,W,13,2,6,0,1,1,2
"Nov 03, 2021",SAC vs. NOP,W,8,0,0,0,0,1,0
"Oct 31, 2021",SAC @ DAL,L,21,13,5,3,0,0,0
"Oct 24, 2021",SAC vs. GSW,L,16,6,7,0,0,0,1
"Oct 22, 2021",SAC vs. UTA,L,4,0,2,0,0,0,0
"Oct 20, 2021",SAC @ POR,W,19,6,5,0,0,0,1
