GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",DEN vs. LAL,L,24,2,8,4,0,0,1
"Jan 03, 2022",DEN @ DAL,L,11,0,0,2,0,0,1
"Jan 01, 2022",DEN @ HOU,W,15,11,1,1,0,1,0
"Dec 26, 2021",DEN @ LAC,W,15,2,5,0,0,0,1
"Dec 23, 2021",DEN vs. CHA,L,19,11,4,2,0,0,0
"Dec 22, 2021",DEN @ OKC,L,17,9,4,0,0,1,2
"Dec 17, 2021",DEN @ ATL,W,17,6,0,2,0,0,1
"Dec 15, 2021",DEN vs. MIN,L,19,2,7,1,0,0,0
"Dec 13, 2021",DEN vs. WAS,W,9,5,0,1,0,1,1
"Dec 11, 2021",DEN @ SAS,W,4,0,0,0,1,0,0
"Dec 06, 2021",DEN @ CHI,L,1,3,0,0,0,0,0
"Dec 04, 2021",DEN @ NYK,W,3,0,1,0,0,0,0
"Nov 29, 2021",DEN @ MIA,W,4,0,0,0,0,0,1
"Nov 26, 2021",DEN vs. MIL,L,15,10,1,4,1,0,1
"Nov 23, 2021",DEN @ POR,L,3,1,0,0,0,0,0
