GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",OKC @ LAC,L,40,16,3,2,0,0,1
"Apr 08, 2022",OKC @ LAL,L,43,6,9,2,1,1,2
"Apr 06, 2022",OKC @ UTA,L,34,9,6,6,1,0,2
"Apr 05, 2022",OKC vs. POR,W,21,11,3,1,3,1,1
"Apr 03, 2022",OKC vs. PHX,W,37,11,6,8,0,1,1
"Apr 01, 2022",OKC vs. DET,L,41,7,4,3,0,0,4
"Mar 30, 2022",OKC vs. ATL,L,35,9,5,5,2,0,1
"Mar 28, 2022",OKC @ POR,W,32,12,3,2,2,0,1
"Mar 26, 2022",OKC @ DEN,L,28,7,4,6,0,1,1
"Mar 23, 2022",OKC vs. ORL,W,27,12,11,2,0,0,2
"Mar 21, 2022",OKC vs. BOS,L,22,2,2,1,1,2,0
"Mar 20, 2022",OKC @ ORL,L,32,8,5,1,2,0,1
"Mar 18, 2022",OKC @ MIA,L,29,3,5,2,0,0,0
"Mar 16, 2022",OKC @ SAS,L,20,8,6,0,1,0,1
"Mar 14, 2022",OKC vs. CHA,L,15,12,3,2,0,0,2
"Mar 13, 2022",OKC vs. MEM,L,20,0,3,3,0,1,2
"Mar 09, 2022",OKC @ MIN,L,25,9,2,1,1,0,2
"Mar 08, 2022",OKC vs. MIL,L,19,6,1,2,1,0,0
"Mar 06, 2022",OKC vs. UTA,L,20,6,2,0,1,0,0
"Mar 04, 2022",OKC vs. MIN,L,28,0,0,1,1,0,0
"Mar 02, 2022",OKC @ DEN,W,21,9,4,0,0,1,1
"Feb 28, 2022",OKC vs. SAC,L,29,10,5,2,1,0,1
"Feb 25, 2022",OKC @ IND,W,18,0,2,2,0,0,0
"Feb 24, 2022",OKC vs. PHX,L,21,8,2,1,1,0,1
"Feb 16, 2022",OKC vs. SAS,L,8,0,1,0,0,0,0
"Feb 14, 2022",OKC @ NYK,W,5,0,1,0,0,0,1
"Feb 11, 2022",OKC @ PHI,L,9,4,0,2,0,0,0
"Nov 07, 2021",OKC vs. SAS,W,0,0,1,0,0,0,0
"Oct 22, 2021",OKC @ HOU,L,6,2,1,0,0,0,1
"Oct 20, 2021",OKC @ UTA,L,3,0,1,0,0,0,0
