GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 10, 2022",SAS @ DAL,L,15,8,2,4,3,1,1
"Apr 09, 2022",SAS vs. GSW,L,22,7,11,2,0,3,2
"Apr 07, 2022",SAS @ MIN,L,16,13,3,1,0,1,1
"Apr 05, 2022",SAS @ DEN,W,25,13,7,3,1,0,1
"Apr 03, 2022",SAS vs. POR,W,31,18,13,2,0,0,5
"Apr 01, 2022",SAS vs. POR,W,25,15,9,5,2,2,2
"Mar 30, 2022",SAS vs. MEM,L,14,4,2,2,0,0,1
"Mar 28, 2022",SAS @ HOU,W,21,13,8,3,1,0,1
"Mar 26, 2022",SAS @ NOP,W,18,10,5,3,0,0,1
"Mar 23, 2022",SAS @ POR,W,23,8,9,3,0,2,2
"Mar 20, 2022",SAS @ GSW,W,19,11,1,2,0,0,1
"Mar 18, 2022",SAS vs. NOP,L,16,2,5,3,0,1,3
"Mar 16, 2022",SAS vs. OKC,W,15,7,4,1,0,1,0
"Mar 14, 2022",SAS vs. MIN,L,19,5,5,2,0,4,2
"Mar 12, 2022",SAS vs. IND,L,20,9,5,2,0,1,1
"Mar 11, 2022",SAS vs. UTA,W,19,15,5,3,0,1,1
"Mar 09, 2022",SAS vs. TOR,L,10,4,0,0,0,0,0
"Mar 07, 2022",SAS vs. LAL,W,9,3,3,0,0,0,0
"Mar 05, 2022",SAS @ CHA,L,18,5,10,2,0,3,1
"Mar 03, 2022",SAS vs. SAC,L,15,4,5,3,0,0,1
"Feb 28, 2022",SAS @ MEM,L,16,6,5,1,0,0,3
"Feb 26, 2022",SAS @ MIA,L,17,5,7,2,0,0,5
"Feb 25, 2022",SAS @ WAS,W,16,4,3,1,2,1,2
"Feb 16, 2022",SAS @ OKC,W,16,0,6,1,0,1,3
"Feb 14, 2022",SAS @ CHI,L,18,9,2,2,1,1,0
"Feb 11, 2022",SAS @ ATL,W,17,5,4,2,0,0,1
"Feb 09, 2022",SAS @ CLE,L,18,5,7,3,1,0,2
"Feb 04, 2022",SAS vs. HOU,W,13,10,7,3,2,0,2
