GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2022",CHI vs. CHA,L,30,23,4,7,0,0,1
"Apr 06, 2022",CHI vs. BOS,L,27,7,2,4,0,1,2
"Apr 02, 2022",CHI vs. MIA,L,35,33,5,2,1,0,1
"Mar 31, 2022",CHI vs. LAC,W,41,21,4,5,1,0,2
"Mar 29, 2022",CHI @ WAS,W,34,14,4,1,0,0,3
"Mar 28, 2022",CHI @ NYK,L,36,27,4,3,0,0,0
"Mar 26, 2022",CHI @ CLE,W,39,25,1,3,1,0,2
"Mar 24, 2022",CHI @ NOP,L,40,39,3,3,1,1,5
"Mar 22, 2022",CHI @ MIL,L,34,21,3,7,1,0,2
"Mar 21, 2022",CHI vs. TOR,W,35,26,6,6,1,0,0
"Mar 18, 2022",CHI @ PHX,L,30,12,2,9,0,0,2
"Mar 16, 2022",CHI @ UTA,L,33,33,2,5,3,1,1
"Mar 14, 2022",CHI @ SAC,L,36,27,3,6,0,1,2
"Mar 09, 2022",CHI @ DET,W,38,25,5,1,1,0,2
"Mar 07, 2022",CHI @ PHI,L,37,24,8,5,0,0,5
"Mar 04, 2022",CHI vs. MIL,L,38,30,8,6,1,0,1
"Mar 03, 2022",CHI @ ATL,L,34,22,3,7,0,1,4
"Feb 28, 2022",CHI @ MIA,L,33,22,4,4,0,0,3
"Feb 26, 2022",CHI vs. MEM,L,38,28,4,6,1,0,3
"Feb 24, 2022",CHI vs. ATL,W,36,20,5,3,0,0,1
"Feb 11, 2022",CHI vs. MIN,W,37,12,4,6,0,1,4
"Feb 09, 2022",CHI @ CHA,W,40,27,6,5,0,0,2
"Feb 07, 2022",CHI vs. PHX,L,37,32,6,8,0,0,2
"Feb 03, 2022",CHI @ TOR,L,42,15,5,7,2,1,2
"Feb 01, 2022",CHI vs. ORL,W,36,26,5,3,0,0,3
"Jan 30, 2022",CHI vs. POR,W,33,20,2,4,1,1,0
"Jan 28, 2022",CHI @ SAS,L,35,30,4,4,0,1,2
"Jan 26, 2022",CHI vs. TOR,W,38,23,8,8,1,0,3
"Jan 24, 2022",CHI @ OKC,W,35,23,7,7,2,1,3
"Jan 14, 2022",CHI vs. GSW,L,4,0,1,0,0,0,1
"Jan 12, 2022",CHI vs. BKN,L,33,22,1,6,1,1,5
"Jan 11, 2022",CHI vs. DET,W,29,10,9,7,1,0,1
"Jan 09, 2022",CHI @ DAL,L,35,20,2,2,2,0,4
"Jan 07, 2022",CHI vs. WAS,W,33,27,1,3,1,0,4
"Jan 03, 2022",CHI vs. ORL,W,34,27,3,0,1,0,3
"Jan 01, 2022",CHI @ WAS,W,38,35,5,3,0,0,4
"Dec 31, 2021",CHI @ IND,W,36,17,6,4,1,2,4
"Dec 29, 2021",CHI vs. ATL,W,32,25,2,5,0,0,4
"Dec 27, 2021",CHI @ ATL,W,37,30,4,9,1,0,2
"Dec 26, 2021",CHI vs. IND,W,33,32,4,5,1,1,4
"Dec 11, 2021",CHI @ MIA,L,38,33,7,4,1,0,4
"Dec 08, 2021",CHI @ CLE,L,35,23,4,9,0,0,4
"Dec 06, 2021",CHI vs. DEN,W,39,32,3,8,1,0,3
"Dec 04, 2021",CHI @ BKN,W,37,31,8,6,0,1,0
"Dec 02, 2021",CHI @ NYK,W,35,27,7,5,1,1,3
"Nov 29, 2021",CHI vs. CHA,W,35,25,6,5,0,0,2
"Nov 27, 2021",CHI vs. MIA,L,37,16,4,2,1,0,2
"Nov 26, 2021",CHI @ ORL,W,29,21,4,5,0,0,0
"Nov 24, 2021",CHI @ HOU,L,36,28,2,4,1,1,3
"Nov 22, 2021",CHI vs. IND,L,26,17,2,3,0,0,3
"Nov 21, 2021",CHI vs. NYK,W,36,21,6,4,1,1,2
"Nov 19, 2021",CHI @ DEN,W,37,36,5,4,1,0,2
"Nov 17, 2021",CHI @ POR,L,37,30,6,2,0,1,4
"Nov 15, 2021",CHI @ LAL,W,34,26,5,5,0,0,2
"Nov 14, 2021",CHI @ LAC,W,38,29,8,2,0,0,4
"Nov 12, 2021",CHI @ GSW,L,34,23,6,0,1,0,7
"Nov 10, 2021",CHI vs. DAL,W,32,23,3,3,1,0,1
"Nov 08, 2021",CHI vs. BKN,W,33,24,5,5,1,1,1
"Nov 06, 2021",CHI vs. PHI,L,38,32,9,3,0,0,4
"Nov 03, 2021",CHI @ PHI,L,38,27,9,1,1,0,5
"Nov 01, 2021",CHI @ BOS,W,38,26,3,7,1,0,1
"Oct 30, 2021",CHI vs. UTA,W,34,26,5,5,0,0,0
"Oct 28, 2021",CHI vs. NYK,L,35,25,5,3,0,1,3
"Oct 25, 2021",CHI @ TOR,W,35,22,4,5,1,0,2
"Oct 23, 2021",CHI vs. DET,W,33,14,4,5,0,0,2
"Oct 22, 2021",CHI vs. NOP,W,32,32,6,5,0,1,6
"Oct 20, 2021",CHI @ DET,W,35,34,7,4,1,1,2
