GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 06, 2023",DET vs. POR,L,23,13,6,4,1,1,1
"Mar 01, 2023",DET vs. CHI,L,18,11,4,1,1,0,1
"Feb 27, 2023",DET @ CHA,L,30,17,4,2,1,0,2
"Feb 25, 2023",DET vs. TOR,L,17,2,4,4,0,0,0
"Feb 23, 2023",DET @ ORL,L,19,16,5,3,2,1,1
"Feb 15, 2023",DET @ BOS,L,20,7,1,3,0,1,1
"Feb 12, 2023",DET @ TOR,L,28,21,3,2,1,0,2
"Feb 10, 2023",DET vs. SAS,W,15,5,4,1,0,0,3
"Feb 08, 2023",DET @ CLE,L,16,4,0,1,2,0,0
"Feb 06, 2023",DET vs. BOS,L,19,5,0,2,1,0,1
"Feb 04, 2023",DET vs. PHX,L,25,8,0,2,0,0,2
"Feb 03, 2023",DET vs. CHA,W,26,16,6,2,0,0,1
"Jan 30, 2023",DET @ DAL,L,30,7,9,3,1,0,1
"Jan 28, 2023",DET vs. HOU,L,27,21,2,2,0,0,1
"Jan 26, 2023",DET @ BKN,W,30,20,5,4,1,0,0
"Jan 23, 2023",DET vs. MIL,L,19,4,1,1,1,0,3
"Jan 19, 2023",DET vs. CHI,L,21,6,3,3,0,0,0
"Jan 15, 2023",DET vs. NYK,L,21,14,3,2,0,0,0
"Jan 13, 2023",DET vs. NOP,L,19,7,4,1,1,0,1
"Jan 11, 2023",DET vs. MIN,W,20,13,2,5,0,0,1
"Jan 10, 2023",DET @ PHI,L,21,16,2,0,1,1,3
"Jan 08, 2023",DET vs. PHI,L,22,12,4,4,0,0,2
"Jan 06, 2023",DET @ SAS,L,21,9,3,2,1,0,0
"Jan 04, 2023",DET @ GSW,W,31,15,4,4,2,0,0
"Jan 02, 2023",DET @ POR,L,24,19,3,3,0,0,1
"Dec 31, 2022",DET @ MIN,W,29,13,7,2,0,1,0
"Dec 30, 2022",DET @ CHI,L,22,19,1,4,0,0,2
"Dec 28, 2022",DET vs. ORL,W,31,32,2,4,2,1,0
"Dec 26, 2022",DET vs. LAC,L,28,14,5,5,2,0,2
"Dec 23, 2022",DET @ ATL,L,21,7,3,1,0,0,4
"Dec 21, 2022",DET @ PHI,L,12,7,0,1,1,0,0
"Dec 20, 2022",DET vs. UTA,L,17,10,1,2,0,0,1
"Dec 18, 2022",DET vs. BKN,L,22,12,5,1,1,0,2
"Dec 16, 2022",DET vs. SAC,L,24,7,3,0,0,0,4
"Dec 14, 2022",DET @ CHA,W,26,27,3,3,0,1,1
"Dec 11, 2022",DET vs. LAL,L,24,11,4,3,1,0,0
"Dec 09, 2022",DET @ MEM,L,17,6,0,4,2,0,0
"Dec 07, 2022",DET @ NOP,L,22,14,2,1,0,0,0
"Dec 06, 2022",DET @ MIA,W,22,18,9,2,0,0,1
"Dec 04, 2022",DET vs. MEM,L,19,7,4,1,1,0,1
"Dec 01, 2022",DET vs. DAL,W,20,10,6,1,2,0,0
"Nov 29, 2022",DET vs. NYK,L,15,0,2,5,1,0,2
"Nov 27, 2022",DET vs. CLE,L,25,17,2,0,0,0,0
"Nov 25, 2022",DET @ PHX,L,18,17,2,1,0,0,3
"Nov 23, 2022",DET @ UTA,W,19,18,3,1,1,0,0
"Nov 22, 2022",DET @ DEN,W,21,21,0,2,3,0,3
"Nov 20, 2022",DET @ SAC,L,25,16,3,1,1,1,1
"Nov 18, 2022",DET @ LAL,L,24,23,3,3,1,0,1
"Nov 17, 2022",DET @ LAC,L,18,6,2,2,1,0,1
"Nov 14, 2022",DET vs. TOR,L,17,15,2,2,1,0,1
"Nov 11, 2022",DET @ NYK,L,25,17,2,1,0,0,0
