GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2023",LAC vs. POR,W,2,0,0,0,0,0,0
"Mar 31, 2023",LAC @ MEM,L,12,8,1,1,0,0,1
"Mar 27, 2023",LAC vs. CHI,W,4,0,0,0,0,1,1
"Mar 25, 2023",LAC vs. NOP,L,10,0,0,0,0,1,1
"Mar 23, 2023",LAC vs. OKC,W,5,0,0,1,0,0,0
"Mar 15, 2023",LAC vs. GSW,W,1,1,0,0,0,0,0
"Mar 11, 2023",LAC vs. NYK,W,1,0,0,0,0,0,0
"Mar 03, 2023",LAC @ SAC,L,13,0,0,1,0,0,0
"Mar 02, 2023",LAC @ GSW,L,7,2,1,1,0,0,1
"Feb 26, 2023",LAC @ DEN,L,1,0,0,0,0,0,0
"Feb 14, 2023",LAC vs. GSW,W,2,2,0,0,0,0,1
"Feb 10, 2023",LAC vs. MIL,L,30,10,3,1,0,0,1
"Jan 29, 2023",LAC @ CLE,L,38,18,4,2,1,0,0
"Jan 26, 2023",LAC vs. SAS,W,7,0,1,1,0,1,1
"Jan 24, 2023",LAC @ LAL,W,3,0,0,0,0,0,0
"Jan 18, 2023",LAC @ UTA,L,25,8,3,3,0,0,0
"Jan 17, 2023",LAC vs. PHI,L,3,0,0,0,0,0,0
"Jan 15, 2023",LAC vs. HOU,W,18,5,2,1,0,0,0
"Jan 10, 2023",LAC vs. DAL,W,1,0,0,0,0,0,0
"Jan 06, 2023",LAC @ MIN,L,19,2,3,4,0,0,1
"Jan 05, 2023",LAC @ DEN,L,20,6,2,3,0,0,0
"Dec 27, 2022",LAC @ TOR,W,1,0,0,0,0,0,0
"Dec 26, 2022",LAC @ DET,W,3,2,1,1,0,0,0
"Dec 21, 2022",LAC vs. CHA,W,3,0,0,1,0,0,0
"Dec 17, 2022",LAC vs. WAS,W,20,10,5,1,0,0,1
"Dec 15, 2022",LAC vs. PHX,L,38,11,1,1,0,0,1
"Dec 14, 2022",LAC vs. MIN,W,3,0,0,0,0,0,1
"Dec 12, 2022",LAC vs. BOS,W,4,0,0,0,1,0,0
"Dec 07, 2022",LAC @ ORL,L,19,3,2,3,0,0,0
"Dec 03, 2022",LAC vs. SAC,L,33,3,2,1,0,0,0
"Nov 30, 2022",LAC @ UTA,L,19,5,1,1,0,1,1
"Nov 29, 2022",LAC @ POR,W,25,7,1,2,0,0,1
"Nov 27, 2022",LAC vs. IND,W,28,8,0,5,1,0,1
"Nov 25, 2022",LAC vs. DEN,L,25,9,2,3,0,0,1
"Nov 23, 2022",LAC @ GSW,L,36,13,3,7,0,0,2
"Nov 21, 2022",LAC vs. UTA,W,22,8,5,0,1,0,0
"Nov 19, 2022",LAC vs. SAS,W,8,3,1,0,0,0,0
"Nov 15, 2022",LAC @ DAL,L,10,2,0,1,0,0,1
"Nov 14, 2022",LAC @ HOU,W,19,0,1,2,0,0,1
"Nov 12, 2022",LAC vs. BKN,L,2,2,0,0,0,0,0
"Nov 09, 2022",LAC vs. LAL,W,1,0,0,0,0,0,0
"Nov 06, 2022",LAC vs. UTA,L,1,0,0,0,0,0,0
"Nov 04, 2022",LAC @ SAS,W,12,6,0,0,2,0,0
"Nov 02, 2022",LAC @ HOU,W,7,0,1,0,0,0,0
"Oct 31, 2022",LAC vs. HOU,W,12,3,3,0,0,0,0
"Oct 30, 2022",LAC vs. NOP,L,14,4,1,2,0,0,1
"Oct 27, 2022",LAC @ OKC,L,6,0,0,0,0,0,0
"Oct 25, 2022",LAC @ OKC,L,26,8,2,2,0,1,0
"Oct 23, 2022",LAC vs. PHX,L,3,0,0,1,1,0,0
"Oct 22, 2022",LAC @ SAC,W,5,3,1,0,0,0,1
