GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 13, 2023",GSW vs. WAS,W,39,29,7,4,0,0,0
"Feb 11, 2023",GSW vs. LAL,L,31,12,5,1,0,0,1
"Feb 08, 2023",GSW @ POR,L,37,18,10,4,4,0,0
"Feb 06, 2023",GSW vs. OKC,W,32,18,3,4,1,1,2
"Feb 04, 2023",GSW vs. DAL,W,29,9,0,1,0,0,3
"Feb 02, 2023",GSW @ DEN,L,31,9,10,2,0,0,2
"Feb 01, 2023",GSW @ MIN,L,35,16,7,3,0,0,2
"Jan 30, 2023",GSW @ OKC,W,32,15,4,1,1,2,1
"Jan 22, 2023",GSW vs. BKN,L,27,4,2,1,1,0,0
"Jan 19, 2023",GSW @ BOS,L,40,20,4,3,1,4,2
"Jan 16, 2023",GSW @ WAS,W,32,14,3,4,0,0,1
"Jan 15, 2023",GSW @ CHI,L,29,11,5,3,0,0,0
"Jan 13, 2023",GSW @ SAS,W,27,16,5,2,1,2,1
"Jan 10, 2023",GSW vs. PHX,L,29,10,5,2,5,2,0
"Jan 07, 2023",GSW vs. ORL,L,19,12,3,2,1,0,3
"Dec 03, 2022",GSW vs. HOU,W,34,36,5,2,2,1,1
"Dec 02, 2022",GSW vs. CHI,W,30,12,2,1,0,1,2
"Nov 29, 2022",GSW @ DAL,L,27,10,1,2,0,0,0
"Nov 27, 2022",GSW @ MIN,W,31,17,3,2,2,0,2
"Nov 25, 2022",GSW vs. UTA,W,34,20,9,5,3,1,2
"Nov 23, 2022",GSW vs. LAC,W,32,31,4,2,3,1,0
"Nov 20, 2022",GSW @ HOU,W,37,22,5,0,2,0,2
"Nov 18, 2022",GSW vs. NYK,W,30,20,7,2,0,0,1
"Nov 16, 2022",GSW @ PHX,L,32,14,2,1,0,0,3
"Nov 14, 2022",GSW vs. SAS,W,23,10,4,1,1,0,2
"Nov 13, 2022",GSW @ SAC,L,34,26,4,2,2,0,0
"Nov 11, 2022",GSW vs. CLE,W,37,20,6,0,2,1,3
"Nov 07, 2022",GSW vs. SAC,W,40,25,10,2,2,1,4
"Nov 03, 2022",GSW @ ORL,L,33,15,3,3,0,2,3
"Nov 01, 2022",GSW @ MIA,L,35,21,4,5,0,2,1
"Oct 30, 2022",GSW @ DET,L,25,10,3,1,1,1,1
"Oct 29, 2022",GSW @ CHA,L,41,10,6,4,1,0,0
"Oct 27, 2022",GSW vs. MIA,W,37,18,10,2,1,1,2
"Oct 25, 2022",GSW @ PHX,L,31,16,6,3,1,1,0
"Oct 23, 2022",GSW vs. SAC,W,32,24,5,1,3,2,0
"Oct 21, 2022",GSW vs. DEN,L,37,23,8,3,3,1,0
"Oct 18, 2022",GSW vs. LAL,W,29,20,6,4,1,1,1
