GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",LAL vs. UTA,W,34,16,13,3,3,4,4
"Apr 07, 2023",LAL vs. PHX,W,34,14,21,4,0,3,1
"Apr 05, 2023",LAL @ LAC,L,32,17,11,3,1,2,1
"Apr 04, 2023",LAL @ UTA,W,42,21,14,6,2,2,1
"Apr 02, 2023",LAL @ HOU,W,30,40,9,1,0,2,0
"Mar 31, 2023",LAL @ MIN,W,37,38,17,0,1,2,3
"Mar 29, 2023",LAL @ CHI,W,39,38,9,4,2,2,0
"Mar 26, 2023",LAL vs. CHI,L,36,15,9,5,1,1,2
"Mar 24, 2023",LAL vs. OKC,W,36,37,15,1,1,0,1
"Mar 22, 2023",LAL vs. PHX,W,38,27,9,5,1,0,1
"Mar 19, 2023",LAL vs. ORL,W,34,15,11,1,2,4,5
"Mar 17, 2023",LAL vs. DAL,L,37,26,10,3,0,1,2
"Mar 14, 2023",LAL @ NOP,W,33,35,17,1,0,0,3
"Mar 12, 2023",LAL vs. NYK,L,37,17,16,4,2,1,1
"Mar 10, 2023",LAL vs. TOR,W,33,8,9,3,0,4,1
"Mar 07, 2023",LAL vs. MEM,W,36,30,22,3,0,2,7
"Mar 05, 2023",LAL vs. GSW,W,38,39,8,6,0,2,2
"Mar 03, 2023",LAL vs. MIN,L,32,38,5,2,1,2,6
"Feb 28, 2023",LAL @ MEM,L,36,28,19,0,0,5,5
"Feb 26, 2023",LAL @ DAL,W,37,30,15,4,1,3,1
"Feb 23, 2023",LAL vs. GSW,W,26,12,12,1,0,2,1
"Feb 15, 2023",LAL vs. NOP,W,30,28,10,5,1,2,0
"Feb 13, 2023",LAL @ POR,L,31,19,20,1,0,3,2
"Feb 11, 2023",LAL @ GSW,W,36,13,16,1,0,3,4
"Feb 09, 2023",LAL vs. MIL,L,35,23,16,2,0,0,5
"Feb 07, 2023",LAL vs. OKC,L,31,13,8,2,2,1,2
"Feb 04, 2023",LAL @ NOP,L,38,34,14,3,1,2,2
"Feb 02, 2023",LAL @ IND,W,35,31,14,2,1,2,2
"Jan 31, 2023",LAL @ NYK,W,37,27,9,1,2,0,5
"Jan 28, 2023",LAL @ BOS,L,34,16,10,4,0,0,2
"Jan 25, 2023",LAL vs. SAS,W,26,21,12,1,1,4,3
"Dec 16, 2022",LAL vs. DEN,W,17,10,4,2,1,1,2
"Dec 13, 2022",LAL vs. BOS,L,46,37,12,3,1,1,1
"Dec 11, 2022",LAL @ DET,W,36,34,15,7,2,1,1
"Dec 09, 2022",LAL @ PHI,L,36,31,12,0,2,2,3
"Dec 06, 2022",LAL @ CLE,L,8,1,3,2,0,0,0
"Dec 04, 2022",LAL @ WAS,W,38,55,17,1,0,3,2
"Dec 02, 2022",LAL @ MIL,W,40,44,10,4,0,3,0
"Nov 30, 2022",LAL vs. POR,W,29,27,12,1,1,3,2
"Nov 28, 2022",LAL vs. IND,L,37,25,13,6,0,4,2
"Nov 25, 2022",LAL @ SAS,W,35,25,15,4,1,3,3
"Nov 22, 2022",LAL @ PHX,L,38,37,21,2,5,5,6
"Nov 20, 2022",LAL vs. SAS,W,28,30,18,2,3,1,2
"Nov 18, 2022",LAL vs. DET,W,34,38,16,2,1,4,4
"Nov 13, 2022",LAL vs. BKN,W,34,37,18,2,0,0,1
"Nov 11, 2022",LAL vs. SAC,L,34,24,14,3,2,3,2
"Nov 09, 2022",LAL @ LAC,L,35,21,9,3,0,1,3
"Nov 07, 2022",LAL @ UTA,L,29,29,4,2,1,1,2
"Nov 06, 2022",LAL vs. CLE,L,33,19,12,4,0,1,1
"Nov 04, 2022",LAL vs. UTA,L,35,22,8,2,0,2,1
"Nov 02, 2022",LAL vs. NOP,W,37,20,16,4,1,4,1
"Oct 30, 2022",LAL vs. DEN,W,37,23,15,2,1,1,2
"Oct 26, 2022",LAL @ DEN,L,36,22,14,5,3,2,0
"Oct 23, 2022",LAL vs. POR,L,36,22,10,3,2,6,1
"Oct 20, 2022",LAL vs. LAC,L,32,25,8,0,2,0,2
"Oct 18, 2022",LAL @ GSW,L,36,27,6,0,4,1,3
