GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",ORL @ MIA,L,27,8,6,5,2,0,1
"Apr 07, 2023",ORL @ BKN,L,18,3,4,0,1,3,1
"Apr 06, 2023",ORL vs. CLE,L,30,18,8,3,0,0,4
"Mar 19, 2023",ORL @ LAL,L,6,4,2,0,0,0,1
"Mar 18, 2023",ORL @ LAC,W,5,0,1,2,0,0,2
"Mar 16, 2023",ORL @ PHX,L,15,6,3,1,1,0,0
"Mar 14, 2023",ORL @ SAS,L,17,6,6,2,1,0,1
"Mar 11, 2023",ORL vs. MIA,W,12,2,4,0,0,1,0
"Mar 09, 2023",ORL vs. UTA,L,15,0,6,1,0,1,0
"Mar 07, 2023",ORL vs. MIL,L,16,4,4,1,0,0,3
"Mar 05, 2023",ORL vs. POR,L,17,9,8,3,1,1,0
"Mar 03, 2023",ORL @ CHA,W,14,0,4,3,0,1,0
"Mar 01, 2023",ORL @ MIL,L,13,2,4,1,0,2,0
"Feb 27, 2023",ORL @ NOP,W,14,5,3,0,1,0,0
"Feb 25, 2023",ORL vs. IND,L,22,4,2,0,0,3,1
"Feb 23, 2023",ORL vs. DET,W,16,0,3,1,0,1,0
"Feb 14, 2023",ORL @ TOR,L,16,9,7,1,0,0,1
"Feb 13, 2023",ORL @ CHI,W,13,4,4,1,0,0,3
"Feb 11, 2023",ORL vs. MIA,L,19,2,4,1,0,0,2
"Feb 09, 2023",ORL vs. DEN,W,15,17,3,0,0,1,0
"Feb 07, 2023",ORL vs. NYK,L,14,0,4,1,0,1,0
"Feb 05, 2023",ORL @ CHA,W,19,8,4,1,0,0,2
"Feb 03, 2023",ORL @ MIN,W,16,14,3,0,1,1,3
"Feb 01, 2023",ORL @ PHI,L,15,2,5,0,0,2,1
"Jan 30, 2023",ORL @ PHI,W,10,0,3,0,1,1,3
"Jan 28, 2023",ORL vs. CHI,L,23,4,5,2,0,0,2
"Jan 27, 2023",ORL @ MIA,L,20,2,5,1,0,0,1
"Jan 25, 2023",ORL vs. IND,W,15,9,8,1,0,1,2
"Jan 23, 2023",ORL vs. BOS,W,17,5,2,0,0,1,1
"Jan 21, 2023",ORL @ WAS,L,16,11,4,0,0,4,1
"Jan 20, 2023",ORL vs. NOP,W,20,12,5,1,1,2,2
"Jan 15, 2023",ORL @ DEN,L,18,17,6,1,1,0,1
"Jan 13, 2023",ORL @ UTA,L,18,4,2,1,0,0,1
"Dec 30, 2022",ORL vs. WAS,L,31,10,9,0,1,1,2
"Dec 28, 2022",ORL @ DET,L,25,11,6,0,0,0,3
"Dec 27, 2022",ORL vs. LAL,L,22,10,5,0,0,1,0
"Dec 23, 2022",ORL vs. SAS,W,24,14,2,0,2,1,2
"Dec 21, 2022",ORL @ HOU,W,25,8,7,0,0,2,1
"Dec 19, 2022",ORL @ ATL,L,22,6,4,0,1,1,1
"Dec 18, 2022",ORL @ BOS,W,20,11,8,0,0,0,1
"Dec 16, 2022",ORL @ BOS,W,19,4,8,0,0,0,2
"Dec 14, 2022",ORL vs. ATL,W,27,21,7,2,1,1,0
"Dec 11, 2022",ORL vs. TOR,W,22,6,5,2,0,3,1
"Dec 09, 2022",ORL vs. TOR,W,30,10,6,2,0,0,3
"Dec 07, 2022",ORL vs. LAC,W,34,20,9,3,2,2,3
"Dec 05, 2022",ORL vs. MIL,L,19,2,2,2,1,0,1
"Dec 03, 2022",ORL @ TOR,L,28,18,7,1,1,1,5
"Dec 02, 2022",ORL @ CLE,L,23,3,7,1,2,3,4
"Nov 30, 2022",ORL vs. ATL,L,27,6,5,2,1,0,1
"Nov 28, 2022",ORL @ BKN,L,39,24,6,2,1,2,1
"Nov 27, 2022",ORL vs. PHI,L,32,6,4,3,2,2,4
"Nov 25, 2022",ORL vs. PHI,L,35,18,8,2,1,4,0
"Nov 21, 2022",ORL @ IND,L,27,9,9,2,0,0,4
"Nov 19, 2022",ORL @ IND,L,34,22,11,0,0,2,0
"Nov 18, 2022",ORL @ CHI,W,31,15,10,0,0,2,0
"Nov 16, 2022",ORL vs. MIN,L,35,26,12,1,1,3,4
"Nov 14, 2022",ORL vs. CHA,L,31,14,9,2,0,2,6
"Nov 11, 2022",ORL vs. PHX,W,31,13,15,1,0,0,3
"Nov 09, 2022",ORL vs. DAL,W,25,11,7,0,0,1,2
"Nov 07, 2022",ORL vs. HOU,L,21,9,3,0,1,1,3
"Nov 05, 2022",ORL vs. SAC,L,37,23,7,2,0,0,0
"Nov 03, 2022",ORL vs. GSW,W,19,4,6,1,0,2,0
"Nov 01, 2022",ORL @ OKC,L,31,13,12,1,0,4,6
"Oct 30, 2022",ORL @ DAL,L,30,16,11,0,0,3,2
"Oct 28, 2022",ORL vs. CHA,W,27,11,7,1,1,1,2
"Oct 26, 2022",ORL @ CLE,L,22,9,10,1,0,2,0
"Oct 24, 2022",ORL @ NYK,L,20,19,5,0,0,4,2
"Oct 22, 2022",ORL vs. BOS,L,15,6,5,0,0,4,0
"Oct 21, 2022",ORL @ ATL,L,12,5,3,0,0,2,1
"Oct 19, 2022",ORL @ DET,L,18,10,6,0,0,1,2
