GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2023",LAC vs. POR,W,2,0,1,1,0,0,0
"Feb 14, 2023",LAC vs. GSW,W,2,2,0,0,0,0,0
"Feb 10, 2023",LAC vs. MIL,L,26,20,2,0,1,0,1
"Jan 29, 2023",LAC @ CLE,L,34,24,1,3,1,0,3
"Jan 26, 2023",LAC vs. SAS,W,7,4,1,0,1,0,0
"Jan 18, 2023",LAC @ UTA,L,23,7,4,3,0,0,3
"Jan 15, 2023",LAC vs. HOU,W,9,5,3,0,1,0,0
"Jan 06, 2023",LAC @ MIN,L,5,8,3,0,1,0,0
"Jan 05, 2023",LAC @ DEN,L,15,4,2,4,1,0,0
"Dec 17, 2022",LAC vs. WAS,W,7,2,1,0,1,0,0
"Dec 15, 2022",LAC vs. PHX,L,24,16,1,3,0,0,1
"Dec 14, 2022",LAC vs. MIN,W,3,0,0,0,0,0,0
"Dec 12, 2022",LAC vs. BOS,W,3,0,0,1,0,0,0
"Dec 10, 2022",LAC @ WAS,W,15,3,1,1,0,0,1
"Dec 08, 2022",LAC @ MIA,L,14,7,3,1,0,0,0
"Dec 03, 2022",LAC vs. SAC,L,20,18,3,2,1,0,2
"Nov 30, 2022",LAC @ UTA,L,22,10,2,1,1,0,1
"Oct 31, 2022",LAC vs. HOU,W,5,1,2,0,0,0,0
"Oct 30, 2022",LAC vs. NOP,L,5,6,0,0,0,0,0
"Oct 27, 2022",LAC @ OKC,L,2,0,0,0,0,0,0
"Oct 25, 2022",LAC @ OKC,L,3,6,0,0,0,0,0
"Oct 23, 2022",LAC vs. PHX,L,3,0,0,0,0,0,0
