GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",BKN vs. PHI,L,43,46,2,1,1,1,4
"Apr 04, 2023",BKN vs. MIN,L,5,0,0,0,0,0,1
"Apr 02, 2023",BKN vs. UTA,W,9,2,2,0,0,0,0
"Mar 31, 2023",BKN vs. ATL,W,3,0,0,0,0,0,0
"Mar 26, 2023",BKN @ ORL,L,28,18,2,2,0,0,3
"Mar 19, 2023",BKN vs. DEN,L,22,7,1,2,1,0,1
"Mar 16, 2023",BKN vs. SAC,L,6,0,2,0,0,0,1
"Mar 14, 2023",BKN @ OKC,L,3,0,0,0,0,0,1
"Mar 10, 2023",BKN @ MIN,W,5,1,0,0,0,0,1
"Mar 09, 2023",BKN @ MIL,L,26,21,4,0,0,0,2
"Mar 05, 2023",BKN vs. CHA,W,7,4,2,0,0,0,0
"Mar 03, 2023",BKN @ BOS,W,7,0,2,1,0,0,0
"Mar 01, 2023",BKN @ NYK,L,24,15,1,1,1,1,2
"Feb 28, 2023",BKN vs. MIL,L,23,2,5,2,0,0,2
"Feb 26, 2023",BKN @ ATL,L,29,22,2,3,2,0,2
"Feb 24, 2023",BKN @ CHI,L,30,22,1,2,0,0,0
"Feb 15, 2023",BKN vs. MIA,W,21,19,2,4,1,0,2
"Feb 13, 2023",BKN @ NYK,L,20,7,1,0,0,0,0
"Feb 11, 2023",BKN vs. PHI,L,18,14,1,2,0,0,0
"Feb 09, 2023",BKN vs. CHI,W,33,20,6,4,0,0,4
"Feb 07, 2023",BKN vs. PHX,L,39,43,5,3,1,1,3
"Feb 06, 2023",BKN vs. LAC,L,39,47,4,3,0,0,4
"Feb 04, 2023",BKN vs. WAS,W,29,44,5,5,0,0,4
"Feb 01, 2023",BKN @ BOS,L,24,19,1,2,1,0,0
"Jan 30, 2023",BKN vs. LAL,W,23,21,4,1,0,0,3
"Jan 28, 2023",BKN vs. NYK,W,13,5,1,1,2,0,1
"Jan 26, 2023",BKN vs. DET,L,2,0,0,0,0,0,1
"Jan 20, 2023",BKN @ UTA,W,6,2,2,0,0,0,0
"Jan 19, 2023",BKN @ PHX,L,13,15,0,0,0,0,0
"Jan 17, 2023",BKN @ SAS,L,30,15,2,1,1,1,1
"Jan 02, 2023",BKN vs. SAS,W,12,9,2,2,0,0,0
"Dec 31, 2022",BKN @ CHA,W,3,0,1,1,0,0,1
"Dec 23, 2022",BKN vs. MIL,W,3,0,0,0,0,0,0
"Dec 21, 2022",BKN vs. GSW,W,9,5,2,2,0,0,2
"Dec 16, 2022",BKN @ TOR,W,5,0,1,1,0,0,0
"Dec 12, 2022",BKN @ WAS,W,19,5,0,2,0,0,0
"Dec 10, 2022",BKN @ IND,W,29,33,3,0,0,0,2
"Dec 07, 2022",BKN vs. CHA,W,5,0,1,1,0,0,0
"Dec 04, 2022",BKN vs. BOS,L,9,8,0,1,0,0,0
"Dec 02, 2022",BKN vs. TOR,W,11,2,0,0,0,0,2
"Nov 30, 2022",BKN vs. WAS,W,19,6,1,1,0,1,1
"Nov 28, 2022",BKN vs. ORL,W,10,2,0,1,1,0,0
"Nov 27, 2022",BKN vs. POR,W,6,2,1,0,0,0,0
"Nov 23, 2022",BKN @ TOR,W,17,5,3,2,0,0,1
"Nov 22, 2022",BKN @ PHI,L,3,0,1,1,0,0,0
"Nov 20, 2022",BKN vs. MEM,W,4,0,1,0,0,0,0
"Nov 17, 2022",BKN @ POR,W,7,0,0,0,0,0,1
"Nov 15, 2022",BKN @ SAC,L,21,12,2,3,1,0,2
"Nov 13, 2022",BKN @ LAL,L,23,15,3,2,1,0,1
"Nov 12, 2022",BKN @ LAC,W,25,4,2,3,1,0,2
"Nov 09, 2022",BKN vs. NYK,W,22,6,2,2,1,1,3
"Nov 07, 2022",BKN @ DAL,L,30,19,1,2,2,0,1
"Nov 05, 2022",BKN @ CHA,W,29,21,4,4,1,1,1
"Nov 04, 2022",BKN @ WAS,W,32,17,4,6,1,0,0
"Nov 01, 2022",BKN vs. CHI,L,1,0,0,0,0,0,0
"Oct 26, 2022",BKN @ MIL,L,1,0,0,0,0,0,0
"Oct 19, 2022",BKN vs. NOP,L,13,2,0,1,0,0,0
