GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 25, 2023",IND @ ATL,L,5,0,0,1,1,0,1
"Mar 13, 2023",IND @ DET,L,24,12,1,0,0,0,0
"Mar 11, 2023",IND @ DET,W,33,6,6,0,1,0,3
"Mar 09, 2023",IND vs. HOU,W,24,10,3,3,2,1,0
"Mar 06, 2023",IND vs. PHI,L,24,4,1,3,1,0,1
"Mar 05, 2023",IND @ CHI,W,22,15,2,0,1,0,2
"Mar 02, 2023",IND @ SAS,L,34,18,9,2,0,0,1
"Feb 28, 2023",IND @ DAL,W,7,0,0,1,0,0,0
"Feb 25, 2023",IND @ ORL,W,15,6,2,1,0,0,0
"Feb 23, 2023",IND vs. BOS,L,16,7,3,0,1,0,0
"Feb 15, 2023",IND vs. CHI,W,20,14,2,0,2,0,2
"Feb 11, 2023",IND @ WAS,L,18,9,2,1,0,0,2
"Feb 10, 2023",IND vs. PHX,L,29,7,6,1,2,0,1
"Feb 08, 2023",IND @ MIA,L,20,4,1,2,0,0,1
"Feb 02, 2023",IND vs. LAL,L,6,0,2,0,0,0,0
"Jan 29, 2023",IND @ MEM,L,26,9,3,2,0,2,1
"Jan 27, 2023",IND vs. MIL,L,34,17,4,6,1,0,0
"Jan 25, 2023",IND @ ORL,L,39,16,2,5,6,0,2
"Jan 24, 2023",IND vs. CHI,W,26,11,9,3,1,0,2
"Jan 21, 2023",IND @ PHX,L,17,2,2,0,1,0,0
"Jan 20, 2023",IND @ DEN,L,17,18,1,1,2,0,2
"Jan 18, 2023",IND @ OKC,L,22,11,5,3,0,0,2
"Jan 16, 2023",IND @ MIL,L,20,6,0,2,0,0,0
"Jan 14, 2023",IND vs. MEM,L,30,25,3,3,0,0,0
"Jan 13, 2023",IND vs. ATL,L,26,7,2,1,0,0,0
"Jan 11, 2023",IND @ NYK,L,17,5,2,0,0,1,1
"Jan 08, 2023",IND vs. CHA,W,4,0,2,1,0,0,0
"Jan 06, 2023",IND vs. POR,W,10,6,2,0,0,1,4
"Jan 04, 2023",IND @ PHI,L,11,4,0,0,0,0,0
"Jan 02, 2023",IND vs. TOR,W,16,2,4,2,0,0,0
"Dec 31, 2022",IND vs. LAC,W,14,0,3,1,0,0,0
"Dec 29, 2022",IND vs. CLE,W,11,0,2,0,0,0,0
"Dec 27, 2022",IND vs. ATL,W,15,3,2,1,0,0,0
"Dec 26, 2022",IND @ NOP,L,22,4,2,3,1,0,2
"Dec 23, 2022",IND @ MIA,W,19,4,1,5,1,0,1
"Dec 21, 2022",IND @ BOS,W,15,14,3,1,0,0,1
"Dec 18, 2022",IND vs. NYK,L,15,6,2,0,0,0,1
"Nov 04, 2022",IND vs. MIA,W,5,0,0,2,0,0,0
"Oct 31, 2022",IND @ BKN,L,38,30,3,1,0,1,2
"Oct 29, 2022",IND @ BKN,W,23,9,3,0,0,0,2
"Oct 28, 2022",IND @ WAS,W,12,2,2,1,0,0,0
"Oct 26, 2022",IND @ CHI,L,26,12,3,1,0,1,0
"Oct 24, 2022",IND @ PHI,L,16,9,4,0,0,0,1
"Oct 22, 2022",IND vs. DET,W,21,9,2,2,0,1,1
"Oct 21, 2022",IND vs. SAS,L,17,4,1,2,0,1,1
"Oct 19, 2022",IND vs. WAS,L,19,5,1,0,1,0,1
