GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",CHI vs. DET,W,15,10,3,1,3,1,0
"Apr 07, 2023",CHI @ DAL,W,16,8,3,0,1,0,1
"Apr 05, 2023",CHI @ MIL,L,1,3,0,0,0,0,0
"Apr 04, 2023",CHI vs. ATL,L,2,2,1,0,1,0,0
"Apr 02, 2023",CHI vs. MEM,W,1,0,0,0,0,0,0
"Mar 31, 2023",CHI @ CHA,W,4,3,1,1,2,0,1
"Mar 29, 2023",CHI vs. LAL,L,1,2,1,0,0,0,0
"Mar 27, 2023",CHI @ LAC,L,4,2,2,1,0,0,0
"Mar 24, 2023",CHI @ POR,W,18,6,4,3,0,0,0
"Mar 22, 2023",CHI vs. PHI,L,14,0,3,0,0,0,0
"Mar 15, 2023",CHI vs. SAC,L,7,3,0,1,0,0,0
"Mar 08, 2023",CHI @ DEN,W,2,0,0,0,0,0,0
"Mar 03, 2023",CHI vs. PHX,L,2,0,0,0,0,0,0
"Feb 26, 2023",CHI vs. WAS,W,2,0,1,1,0,0,0
"Feb 24, 2023",CHI vs. BKN,W,10,11,1,0,0,0,0
"Feb 16, 2023",CHI vs. MIL,L,27,13,7,6,1,0,0
"Feb 15, 2023",CHI @ IND,L,15,0,2,1,0,1,2
"Feb 13, 2023",CHI vs. ORL,L,9,4,1,0,2,0,0
"Feb 06, 2023",CHI vs. SAS,W,4,2,0,0,0,1,0
"Feb 04, 2023",CHI vs. POR,W,4,0,1,0,0,0,0
"Jan 26, 2023",CHI @ CHA,L,1,0,0,0,0,0,0
"Jan 19, 2023",CHI @ DET,W,1,2,2,0,0,0,0
"Jan 15, 2023",CHI vs. GSW,W,1,2,0,0,0,0,0
"Jan 13, 2023",CHI vs. OKC,L,1,0,0,0,0,0,0
"Dec 28, 2022",CHI vs. MIL,W,4,0,0,0,0,0,0
"Dec 26, 2022",CHI vs. HOU,L,7,0,1,0,0,0,0
"Dec 21, 2022",CHI @ ATL,W,5,0,1,0,0,0,0
"Dec 10, 2022",CHI vs. DAL,W,4,2,0,2,0,0,0
"Nov 30, 2022",CHI @ PHX,L,4,0,0,0,0,0,0
"Nov 16, 2022",CHI @ NOP,L,2,1,0,1,0,0,0
"Nov 13, 2022",CHI vs. DEN,L,6,5,0,2,0,0,1
"Nov 07, 2022",CHI vs. TOR,W,0,0,0,0,0,0,0
"Nov 06, 2022",CHI @ TOR,L,10,4,1,1,1,1,1
"Nov 02, 2022",CHI vs. CHA,W,2,0,1,0,0,0,0
"Oct 29, 2022",CHI vs. PHI,L,3,0,0,1,0,0,0
"Oct 26, 2022",CHI vs. IND,W,1,0,0,0,0,1,1
"Oct 24, 2022",CHI vs. BOS,W,2,0,0,0,0,0,0
"Oct 22, 2022",CHI vs. CLE,L,4,0,0,0,0,0,1
