GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",PHX vs. LAC,L,31,8,4,1,0,0,2
"Apr 07, 2023",PHX @ LAL,L,18,7,4,0,0,0,2
"Apr 04, 2023",PHX vs. SAS,W,3,3,2,0,0,0,0
"Mar 27, 2023",PHX @ UTA,W,4,3,0,0,0,0,0
"Mar 19, 2023",PHX @ OKC,L,13,6,2,1,0,0,2
"Mar 16, 2023",PHX vs. ORL,W,10,5,1,0,0,0,1
"Mar 13, 2023",PHX @ GSW,L,18,7,5,1,1,0,0
"Mar 11, 2023",PHX vs. SAC,L,4,2,0,0,0,0,0
"Mar 08, 2023",PHX vs. OKC,W,16,9,6,1,1,0,1
"Mar 05, 2023",PHX @ DAL,W,6,3,1,0,0,0,0
"Mar 03, 2023",PHX @ CHI,W,16,10,1,1,0,0,0
"Mar 01, 2023",PHX @ CHA,W,15,2,3,0,0,0,0
"Feb 26, 2023",PHX @ MIL,L,13,2,2,0,0,0,0
"Feb 24, 2023",PHX vs. OKC,W,17,9,2,3,0,1,0
"Feb 16, 2023",PHX vs. LAC,L,8,7,1,1,1,0,1
"Feb 14, 2023",PHX vs. SAC,W,23,5,0,2,1,0,2
"Feb 10, 2023",PHX @ IND,W,21,4,5,2,1,0,1
"Feb 09, 2023",PHX @ ATL,L,25,10,4,2,1,1,4
"Feb 07, 2023",PHX @ BKN,W,22,5,2,3,0,0,0
"Feb 04, 2023",PHX @ DET,W,18,3,2,1,0,0,1
"Feb 03, 2023",PHX @ BOS,W,27,11,4,4,2,0,1
"Feb 01, 2023",PHX vs. ATL,L,21,10,2,0,0,0,1
"Jan 30, 2023",PHX vs. TOR,W,19,11,2,1,1,1,0
"Jan 28, 2023",PHX @ SAS,W,21,7,4,1,1,0,3
"Jan 26, 2023",PHX vs. DAL,L,18,0,2,2,2,0,2
"Jan 24, 2023",PHX vs. CHA,W,16,11,2,0,0,0,0
"Jan 22, 2023",PHX vs. MEM,W,14,2,0,1,0,0,0
"Jan 21, 2023",PHX vs. IND,W,27,16,2,1,1,0,2
"Jan 19, 2023",PHX vs. BKN,W,38,16,3,2,0,0,4
"Jan 16, 2023",PHX @ MEM,L,26,8,2,9,0,0,2
"Jan 13, 2023",PHX @ MIN,L,31,31,6,2,0,0,3
"Jan 11, 2023",PHX @ DEN,L,26,11,4,4,0,0,2
"Jan 10, 2023",PHX @ GSW,W,31,22,7,4,0,0,2
"Jan 08, 2023",PHX vs. CLE,L,26,7,3,0,0,0,1
"Jan 06, 2023",PHX vs. MIA,L,24,5,6,1,1,0,0
"Jan 04, 2023",PHX @ CLE,L,16,2,2,2,1,1,1
"Jan 02, 2023",PHX @ NYK,L,20,10,0,0,0,0,0
"Dec 30, 2022",PHX @ TOR,L,21,6,3,0,0,0,5
"Dec 28, 2022",PHX @ WAS,L,25,8,2,4,0,0,1
"Dec 27, 2022",PHX @ MEM,W,26,12,5,2,0,0,2
"Dec 25, 2022",PHX @ DEN,L,30,18,8,0,0,0,1
"Dec 23, 2022",PHX vs. MEM,L,22,10,2,2,0,0,2
"Dec 20, 2022",PHX vs. WAS,L,18,2,2,0,0,0,1
"Dec 19, 2022",PHX vs. LAL,W,38,15,6,2,0,0,2
"Dec 17, 2022",PHX vs. NOP,W,14,3,1,0,0,0,1
"Dec 15, 2022",PHX @ LAC,W,15,7,2,0,1,0,1
"Dec 13, 2022",PHX @ HOU,L,22,5,2,1,2,0,0
"Dec 11, 2022",PHX @ NOP,L,34,12,3,2,0,1,1
"Dec 09, 2022",PHX @ NOP,L,19,12,0,0,0,1,0
"Dec 07, 2022",PHX vs. BOS,L,14,2,4,0,0,0,1
"Dec 05, 2022",PHX @ DAL,L,23,13,5,3,2,0,4
"Dec 04, 2022",PHX @ SAS,W,24,5,5,2,0,0,0
"Dec 02, 2022",PHX vs. HOU,L,25,10,5,1,1,0,0
"Nov 30, 2022",PHX vs. CHI,W,25,12,5,1,0,0,1
"Nov 28, 2022",PHX @ SAC,W,25,15,4,1,0,0,2
"Nov 26, 2022",PHX vs. UTA,W,18,8,3,1,0,0,0
"Nov 25, 2022",PHX vs. DET,W,25,9,5,3,1,0,2
"Nov 22, 2022",PHX vs. LAL,W,21,9,7,2,0,0,1
"Nov 20, 2022",PHX vs. NYK,W,23,15,4,4,0,1,0
"Nov 18, 2022",PHX @ UTA,L,27,6,4,1,0,0,1
"Nov 16, 2022",PHX vs. GSW,W,27,9,8,0,0,0,1
"Nov 14, 2022",PHX @ MIA,L,21,14,3,1,1,0,1
"Nov 11, 2022",PHX @ ORL,L,22,8,2,1,1,0,1
"Nov 09, 2022",PHX @ MIN,W,16,3,0,1,0,0,1
"Nov 07, 2022",PHX @ PHI,L,26,10,5,2,2,0,1
"Nov 05, 2022",PHX vs. POR,W,28,9,4,1,0,0,0
"Nov 04, 2022",PHX vs. POR,L,20,13,2,0,1,0,1
"Nov 01, 2022",PHX vs. MIN,W,10,0,0,1,0,0,1
"Oct 30, 2022",PHX vs. HOU,W,12,5,3,0,0,0,0
"Oct 28, 2022",PHX vs. NOP,W,16,3,3,0,1,0,1
"Oct 25, 2022",PHX vs. GSW,W,15,5,1,1,0,0,0
"Oct 23, 2022",PHX @ LAC,W,12,2,1,1,0,0,0
"Oct 21, 2022",PHX @ POR,L,31,8,6,3,2,0,0
"Oct 19, 2022",PHX vs. DAL,W,20,11,2,2,0,0,0
