GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 02, 2023",WAS @ NYK,L,34,9,3,5,3,1,8
"Mar 31, 2023",WAS vs. ORL,L,32,6,6,4,0,0,1
"Mar 28, 2023",WAS vs. BOS,W,37,25,10,5,1,0,4
"Mar 26, 2023",WAS @ TOR,L,34,15,9,7,1,0,3
"Mar 24, 2023",WAS vs. SAS,W,34,21,11,6,1,0,2
"Mar 22, 2023",WAS vs. DEN,L,32,16,8,6,0,0,4
"Mar 21, 2023",WAS @ ORL,L,34,15,10,3,2,0,4
"Mar 18, 2023",WAS vs. SAC,L,28,3,11,6,1,0,1
"Mar 17, 2023",WAS @ CLE,L,18,2,1,3,0,0,0
"Mar 14, 2023",WAS vs. DET,W,28,13,6,2,0,0,1
"Mar 12, 2023",WAS @ PHI,L,24,4,2,3,0,0,0
"Mar 10, 2023",WAS vs. ATL,L,18,5,6,3,0,0,0
"Mar 08, 2023",WAS vs. ATL,L,23,2,8,3,0,0,3
"Mar 07, 2023",WAS @ DET,W,21,7,5,2,0,0,4
"Mar 05, 2023",WAS vs. MIL,L,31,17,6,2,3,0,2
"Mar 04, 2023",WAS vs. TOR,L,7,0,2,0,0,0,1
"Mar 02, 2023",WAS vs. TOR,W,28,6,9,3,0,1,0
"Feb 28, 2023",WAS @ ATL,W,31,4,13,0,1,0,0
"Feb 26, 2023",WAS @ CHI,L,27,8,4,2,1,0,4
"Feb 24, 2023",WAS vs. NYK,L,27,11,7,5,1,0,0
"Feb 16, 2023",WAS @ MIN,W,24,10,9,4,2,0,1
"Feb 14, 2023",WAS @ POR,W,18,2,3,3,0,0,1
"Feb 13, 2023",WAS @ GSW,L,27,7,5,3,2,0,1
"Feb 11, 2023",WAS vs. IND,W,30,16,6,3,0,1,2
"Feb 08, 2023",WAS vs. CHA,W,37,20,13,0,0,0,1
"Feb 06, 2023",WAS vs. CLE,L,30,12,4,3,2,0,3
"Feb 04, 2023",WAS @ BKN,L,34,23,6,3,4,0,3
"Feb 03, 2023",WAS vs. POR,L,15,2,4,2,0,0,0
"Jan 30, 2023",WAS @ SAS,W,33,25,9,1,1,1,2
"Jan 28, 2023",WAS @ NOP,W,27,15,9,1,2,0,1
"Jan 25, 2023",WAS @ HOU,W,30,10,10,3,1,1,0
"Jan 24, 2023",WAS @ DAL,W,32,15,10,3,3,0,1
"Jan 21, 2023",WAS vs. ORL,W,25,0,4,0,1,0,0
"Jan 18, 2023",WAS @ NYK,W,29,14,7,1,1,1,0
"Jan 16, 2023",WAS vs. GSW,L,14,6,5,2,0,0,2
"Jan 13, 2023",WAS vs. NYK,L,26,3,9,2,0,0,0
"Jan 11, 2023",WAS vs. CHI,W,35,9,20,3,0,0,4
"Jan 09, 2023",WAS vs. NOP,L,22,4,4,3,0,0,0
"Jan 06, 2023",WAS @ OKC,L,17,4,3,0,0,0,2
"Jan 03, 2023",WAS @ MIL,L,28,12,4,3,1,0,2
"Jan 01, 2023",WAS @ MIL,W,29,11,12,3,2,0,4
"Dec 30, 2022",WAS @ ORL,W,28,13,7,6,2,1,3
"Dec 28, 2022",WAS vs. PHX,W,27,8,7,2,0,0,3
"Dec 27, 2022",WAS vs. PHI,W,20,7,3,0,0,1,1
"Dec 20, 2022",WAS @ PHX,W,36,16,10,4,0,1,0
"Dec 18, 2022",WAS @ LAL,L,21,8,3,1,0,1,1
"Dec 17, 2022",WAS @ LAC,L,37,11,10,5,1,1,3
"Dec 14, 2022",WAS @ DEN,L,29,9,6,5,3,0,2
"Dec 12, 2022",WAS vs. BKN,L,27,8,7,1,0,0,1
"Dec 10, 2022",WAS vs. LAC,L,39,11,6,6,0,1,1
"Dec 09, 2022",WAS @ IND,L,40,14,9,4,1,0,3
"Dec 07, 2022",WAS @ CHI,L,39,10,5,6,4,0,0
"Dec 04, 2022",WAS vs. LAL,L,25,7,8,1,2,1,1
"Dec 02, 2022",WAS @ CHA,L,9,0,1,0,0,0,2
"Nov 30, 2022",WAS @ BKN,L,26,7,5,3,1,1,0
"Nov 28, 2022",WAS vs. MIN,W,19,6,6,0,2,0,0
"Nov 27, 2022",WAS @ BOS,L,27,10,1,3,1,0,0
"Nov 25, 2022",WAS @ MIA,L,31,8,9,5,1,2,3
"Nov 23, 2022",WAS @ MIA,L,41,12,9,10,1,2,4
"Nov 20, 2022",WAS vs. CHA,W,31,12,13,1,0,1,1
"Nov 18, 2022",WAS vs. MIA,W,14,3,1,3,0,0,1
"Nov 16, 2022",WAS vs. OKC,L,30,12,7,2,0,2,4
"Nov 13, 2022",WAS vs. MEM,W,34,21,2,5,1,0,3
"Nov 12, 2022",WAS vs. UTA,W,34,13,7,3,3,1,2
"Nov 10, 2022",WAS vs. DAL,W,32,12,6,4,1,0,3
"Nov 07, 2022",WAS @ CHA,W,18,3,3,2,0,0,1
"Nov 06, 2022",WAS @ MEM,L,26,4,10,2,0,0,2
"Nov 04, 2022",WAS vs. BKN,L,22,4,2,1,0,0,2
"Nov 02, 2022",WAS @ PHI,W,29,5,8,1,0,3,0
"Oct 31, 2022",WAS vs. PHI,L,17,0,1,2,0,1,0
"Oct 30, 2022",WAS @ BOS,L,11,6,1,1,0,0,0
"Oct 28, 2022",WAS vs. IND,L,20,7,2,0,0,0,2
"Oct 25, 2022",WAS vs. DET,W,27,9,7,2,1,2,0
"Oct 23, 2022",WAS @ CLE,L,14,2,2,0,2,0,1
"Oct 21, 2022",WAS vs. CHI,W,23,6,10,4,1,1,1
"Oct 19, 2022",WAS @ IND,W,8,4,0,0,0,0,0
