GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",BOS vs. ATL,W,5,3,0,1,0,0,1
"Apr 07, 2023",BOS vs. TOR,W,28,12,6,10,1,0,6
"Apr 05, 2023",BOS vs. TOR,W,40,17,4,2,2,1,3
"Apr 04, 2023",BOS @ PHI,L,40,26,7,4,0,2,2
"Mar 31, 2023",BOS vs. UTA,W,29,17,2,2,0,1,1
"Mar 30, 2023",BOS @ MIL,W,26,8,5,0,0,1,1
"Mar 28, 2023",BOS @ WAS,L,24,7,3,1,0,2,1
"Mar 26, 2023",BOS vs. SAS,W,33,19,8,2,1,2,1
"Mar 24, 2023",BOS vs. IND,W,38,22,4,9,1,1,0
"Mar 21, 2023",BOS @ SAC,W,38,20,7,12,0,2,1
"Mar 18, 2023",BOS @ UTA,L,25,10,5,4,1,1,0
"Mar 17, 2023",BOS @ POR,W,36,13,4,2,1,1,3
"Mar 15, 2023",BOS @ MIN,W,25,9,3,4,1,2,0
"Mar 13, 2023",BOS @ HOU,L,27,9,5,3,0,0,1
"Mar 11, 2023",BOS @ ATL,W,36,18,4,7,1,1,0
"Mar 08, 2023",BOS vs. POR,W,36,21,5,7,0,0,2
"Mar 06, 2023",BOS @ CLE,L,36,12,3,2,0,0,1
"Mar 05, 2023",BOS vs. NYK,L,32,12,6,4,1,1,1
"Mar 03, 2023",BOS vs. BKN,L,24,16,4,3,0,1,3
"Mar 01, 2023",BOS vs. CLE,W,25,4,2,5,0,1,0
"Feb 27, 2023",BOS @ NYK,L,32,13,6,4,0,1,2
"Feb 25, 2023",BOS @ PHI,W,25,18,1,2,0,1,0
"Feb 23, 2023",BOS @ IND,W,25,17,3,2,0,0,2
"Feb 15, 2023",BOS vs. DET,W,27,11,4,6,2,1,0
"Feb 14, 2023",BOS @ MIL,L,43,27,2,12,3,0,3
"Feb 12, 2023",BOS vs. MEM,W,40,23,3,10,0,0,3
"Feb 10, 2023",BOS vs. CHA,W,37,33,3,10,1,3,1
"Feb 08, 2023",BOS vs. PHI,W,38,19,6,3,0,2,1
"Feb 06, 2023",BOS @ DET,W,37,23,7,7,0,0,1
"Feb 03, 2023",BOS vs. PHX,L,35,19,5,1,0,0,2
"Feb 01, 2023",BOS vs. BKN,W,32,14,10,5,0,0,0
"Jan 28, 2023",BOS vs. LAL,W,36,14,5,2,0,1,0
"Jan 26, 2023",BOS vs. NYK,L,28,15,3,4,0,2,1
"Jan 24, 2023",BOS @ MIA,L,34,23,3,6,2,1,1
"Jan 23, 2023",BOS @ ORL,L,27,11,4,4,1,2,3
"Jan 21, 2023",BOS @ TOR,W,29,8,1,3,1,1,0
"Jan 19, 2023",BOS vs. GSW,W,17,1,0,3,1,0,0
"Jan 16, 2023",BOS @ CHA,W,30,19,3,8,0,0,1
"Jan 14, 2023",BOS @ CHA,W,4,8,0,0,0,0,1
"Jan 12, 2023",BOS @ BKN,W,37,15,7,1,1,1,2
"Jan 11, 2023",BOS vs. NOP,W,30,5,4,6,2,1,2
"Jan 09, 2023",BOS vs. CHI,W,30,8,5,4,0,1,1
"Jan 07, 2023",BOS @ SAS,W,32,8,5,11,0,3,0
"Jan 05, 2023",BOS @ DAL,W,21,10,0,1,0,2,2
"Jan 03, 2023",BOS @ OKC,L,22,8,4,6,0,2,2
"Jan 01, 2023",BOS @ DEN,L,23,13,1,3,1,1,1
"Dec 29, 2022",BOS vs. LAC,W,37,15,2,4,0,2,1
"Dec 27, 2022",BOS vs. HOU,W,30,6,7,3,1,2,1
"Dec 25, 2022",BOS vs. MIL,W,30,12,3,5,1,0,1
"Dec 23, 2022",BOS vs. MIN,W,33,18,5,3,0,2,1
"Dec 21, 2022",BOS vs. IND,L,26,2,6,3,1,1,3
"Dec 18, 2022",BOS vs. ORL,L,30,8,5,4,1,0,2
"Dec 16, 2022",BOS vs. ORL,L,26,3,3,1,1,3,1
"Dec 13, 2022",BOS @ LAL,W,26,10,1,0,0,0,0
