GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 07, 2023",MEM @ MIL,W,31,16,8,6,0,0,2
"Apr 05, 2023",MEM @ NOP,L,43,24,4,5,1,0,1
"Apr 04, 2023",MEM vs. POR,W,36,30,7,5,0,1,1
"Apr 02, 2023",MEM @ CHI,L,33,21,5,4,0,1,4
"Mar 31, 2023",MEM vs. LAC,W,38,22,3,9,3,0,1
"Mar 28, 2023",MEM vs. ORL,W,36,31,4,5,3,0,6
"Mar 26, 2023",MEM @ ATL,W,34,25,3,5,0,0,2
"Mar 24, 2023",MEM vs. HOU,W,20,25,4,1,2,1,1
"Mar 22, 2023",MEM vs. HOU,W,35,20,3,7,1,0,0
"Mar 20, 2023",MEM vs. DAL,W,35,17,6,2,1,0,6
"Mar 18, 2023",MEM vs. GSW,W,34,26,4,2,1,0,4
"Mar 17, 2023",MEM @ SAS,W,39,21,8,7,3,1,0
"Mar 15, 2023",MEM @ MIA,L,22,11,4,3,1,0,5
"Mar 13, 2023",MEM @ DAL,W,29,23,8,7,0,0,3
"Mar 11, 2023",MEM vs. DAL,W,35,25,7,8,0,0,3
"Mar 09, 2023",MEM vs. GSW,W,32,21,2,6,0,0,0
"Mar 07, 2023",MEM @ LAL,L,35,7,5,5,0,1,2
"Mar 05, 2023",MEM @ LAC,L,35,30,4,6,0,1,1
"Mar 03, 2023",MEM @ DEN,L,30,19,4,0,0,0,2
"Mar 01, 2023",MEM @ HOU,W,29,30,9,6,0,1,1
"Feb 28, 2023",MEM vs. LAL,W,30,16,5,3,4,1,0
"Feb 25, 2023",MEM vs. DEN,W,25,10,5,4,1,1,1
"Feb 23, 2023",MEM @ PHI,L,32,25,8,2,0,0,3
"Feb 15, 2023",MEM vs. UTA,W,32,24,6,4,1,0,1
"Feb 12, 2023",MEM @ BOS,L,34,18,6,7,1,2,2
"Feb 10, 2023",MEM vs. MIN,W,32,20,7,5,3,0,3
"Feb 07, 2023",MEM vs. CHI,W,35,17,6,5,2,1,2
"Feb 05, 2023",MEM vs. TOR,L,33,26,2,4,4,1,2
"Feb 02, 2023",MEM @ CLE,L,32,25,2,1,0,0,2
"Feb 01, 2023",MEM vs. POR,L,26,17,0,3,1,1,3
"Jan 25, 2023",MEM @ GSW,L,34,20,3,4,1,1,3
"Jan 23, 2023",MEM @ SAC,L,29,21,4,5,1,0,4
"Jan 22, 2023",MEM @ PHX,L,34,24,8,6,1,0,2
"Jan 20, 2023",MEM @ LAL,L,33,16,8,6,1,0,2
"Jan 18, 2023",MEM vs. CLE,W,33,25,4,4,1,0,2
"Jan 16, 2023",MEM vs. PHX,W,27,28,3,6,2,0,2
"Jan 14, 2023",MEM @ IND,W,29,25,8,3,1,1,1
"Jan 11, 2023",MEM vs. SAS,W,30,18,6,3,1,0,3
"Jan 09, 2023",MEM vs. SAS,W,29,15,2,4,0,0,4
"Jan 08, 2023",MEM vs. UTA,W,31,24,6,9,2,1,3
"Jan 04, 2023",MEM @ CHA,W,26,19,11,4,1,0,2
"Dec 31, 2022",MEM vs. NOP,W,28,18,7,0,1,1,3
"Dec 29, 2022",MEM @ TOR,W,29,16,5,4,2,0,1
"Dec 27, 2022",MEM vs. PHX,L,27,14,2,0,0,0,2
"Dec 25, 2022",MEM @ GSW,L,24,9,3,0,0,1,0
"Dec 23, 2022",MEM @ PHX,W,24,17,3,2,1,0,1
"Nov 11, 2022",MEM vs. MIN,W,33,24,3,5,1,0,4
"Nov 09, 2022",MEM @ SAS,W,39,32,6,6,0,0,2
"Nov 07, 2022",MEM vs. BOS,L,35,19,5,5,0,0,1
"Nov 06, 2022",MEM vs. WAS,W,35,28,3,4,1,0,1
"Nov 04, 2022",MEM vs. CHA,W,24,19,6,2,0,0,3
"Nov 02, 2022",MEM @ POR,W,37,29,8,5,0,0,3
"Oct 29, 2022",MEM @ UTA,L,34,32,6,2,1,1,5
"Oct 27, 2022",MEM @ SAC,W,33,31,6,4,0,0,1
"Oct 24, 2022",MEM vs. BKN,W,32,38,1,7,1,1,1
"Oct 22, 2022",MEM @ DAL,L,27,14,5,4,1,0,1
"Oct 21, 2022",MEM @ HOU,W,33,14,6,7,2,0,3
"Oct 19, 2022",MEM vs. NYK,W,37,16,4,6,0,1,2
