GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",SAS @ DAL,W,34,21,19,1,1,1,0
"Apr 08, 2023",SAS vs. MIN,L,28,4,5,3,1,1,1
"Apr 06, 2023",SAS vs. POR,W,15,5,2,1,0,0,0
"Apr 04, 2023",SAS @ PHX,L,21,2,5,2,1,2,1
"Apr 02, 2023",SAS @ SAC,W,30,12,10,5,1,2,1
"Mar 31, 2023",SAS @ GSW,L,11,2,2,0,0,2,0
"Mar 29, 2023",SAS vs. UTA,L,12,4,4,0,0,0,1
"Mar 26, 2023",SAS @ BOS,L,7,0,0,0,0,0,0
"Mar 24, 2023",SAS @ WAS,L,20,4,4,1,0,2,0
"Mar 22, 2023",SAS @ MIL,L,12,2,2,0,1,0,0
"Mar 21, 2023",SAS @ NOP,L,19,0,3,1,0,2,1
"Mar 17, 2023",SAS vs. MEM,L,12,0,3,0,0,1,0
"Mar 15, 2023",SAS vs. DAL,L,22,6,4,1,2,1,2
"Mar 14, 2023",SAS vs. ORL,W,11,4,2,0,0,1,0
"Mar 05, 2023",SAS @ HOU,L,23,7,4,1,1,0,1
"Mar 04, 2023",SAS vs. HOU,L,15,0,4,0,0,1,1
"Mar 02, 2023",SAS vs. IND,W,4,0,1,1,0,1,0
"Feb 23, 2023",SAS @ DAL,L,16,2,5,0,0,0,0
"Feb 15, 2023",SAS @ CHA,L,6,2,3,0,0,1,0
"Feb 13, 2023",SAS @ CLE,L,17,4,4,1,0,1,1
"Feb 11, 2023",SAS @ ATL,L,19,8,3,1,0,0,3
"Feb 10, 2023",SAS @ DET,L,15,3,6,1,1,0,1
"Feb 06, 2023",SAS @ CHI,L,6,4,1,0,0,0,0
"Feb 03, 2023",SAS vs. PHI,L,7,4,3,1,0,0,1
"Dec 14, 2022",SAS vs. POR,L,3,2,0,0,0,0,0
"Nov 20, 2022",SAS @ LAL,L,6,0,1,0,1,0,0
"Nov 19, 2022",SAS @ LAC,L,7,6,1,0,0,0,0
"Nov 02, 2022",SAS vs. TOR,L,10,2,1,3,0,0,0
