GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 04, 2023",NOP vs. SAC,L,3,0,1,0,0,0,0
"Mar 27, 2023",NOP @ POR,W,7,5,2,1,0,1,0
"Mar 25, 2023",NOP @ LAC,W,3,0,0,0,0,0,0
"Mar 23, 2023",NOP vs. CHA,W,2,3,0,0,0,0,0
"Mar 21, 2023",NOP vs. SAS,W,5,0,0,1,0,0,1
"Mar 12, 2023",NOP vs. POR,W,9,0,2,1,0,0,0
"Feb 25, 2023",NOP @ NYK,L,4,0,1,0,0,0,0
"Feb 10, 2023",NOP vs. CLE,L,3,0,0,0,0,0,0
"Feb 05, 2023",NOP vs. SAC,W,5,3,0,1,0,0,0
"Jan 24, 2023",NOP vs. DEN,L,7,2,0,2,0,0,0
"Jan 18, 2023",NOP vs. MIA,L,6,0,1,0,0,0,0
"Jan 09, 2023",NOP @ WAS,W,3,3,0,0,0,0,0
"Jan 07, 2023",NOP @ DAL,L,9,5,1,2,1,0,0
"Dec 26, 2022",NOP vs. IND,W,19,0,1,1,2,0,0
"Dec 22, 2022",NOP vs. SAS,W,2,0,0,0,0,0,0
"Dec 13, 2022",NOP @ UTA,L,6,3,2,1,0,0,0
"Dec 04, 2022",NOP vs. DEN,W,1,0,0,0,0,0,0
"Dec 02, 2022",NOP @ SAS,W,2,0,0,0,0,0,0
"Nov 30, 2022",NOP vs. TOR,W,11,5,1,0,1,0,1
"Nov 28, 2022",NOP vs. OKC,W,11,4,3,0,0,0,1
"Nov 25, 2022",NOP @ MEM,L,12,6,0,0,2,1,0
"Nov 23, 2022",NOP @ SAS,W,5,3,1,1,1,0,1
"Nov 21, 2022",NOP vs. GSW,W,7,2,0,1,1,0,0
"Oct 30, 2022",NOP @ LAC,W,4,0,0,0,0,0,0
"Oct 28, 2022",NOP @ PHX,L,17,6,1,1,1,0,0
