GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",ORL @ MIA,L,15,8,7,2,0,1,1
"Apr 07, 2023",ORL @ BKN,L,19,7,5,0,0,0,1
"Apr 06, 2023",ORL vs. CLE,L,24,22,5,4,0,1,2
"Apr 04, 2023",ORL vs. CLE,L,24,8,1,1,1,0,2
"Apr 02, 2023",ORL vs. DET,W,26,18,2,2,4,1,2
"Mar 31, 2023",ORL @ WAS,W,23,8,3,2,1,1,1
"Mar 28, 2023",ORL @ MEM,L,24,2,3,1,1,0,3
"Mar 26, 2023",ORL vs. BKN,W,24,16,2,1,1,1,0
"Mar 16, 2023",ORL @ PHX,L,22,5,4,1,0,0,1
"Mar 14, 2023",ORL @ SAS,L,22,12,1,1,2,0,1
"Mar 11, 2023",ORL vs. MIA,W,27,16,5,4,4,3,3
"Mar 09, 2023",ORL vs. UTA,L,30,17,3,6,2,0,1
"Mar 07, 2023",ORL vs. MIL,L,26,3,2,2,1,0,0
"Mar 05, 2023",ORL vs. POR,L,35,15,4,2,3,0,3
"Mar 03, 2023",ORL @ CHA,W,30,15,5,1,1,0,3
"Mar 01, 2023",ORL @ MIL,L,25,6,5,2,2,0,1
"Feb 27, 2023",ORL @ NOP,W,23,9,5,3,0,0,1
"Feb 25, 2023",ORL vs. IND,L,26,14,5,2,0,2,1
"Feb 23, 2023",ORL vs. DET,W,21,2,3,1,0,1,2
"Feb 14, 2023",ORL @ TOR,L,29,24,2,4,2,0,3
"Feb 13, 2023",ORL @ CHI,W,23,3,2,1,0,1,2
"Feb 11, 2023",ORL vs. MIA,L,28,14,0,2,4,3,0
"Feb 09, 2023",ORL vs. DEN,W,27,11,4,1,0,0,1
"Feb 07, 2023",ORL vs. NYK,L,21,3,3,1,0,0,3
"Feb 03, 2023",ORL @ MIN,W,16,10,2,3,3,0,0
"Feb 01, 2023",ORL @ PHI,L,26,11,4,3,5,0,1
"Jan 30, 2023",ORL @ PHI,W,20,4,4,1,0,1,0
"Jan 28, 2023",ORL vs. CHI,L,26,11,4,5,1,0,2
"Jan 27, 2023",ORL @ MIA,L,17,3,2,5,2,0,1
"Jan 25, 2023",ORL vs. IND,W,17,8,1,2,0,0,0
"Jan 23, 2023",ORL vs. BOS,W,16,3,0,2,1,0,0
"Jan 21, 2023",ORL @ WAS,L,13,3,0,1,1,0,1
"Jan 20, 2023",ORL vs. NOP,W,15,6,4,1,0,0,1
"Jan 15, 2023",ORL @ DEN,L,13,7,0,1,1,0,0
"Jan 13, 2023",ORL @ UTA,L,14,0,3,2,0,0,0
"Jan 10, 2023",ORL @ POR,W,11,2,3,2,2,0,1
"Jan 09, 2023",ORL @ SAC,L,24,14,4,4,0,0,2
"Jan 07, 2023",ORL @ GSW,W,16,9,3,0,0,2,0
"Jan 05, 2023",ORL vs. MEM,L,5,2,0,0,0,0,0
"Nov 25, 2022",ORL vs. PHI,L,19,0,1,4,0,1,2
"Nov 21, 2022",ORL @ IND,L,24,12,2,4,4,0,2
"Nov 19, 2022",ORL @ IND,L,33,12,5,8,0,3,4
"Nov 18, 2022",ORL @ CHI,W,35,20,5,8,1,1,6
"Nov 16, 2022",ORL vs. MIN,L,33,23,6,6,2,0,3
"Nov 14, 2022",ORL vs. CHA,L,30,2,5,7,1,1,5
"Nov 11, 2022",ORL vs. PHX,W,32,16,3,5,0,0,2
"Nov 09, 2022",ORL vs. DAL,W,26,12,7,4,1,1,1
"Nov 07, 2022",ORL vs. HOU,L,33,11,5,6,1,0,2
"Nov 05, 2022",ORL vs. SAC,L,35,6,1,7,1,1,6
"Nov 03, 2022",ORL vs. GSW,W,36,26,1,9,4,0,3
"Nov 01, 2022",ORL @ OKC,L,28,9,2,4,2,1,4
"Oct 21, 2022",ORL @ ATL,L,16,3,2,1,3,0,3
"Oct 19, 2022",ORL @ DET,L,25,21,1,3,2,0,4
