GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",DET @ CHI,L,25,11,12,0,0,1,4
"Apr 07, 2023",DET @ IND,W,8,3,3,0,0,0,0
"Apr 05, 2023",DET vs. BKN,L,29,16,3,2,0,1,0
"Apr 04, 2023",DET vs. MIA,L,30,14,6,1,0,0,1
"Apr 02, 2023",DET @ ORL,L,23,12,10,1,0,0,0
"Mar 31, 2023",DET @ HOU,L,24,8,4,1,0,3,0
"Mar 29, 2023",DET @ OKC,L,29,14,11,0,0,0,3
"Mar 27, 2023",DET vs. MIL,L,20,14,6,1,1,0,1
"Mar 24, 2023",DET @ TOR,L,23,14,4,1,0,1,2
"Mar 21, 2023",DET @ ATL,L,19,6,5,0,0,0,1
"Mar 19, 2023",DET vs. MIA,L,33,22,13,0,0,0,1
"Mar 16, 2023",DET vs. DEN,L,30,14,9,1,0,0,2
"Mar 14, 2023",DET @ WAS,L,31,12,10,1,1,1,0
"Mar 13, 2023",DET vs. IND,W,24,18,14,1,0,3,2
"Mar 11, 2023",DET vs. IND,L,26,16,9,0,0,1,2
"Mar 09, 2023",DET vs. CHA,L,27,16,13,0,0,1,0
"Mar 07, 2023",DET vs. WAS,L,34,21,5,3,1,2,2
"Mar 06, 2023",DET vs. POR,L,24,12,7,0,0,3,4
"Mar 04, 2023",DET @ CLE,L,24,3,9,1,1,2,4
"Mar 01, 2023",DET vs. CHI,L,29,7,9,2,0,0,3
"Feb 27, 2023",DET @ CHA,L,27,23,7,0,0,0,0
"Feb 25, 2023",DET vs. TOR,L,20,10,10,0,0,0,2
"Feb 23, 2023",DET @ ORL,L,24,8,10,0,0,1,3
"Feb 15, 2023",DET @ BOS,L,24,11,5,0,0,0,0
"Feb 06, 2023",GSW vs. OKC,W,5,6,2,0,0,0,0
"Feb 02, 2023",GSW @ DEN,L,17,9,2,0,1,0,0
"Dec 28, 2022",GSW vs. UTA,W,7,4,4,0,0,0,0
"Dec 27, 2022",GSW vs. CHA,W,10,8,2,1,0,0,1
"Dec 25, 2022",GSW vs. MEM,W,8,0,5,0,0,0,0
"Dec 21, 2022",GSW @ BKN,L,28,30,6,2,0,1,1
"Dec 20, 2022",GSW @ NYK,L,22,4,3,0,1,2,2
"Dec 18, 2022",GSW @ TOR,W,2,0,1,0,0,0,0
"Dec 16, 2022",GSW @ PHI,L,11,6,4,0,0,0,2
"Dec 07, 2022",GSW @ UTA,L,5,3,2,0,0,0,0
"Nov 14, 2022",GSW vs. SAS,W,9,2,2,2,0,0,0
"Nov 04, 2022",GSW @ NOP,L,17,5,6,2,0,0,2
"Nov 03, 2022",GSW @ ORL,L,10,2,3,1,1,0,0
"Nov 01, 2022",GSW @ MIA,L,9,5,0,0,0,1,1
"Oct 30, 2022",GSW @ DET,L,13,6,4,1,0,0,0
"Oct 29, 2022",GSW @ CHA,L,5,0,0,1,0,0,0
"Oct 27, 2022",GSW vs. MIA,W,14,10,6,0,0,0,2
"Oct 25, 2022",GSW @ PHX,L,18,12,3,0,0,2,0
"Oct 23, 2022",GSW vs. SAC,W,20,14,6,3,0,0,2
"Oct 21, 2022",GSW vs. DEN,L,16,11,5,1,0,0,1
"Oct 18, 2022",GSW vs. LAL,W,17,8,7,0,0,1,0
