GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",LAL vs. UTA,W,19,12,4,1,0,0,1
"Apr 07, 2023",LAL vs. PHX,W,17,0,4,0,0,0,0
"Apr 05, 2023",LAL @ LAC,L,25,8,6,1,1,0,2
"Apr 04, 2023",LAL @ UTA,W,18,6,2,1,1,1,0
"Apr 02, 2023",LAL @ HOU,W,15,2,4,1,1,0,0
"Mar 31, 2023",LAL @ MIN,W,28,12,5,2,2,0,1
"Mar 29, 2023",LAL @ CHI,W,25,8,7,2,1,0,0
"Mar 26, 2023",LAL vs. CHI,L,21,4,4,0,0,0,1
"Mar 24, 2023",LAL vs. OKC,W,28,1,10,0,0,1,0
"Mar 22, 2023",LAL vs. PHX,W,26,13,4,0,1,0,1
"Mar 19, 2023",LAL vs. ORL,W,23,2,10,2,0,1,4
"Mar 17, 2023",LAL vs. DAL,L,20,7,4,0,1,0,2
"Mar 15, 2023",LAL @ HOU,L,35,13,10,5,2,0,0
"Mar 14, 2023",LAL @ NOP,W,28,4,8,3,1,0,1
"Mar 12, 2023",LAL vs. NYK,L,24,2,5,2,3,0,1
"Mar 10, 2023",LAL vs. TOR,W,30,16,4,1,2,0,3
"Mar 07, 2023",LAL vs. MEM,W,24,5,8,2,1,0,0
"Mar 05, 2023",LAL vs. GSW,W,24,10,13,4,1,0,1
"Mar 03, 2023",LAL vs. MIN,L,32,8,5,1,2,0,2
"Mar 01, 2023",LAL @ OKC,W,23,7,4,1,1,1,1
"Feb 28, 2023",LAL @ MEM,L,29,4,8,1,1,1,3
"Feb 26, 2023",LAL @ DAL,W,27,15,17,1,4,0,1
"Feb 23, 2023",LAL vs. GSW,W,18,4,9,2,0,0,2
"Feb 15, 2023",LAL vs. NOP,W,28,6,4,2,1,1,1
"Feb 13, 2023",LAL @ POR,L,22,6,6,3,2,0,1
"Feb 11, 2023",LAL @ GSW,W,17,12,8,4,1,0,0
"Feb 03, 2023",UTA vs. ATL,L,18,0,11,2,1,1,0
"Feb 01, 2023",UTA vs. TOR,W,18,6,4,1,0,0,0
"Jan 28, 2023",UTA vs. DAL,W,22,7,6,3,0,0,0
"Jan 25, 2023",UTA @ POR,L,27,12,5,1,2,2,0
"Jan 23, 2023",UTA vs. CHA,W,21,4,6,4,2,0,0
