GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 27, 2023",NOP vs. ORL,L,15,7,3,0,1,0,1
"Feb 25, 2023",NOP @ NYK,L,16,6,0,3,1,0,0
"Feb 23, 2023",NOP @ TOR,L,15,7,1,2,1,0,0
"Feb 15, 2023",NOP @ LAL,L,24,2,2,3,0,0,0
"Feb 13, 2023",NOP @ OKC,W,29,14,1,2,1,1,3
"Feb 10, 2023",NOP vs. CLE,L,21,5,0,7,2,0,2
"Feb 07, 2023",NOP vs. ATL,W,16,6,2,2,0,0,0
"Feb 05, 2023",NOP vs. SAC,W,15,2,1,1,1,0,2
"Feb 04, 2023",NOP vs. LAL,W,24,18,4,2,0,0,2
"Feb 02, 2023",NOP @ DAL,L,14,4,4,3,0,1,2
"Jan 31, 2023",NOP @ DEN,L,14,3,1,2,1,0,2
"Jan 29, 2023",NOP @ MIL,L,29,18,3,6,2,0,2
"Jan 28, 2023",NOP vs. WAS,L,25,9,2,4,2,0,0
"Jan 25, 2023",NOP vs. MIN,L,24,7,4,3,0,0,2
"Jan 24, 2023",NOP vs. DEN,L,27,17,1,3,0,0,0
"Jan 22, 2023",NOP @ MIA,L,23,3,0,1,0,0,2
"Jan 20, 2023",NOP @ ORL,L,30,17,4,4,1,0,1
"Jan 18, 2023",NOP vs. MIA,L,25,11,1,1,0,2,1
"Jan 16, 2023",NOP @ CLE,L,34,10,3,5,3,0,1
"Jan 13, 2023",NOP @ DET,W,30,7,4,4,2,1,2
"Jan 11, 2023",NOP @ BOS,L,22,9,1,3,0,1,2
"Jan 09, 2023",NOP @ WAS,W,24,10,4,5,1,0,1
"Jan 07, 2023",NOP @ DAL,L,27,14,5,7,1,0,1
"Jan 06, 2023",NOP vs. BKN,L,32,17,5,2,0,0,3
"Jan 04, 2023",NOP vs. HOU,W,21,13,2,5,0,0,0
"Jan 02, 2023",NOP @ PHI,L,12,0,2,3,0,0,1
"Dec 31, 2022",NOP @ MEM,L,20,7,3,2,0,0,0
"Dec 30, 2022",NOP vs. PHI,W,20,7,2,3,4,0,3
"Dec 28, 2022",NOP vs. MIN,W,11,5,3,0,1,0,1
"Dec 26, 2022",NOP vs. IND,W,30,8,4,3,3,0,3
"Dec 23, 2022",NOP @ OKC,W,22,11,4,0,0,0,1
"Dec 22, 2022",NOP vs. SAS,W,25,9,2,3,3,0,0
"Dec 19, 2022",NOP vs. MIL,L,20,0,3,6,0,0,0
"Dec 17, 2022",NOP @ PHX,L,15,10,1,0,1,0,2
"Dec 13, 2022",NOP @ UTA,L,17,4,2,3,3,0,3
"Dec 11, 2022",NOP vs. PHX,W,10,2,1,2,0,0,2
"Dec 09, 2022",NOP vs. PHX,W,25,20,1,2,3,0,1
"Dec 07, 2022",NOP vs. DET,W,21,2,0,2,2,0,1
"Dec 04, 2022",NOP vs. DEN,W,27,38,3,2,1,0,0
"Dec 02, 2022",NOP @ SAS,W,24,15,2,5,2,0,0
"Nov 30, 2022",NOP vs. TOR,W,27,4,2,5,2,0,2
"Nov 28, 2022",NOP vs. OKC,W,30,15,2,4,2,0,3
"Nov 25, 2022",NOP @ MEM,L,22,7,4,2,1,0,1
"Nov 23, 2022",NOP @ SAS,W,30,5,3,9,3,0,5
"Nov 21, 2022",NOP vs. GSW,W,16,10,1,3,3,0,0
"Nov 18, 2022",NOP vs. BOS,L,24,10,6,4,1,1,1
"Nov 16, 2022",NOP vs. CHI,W,21,13,3,1,0,0,1
"Nov 15, 2022",NOP vs. MEM,W,21,12,3,6,0,1,1
"Nov 12, 2022",NOP vs. HOU,W,20,12,2,5,3,0,0
"Nov 10, 2022",NOP vs. POR,L,17,3,3,1,0,0,2
"Nov 09, 2022",NOP @ CHI,W,13,7,3,2,0,0,0
"Nov 07, 2022",NOP @ IND,L,14,1,2,3,1,0,1
"Nov 05, 2022",NOP @ ATL,L,16,5,1,4,0,1,1
"Nov 04, 2022",NOP vs. GSW,W,18,10,1,2,2,0,2
"Nov 02, 2022",NOP @ LAL,L,18,15,2,4,1,0,1
"Oct 30, 2022",NOP @ LAC,W,19,0,1,2,0,0,0
"Oct 28, 2022",NOP @ PHX,L,29,14,1,3,1,0,3
"Oct 25, 2022",NOP vs. DAL,W,26,13,3,3,2,0,2
"Oct 23, 2022",NOP vs. UTA,L,24,7,3,4,1,1,3
"Oct 21, 2022",NOP @ CHA,W,15,6,2,1,1,0,2
"Oct 19, 2022",NOP @ BKN,W,16,7,2,2,0,0,0
