GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",MIN vs. NOP,W,36,30,8,2,0,1,2
"Apr 08, 2023",MIN @ SAS,W,28,22,8,8,0,2,2
"Apr 04, 2023",MIN @ BKN,W,31,22,14,5,0,0,1
"Apr 02, 2023",MIN vs. POR,L,25,8,9,3,0,0,3
"Mar 31, 2023",MIN vs. LAL,L,36,23,8,3,0,0,1
"Mar 29, 2023",MIN @ PHX,L,34,25,8,2,0,0,6
"Mar 26, 2023",MIN @ GSW,W,32,14,5,3,2,0,3
"Mar 22, 2023",MIN vs. ATL,W,26,22,4,3,2,0,3
"Nov 28, 2022",MIN @ WAS,L,22,8,2,4,0,0,3
"Nov 27, 2022",MIN vs. GSW,L,31,21,4,4,2,0,6
"Nov 25, 2022",MIN @ CHA,L,37,19,4,5,0,2,2
"Nov 23, 2022",MIN @ IND,W,37,23,11,8,2,2,5
"Nov 21, 2022",MIN vs. MIA,W,34,25,8,9,1,1,3
"Nov 19, 2022",MIN @ PHI,W,32,12,8,3,1,0,3
"Nov 16, 2022",MIN @ ORL,W,36,30,5,5,1,0,2
"Nov 13, 2022",MIN @ CLE,W,37,29,13,3,1,1,2
"Nov 11, 2022",MIN @ MEM,L,26,13,10,4,0,0,1
"Nov 09, 2022",MIN vs. PHX,L,28,11,8,4,0,1,3
"Nov 07, 2022",MIN vs. NYK,L,38,25,13,7,2,1,3
"Nov 05, 2022",MIN vs. HOU,W,30,25,9,6,1,2,3
"Nov 04, 2022",MIN vs. MIL,L,37,22,11,5,0,0,2
"Nov 01, 2022",MIN @ PHX,L,37,24,10,7,0,1,4
"Oct 30, 2022",MIN @ SAS,L,34,26,11,4,1,2,3
"Oct 28, 2022",MIN vs. LAL,W,37,21,8,7,1,0,2
"Oct 26, 2022",MIN vs. SAS,W,38,21,4,7,2,1,3
"Oct 24, 2022",MIN vs. SAS,L,39,27,11,5,0,0,4
"Oct 23, 2022",MIN @ OKC,W,30,15,8,5,1,0,3
"Oct 21, 2022",MIN vs. UTA,L,33,27,8,2,0,0,5
"Oct 19, 2022",MIN vs. OKC,W,36,12,6,7,0,0,3
