GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 06, 2023",PHX vs. DEN,W,41,29,7,4,0,1,4
"Apr 04, 2023",PHX vs. SAS,W,34,18,5,2,0,1,3
"Apr 02, 2023",PHX @ OKC,W,35,35,5,5,0,2,2
"Mar 31, 2023",PHX vs. DEN,W,33,30,4,2,1,2,3
"Mar 29, 2023",PHX vs. MIN,W,29,16,8,4,0,0,2
"Mar 05, 2023",PHX @ DAL,W,40,37,7,3,0,1,2
"Mar 03, 2023",PHX @ CHI,W,31,20,9,6,1,1,2
"Mar 01, 2023",PHX @ CHA,W,27,23,6,2,0,2,2
"Jan 08, 2023",BKN @ MIA,W,30,17,5,2,1,0,4
"Jan 06, 2023",BKN @ NOP,W,38,33,10,3,0,2,4
"Jan 04, 2023",BKN @ CHI,L,38,44,4,5,1,2,3
"Jan 02, 2023",BKN vs. SAS,W,29,25,3,11,3,1,2
"Dec 31, 2022",BKN @ CHA,W,30,23,5,4,0,0,3
"Dec 28, 2022",BKN @ ATL,W,36,26,16,8,0,2,4
"Dec 26, 2022",BKN @ CLE,W,36,32,9,5,0,0,4
"Dec 23, 2022",BKN vs. MIL,W,34,24,5,6,1,1,3
"Dec 21, 2022",BKN vs. GSW,W,29,23,7,5,4,0,2
"Dec 18, 2022",BKN @ DET,W,36,43,6,2,1,2,6
"Dec 16, 2022",BKN @ TOR,W,37,28,4,3,1,0,5
"Dec 12, 2022",BKN @ WAS,W,33,30,9,6,1,1,3
"Dec 09, 2022",BKN vs. ATL,W,36,34,4,4,1,2,4
"Dec 07, 2022",BKN vs. CHA,W,36,29,9,8,0,0,3
"Dec 04, 2022",BKN vs. BOS,L,40,31,7,5,2,2,8
"Dec 02, 2022",BKN vs. TOR,W,38,17,9,7,0,2,2
"Nov 30, 2022",BKN vs. WAS,W,37,39,5,5,0,1,1
"Nov 28, 2022",BKN vs. ORL,W,39,45,7,5,2,2,6
"Nov 27, 2022",BKN vs. POR,W,37,31,5,5,0,0,1
"Nov 25, 2022",BKN @ IND,L,39,36,9,8,0,2,5
"Nov 23, 2022",BKN @ TOR,W,33,12,7,5,0,3,4
"Nov 22, 2022",BKN @ PHI,L,37,20,5,5,0,2,3
"Nov 20, 2022",BKN vs. MEM,W,36,26,7,7,1,1,4
"Nov 17, 2022",BKN @ POR,W,39,35,8,3,0,1,4
"Nov 15, 2022",BKN @ SAC,L,31,27,4,6,0,1,2
"Nov 13, 2022",BKN @ LAL,L,38,31,9,7,0,2,3
"Nov 12, 2022",BKN @ LAC,W,35,27,6,3,2,2,3
"Nov 09, 2022",BKN vs. NYK,W,35,29,12,12,1,2,1
"Nov 07, 2022",BKN @ DAL,L,39,26,4,4,2,1,3
"Nov 05, 2022",BKN @ CHA,W,37,27,8,2,0,3,3
"Nov 04, 2022",BKN @ WAS,W,33,28,9,11,0,1,2
"Nov 01, 2022",BKN vs. CHI,L,38,32,9,6,1,2,7
"Oct 31, 2022",BKN vs. IND,W,39,36,9,7,1,1,3
"Oct 29, 2022",BKN vs. IND,L,39,26,5,2,3,4,3
"Oct 27, 2022",BKN vs. DAL,L,41,37,3,5,2,1,3
"Oct 26, 2022",BKN @ MIL,L,39,33,6,3,0,2,5
"Oct 24, 2022",BKN @ MEM,L,39,37,5,4,0,0,1
"Oct 21, 2022",BKN vs. TOR,W,35,27,5,6,0,2,5
"Oct 19, 2022",BKN vs. NOP,L,32,32,3,2,1,4,4
