GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",UTA @ LAL,L,40,26,10,8,1,0,3
"Apr 08, 2023",UTA vs. DEN,W,37,19,8,14,3,1,3
"Apr 06, 2023",UTA vs. OKC,L,35,22,7,8,1,0,3
"Apr 04, 2023",UTA vs. LAL,L,27,10,4,4,1,0,1
"Apr 02, 2023",UTA @ BKN,L,28,13,1,3,1,1,1
"Mar 31, 2023",UTA @ BOS,L,23,16,4,4,0,2,2
"Mar 29, 2023",UTA @ SAS,W,28,17,4,5,2,0,2
"Mar 27, 2023",UTA vs. PHX,L,22,9,3,5,0,0,0
"Mar 25, 2023",UTA @ SAC,L,26,12,4,5,0,0,3
"Mar 24, 2023",UTA vs. MIL,L,27,2,2,6,0,0,1
"Mar 22, 2023",UTA vs. POR,L,23,15,6,3,1,0,1
"Mar 20, 2023",UTA vs. SAC,W,31,18,2,10,1,1,0
"Mar 18, 2023",UTA vs. BOS,W,20,7,2,6,0,0,1
"Mar 13, 2023",UTA @ MIA,L,21,9,6,8,0,0,2
"Mar 11, 2023",UTA @ CHA,W,16,7,3,5,1,1,2
"Mar 09, 2023",UTA @ ORL,W,23,12,9,4,3,1,2
"Mar 07, 2023",UTA @ DAL,L,24,11,8,5,1,0,2
"Mar 05, 2023",UTA @ OKC,L,27,17,2,3,1,1,2
"Mar 03, 2023",UTA @ OKC,L,23,11,6,6,3,1,2
"Feb 28, 2023",UTA vs. SAS,L,26,11,1,3,2,0,1
"Feb 25, 2023",UTA vs. SAS,W,23,15,7,8,1,1,0
"Feb 23, 2023",UTA vs. OKC,W,17,11,1,1,2,0,1
