GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 18, 2023",WAS vs. SAC,L,32,33,7,3,1,0,0
"Mar 17, 2023",WAS @ CLE,L,25,7,2,1,1,1,4
"Mar 12, 2023",WAS @ PHI,L,30,12,11,4,1,0,2
"Mar 10, 2023",WAS vs. ATL,L,40,17,5,3,0,0,4
"Mar 08, 2023",WAS vs. ATL,L,35,25,10,6,2,0,4
"Mar 07, 2023",WAS @ DET,W,35,23,3,2,2,1,3
"Mar 04, 2023",WAS vs. TOR,L,42,16,6,1,0,0,5
"Mar 02, 2023",WAS vs. TOR,W,35,30,5,5,1,0,3
"Feb 28, 2023",WAS @ ATL,W,37,28,3,1,1,1,2
"Feb 26, 2023",WAS @ CHI,L,38,10,4,3,0,0,3
"Feb 24, 2023",WAS vs. NYK,L,41,23,5,3,1,0,4
"Feb 16, 2023",WAS @ MIN,W,35,16,7,1,1,1,4
"Feb 14, 2023",WAS @ POR,W,36,33,9,2,0,1,3
"Feb 04, 2023",WAS @ BKN,L,11,2,2,5,0,0,0
"Feb 03, 2023",WAS vs. POR,L,37,12,11,6,0,1,2
"Jan 30, 2023",WAS @ SAS,W,32,16,6,3,0,0,5
"Jan 28, 2023",WAS @ NOP,W,38,10,9,5,1,1,2
"Jan 25, 2023",WAS @ HOU,W,41,33,9,2,1,1,2
"Jan 24, 2023",WAS @ DAL,W,37,30,5,2,0,1,3
"Jan 21, 2023",WAS vs. ORL,W,32,25,10,6,0,1,1
"Jan 18, 2023",WAS @ NYK,W,36,27,13,7,1,1,4
"Jan 16, 2023",WAS vs. GSW,L,40,16,11,5,1,0,6
"Jan 13, 2023",WAS vs. NYK,L,40,40,7,7,0,1,3
"Jan 11, 2023",WAS vs. CHI,W,38,21,4,3,0,0,2
"Jan 09, 2023",WAS vs. NOP,L,23,19,8,2,0,0,5
"Jan 06, 2023",WAS @ OKC,L,37,23,5,7,1,0,6
"Jan 03, 2023",WAS @ MIL,L,34,20,4,2,0,2,2
"Jan 01, 2023",WAS @ MIL,W,33,10,13,11,0,0,5
"Dec 30, 2022",WAS @ ORL,W,31,23,5,6,0,1,8
"Dec 28, 2022",WAS vs. PHX,W,36,22,5,7,1,0,1
"Dec 27, 2022",WAS vs. PHI,W,38,14,8,1,0,0,4
"Dec 23, 2022",WAS @ SAC,W,37,32,9,5,2,0,1
"Dec 22, 2022",WAS @ UTA,L,34,21,5,2,1,0,2
"Dec 20, 2022",WAS @ PHX,W,37,29,6,6,2,0,2
"Dec 18, 2022",WAS @ LAL,L,40,22,16,2,1,1,3
"Dec 17, 2022",WAS @ LAC,L,39,17,6,2,1,1,3
"Dec 14, 2022",WAS @ DEN,L,36,24,2,4,0,0,3
"Dec 12, 2022",WAS vs. BKN,L,39,20,7,3,0,1,4
"Dec 10, 2022",WAS vs. LAC,L,38,35,12,3,1,0,6
"Dec 09, 2022",WAS @ IND,L,36,27,7,7,0,0,3
"Dec 07, 2022",WAS @ CHI,L,38,21,5,1,2,0,3
"Dec 04, 2022",WAS vs. LAL,L,32,26,7,4,2,1,6
"Dec 02, 2022",WAS @ CHA,L,33,14,4,3,0,1,1
"Nov 30, 2022",WAS @ BKN,L,40,25,4,3,0,1,1
"Nov 28, 2022",WAS vs. MIN,W,31,23,8,9,0,0,0
"Nov 25, 2022",WAS @ MIA,L,39,28,7,5,1,0,3
"Nov 23, 2022",WAS @ MIA,L,40,33,7,1,1,0,0
"Nov 20, 2022",WAS vs. CHA,W,38,28,10,5,0,0,4
"Nov 18, 2022",WAS vs. MIA,W,40,21,8,5,1,0,4
"Nov 16, 2022",WAS vs. OKC,L,39,18,10,9,1,0,7
"Nov 13, 2022",WAS vs. MEM,W,34,9,11,3,0,0,4
"Nov 12, 2022",WAS vs. UTA,W,33,23,8,6,0,0,4
"Nov 10, 2022",WAS vs. DAL,W,41,36,11,6,1,0,4
"Nov 07, 2022",WAS @ CHA,W,31,20,6,1,0,1,2
"Nov 06, 2022",WAS @ MEM,L,34,12,11,2,0,1,3
"Nov 04, 2022",WAS vs. BKN,L,24,19,5,2,0,0,1
"Nov 02, 2022",WAS @ PHI,W,31,18,8,4,0,0,4
"Oct 31, 2022",WAS vs. PHI,L,33,9,7,2,0,1,1
"Oct 30, 2022",WAS @ BOS,L,28,9,8,1,1,0,0
"Oct 28, 2022",WAS vs. IND,L,37,18,9,3,1,0,3
"Oct 25, 2022",WAS vs. DET,W,27,25,6,1,0,1,3
"Oct 23, 2022",WAS @ CLE,L,37,11,2,3,0,2,0
"Oct 21, 2022",WAS vs. CHI,W,34,26,6,2,0,0,1
"Oct 19, 2022",WAS @ IND,W,35,22,13,2,0,2,2
