GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 27, 2023",CHA vs. DET,W,21,18,6,5,0,0,5
"Feb 25, 2023",CHA vs. MIA,W,40,19,7,13,0,0,7
"Feb 24, 2023",CHA @ MIN,W,40,32,10,8,2,0,3
"Feb 15, 2023",CHA vs. SAS,W,39,28,12,10,1,0,4
"Feb 13, 2023",CHA vs. ATL,W,41,30,6,15,0,0,4
"Feb 11, 2023",CHA vs. DEN,L,35,18,9,12,2,0,4
"Feb 10, 2023",CHA @ BOS,L,38,24,9,10,1,0,5
"Feb 08, 2023",CHA @ WAS,L,36,16,6,4,0,0,3
"Feb 05, 2023",CHA vs. ORL,L,38,33,8,6,4,0,4
"Feb 03, 2023",CHA @ DET,L,40,23,8,8,5,0,3
"Feb 02, 2023",CHA @ CHI,L,36,19,8,6,2,0,4
"Jan 31, 2023",CHA @ MIL,L,40,27,10,11,3,3,4
"Jan 29, 2023",CHA vs. MIA,W,36,19,7,7,1,1,7
"Jan 26, 2023",CHA vs. CHI,W,37,15,11,8,0,0,6
"Jan 18, 2023",CHA @ HOU,W,20,13,1,4,0,0,3
"Jan 16, 2023",CHA vs. BOS,L,35,25,5,6,0,0,2
"Jan 14, 2023",CHA vs. BOS,L,39,31,7,9,2,0,5
"Jan 12, 2023",CHA @ TOR,L,40,32,4,7,2,0,5
"Jan 10, 2023",CHA @ TOR,L,38,24,4,14,0,0,2
"Jan 08, 2023",CHA @ IND,L,25,13,2,8,0,0,1
"Jan 06, 2023",CHA @ MIL,W,36,24,3,12,2,1,0
"Jan 04, 2023",CHA vs. MEM,L,35,23,4,12,1,0,1
"Jan 02, 2023",CHA vs. LAL,L,38,24,7,6,3,2,5
"Dec 31, 2022",CHA vs. BKN,L,36,23,7,11,2,0,4
"Dec 29, 2022",CHA vs. OKC,W,36,27,10,9,1,2,3
"Dec 27, 2022",CHA @ GSW,L,35,21,10,4,0,0,3
"Dec 26, 2022",CHA @ POR,L,36,27,7,7,2,0,3
"Dec 23, 2022",CHA @ LAL,W,37,23,8,8,3,0,4
"Dec 21, 2022",CHA @ LAC,L,37,25,11,12,2,0,7
"Dec 19, 2022",CHA @ SAC,W,27,23,5,12,0,0,2
"Dec 18, 2022",CHA @ DEN,L,36,31,5,5,1,0,2
"Dec 16, 2022",CHA vs. ATL,L,33,27,2,3,1,1,2
"Dec 14, 2022",CHA vs. DET,L,34,23,1,11,0,0,1
"Nov 16, 2022",CHA vs. IND,L,37,26,1,6,2,0,4
"Nov 14, 2022",CHA @ ORL,W,34,17,4,9,0,1,5
"Nov 12, 2022",CHA @ MIA,L,28,15,6,6,1,0,2
