GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 07, 2023",DAL vs. CHI,L,13,13,5,3,0,0,0
"Apr 05, 2023",DAL vs. SAC,W,39,29,10,6,1,0,1
"Apr 02, 2023",DAL @ ATL,L,44,22,7,7,0,1,5
"Apr 01, 2023",DAL @ MIA,L,45,42,10,8,2,0,3
"Mar 29, 2023",DAL @ PHI,L,37,24,10,8,0,1,4
"Mar 27, 2023",DAL @ IND,W,28,25,7,6,1,0,0
"Mar 26, 2023",DAL @ CHA,L,40,40,12,8,2,2,4
"Mar 24, 2023",DAL vs. CHA,L,37,34,10,8,0,1,5
"Mar 22, 2023",DAL vs. GSW,L,41,30,7,17,1,0,5
"Mar 08, 2023",DAL @ NOP,L,28,15,3,8,1,0,1
"Mar 07, 2023",DAL vs. UTA,W,34,29,10,6,2,1,6
"Mar 05, 2023",DAL vs. PHX,L,35,34,9,4,0,0,5
"Mar 02, 2023",DAL vs. PHI,W,40,42,4,12,1,0,5
"Feb 28, 2023",DAL vs. IND,L,38,39,8,6,0,1,2
"Feb 26, 2023",DAL vs. LAL,L,36,26,9,5,1,0,6
"Feb 23, 2023",DAL vs. SAS,W,30,28,7,10,2,2,1
"Feb 15, 2023",DAL @ DEN,L,35,37,4,9,4,0,2
"Feb 13, 2023",DAL vs. MIN,L,36,33,12,6,1,0,4
"Feb 11, 2023",DAL @ SAC,L,41,27,9,5,0,0,6
"Feb 02, 2023",DAL vs. NOP,W,23,31,8,4,2,0,4
"Jan 30, 2023",DAL vs. DET,W,36,53,8,5,2,0,4
"Jan 26, 2023",DAL @ PHX,W,3,0,1,0,0,0,0
"Jan 24, 2023",DAL vs. WAS,L,38,41,15,6,1,0,3
"Jan 22, 2023",DAL vs. LAC,L,39,29,10,4,1,0,4
"Jan 20, 2023",DAL vs. MIA,W,38,34,12,7,1,0,3
"Jan 18, 2023",DAL vs. ATL,L,39,30,4,8,0,0,7
"Jan 14, 2023",DAL @ POR,L,36,15,6,10,1,1,1
"Jan 12, 2023",DAL @ LAL,W,53,35,14,13,1,1,5
"Jan 10, 2023",DAL @ LAC,L,43,43,11,7,2,0,3
"Jan 07, 2023",DAL vs. NOP,W,39,34,10,10,0,1,7
"Jan 05, 2023",DAL vs. BOS,L,31,23,9,3,0,0,4
"Jan 02, 2023",DAL @ HOU,W,41,39,12,8,1,0,4
"Dec 31, 2022",DAL @ SAS,W,37,51,6,9,4,1,0
"Dec 29, 2022",DAL vs. HOU,W,34,35,12,13,1,2,2
"Dec 27, 2022",DAL vs. NYK,W,47,60,21,10,2,1,4
"Dec 25, 2022",DAL vs. LAL,W,39,32,9,9,2,0,3
"Dec 23, 2022",DAL @ HOU,W,42,50,8,10,3,0,7
"Dec 21, 2022",DAL @ MIN,W,37,25,9,10,3,0,4
"Dec 19, 2022",DAL @ MIN,L,28,19,6,7,1,0,4
"Dec 16, 2022",DAL vs. POR,W,29,33,6,9,0,0,4
"Dec 14, 2022",DAL vs. CLE,L,39,30,5,6,1,1,5
"Dec 12, 2022",DAL vs. OKC,W,37,38,11,8,0,0,4
"Dec 09, 2022",DAL vs. MIL,L,37,33,6,11,2,0,1
"Dec 06, 2022",DAL @ DEN,W,37,22,10,12,0,1,5
"Dec 05, 2022",DAL vs. PHX,W,29,33,6,8,1,2,3
"Dec 03, 2022",DAL @ NYK,W,29,30,8,7,1,3,5
"Dec 01, 2022",DAL @ DET,L,41,35,5,10,3,0,3
"Nov 29, 2022",DAL vs. GSW,W,39,41,12,12,4,1,5
"Nov 27, 2022",DAL @ MIL,L,35,27,5,12,0,0,6
"Nov 26, 2022",DAL @ TOR,L,43,24,7,9,2,1,4
"Nov 23, 2022",DAL @ BOS,L,40,42,8,9,0,0,5
"Nov 20, 2022",DAL vs. DEN,L,36,22,9,8,1,0,4
"Nov 18, 2022",DAL vs. DEN,W,35,33,12,11,1,0,2
"Nov 15, 2022",DAL vs. LAC,W,40,35,11,5,3,0,3
"Nov 12, 2022",DAL vs. POR,W,38,42,13,10,2,1,2
"Nov 10, 2022",DAL @ WAS,L,39,22,9,6,2,0,5
"Nov 09, 2022",DAL @ ORL,L,35,24,6,6,3,2,0
"Nov 07, 2022",DAL vs. BKN,W,38,36,6,6,2,1,5
"Nov 04, 2022",DAL vs. TOR,W,37,35,8,6,3,1,4
"Nov 02, 2022",DAL vs. UTA,W,35,33,5,11,2,0,5
"Oct 30, 2022",DAL vs. ORL,W,37,44,3,5,1,0,0
"Oct 29, 2022",DAL vs. OKC,L,40,31,16,10,1,0,3
"Oct 27, 2022",DAL @ BKN,W,41,41,11,14,3,0,5
"Oct 25, 2022",DAL @ NOP,L,36,37,11,7,2,1,3
"Oct 22, 2022",DAL vs. MEM,W,30,32,7,10,2,2,3
"Oct 19, 2022",DAL @ PHX,L,37,35,9,6,1,0,4
