GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 07, 2023",MEM @ MIL,W,32,19,4,5,0,0,0
"Apr 04, 2023",MEM vs. POR,W,34,20,5,2,2,0,1
"Apr 02, 2023",MEM @ CHI,L,28,6,3,2,0,0,0
"Mar 31, 2023",MEM vs. LAC,W,33,17,6,1,0,0,3
"Mar 29, 2023",MEM vs. LAC,L,33,12,4,2,0,1,0
"Mar 28, 2023",MEM vs. ORL,W,28,16,5,5,1,0,1
"Mar 26, 2023",MEM @ ATL,W,23,14,7,2,1,0,1
"Mar 24, 2023",MEM vs. HOU,W,24,30,0,3,1,0,0
"Mar 22, 2023",MEM vs. HOU,W,25,13,4,1,0,0,1
"Mar 20, 2023",MEM vs. DAL,W,25,10,4,1,0,0,0
"Mar 18, 2023",MEM vs. GSW,W,23,14,4,5,0,0,1
"Mar 17, 2023",MEM @ SAS,W,32,13,2,3,4,0,3
"Mar 15, 2023",MEM @ MIA,L,20,14,2,1,1,0,0
"Mar 13, 2023",MEM @ DAL,W,17,2,2,2,0,0,0
"Mar 11, 2023",MEM vs. DAL,W,21,8,3,1,2,0,0
"Mar 09, 2023",MEM vs. GSW,W,17,6,1,2,0,0,0
"Mar 07, 2023",MEM @ LAL,L,19,6,7,5,0,0,2
"Mar 05, 2023",MEM @ LAC,L,29,15,3,4,0,0,1
"Mar 03, 2023",MEM @ DEN,L,18,6,1,0,0,0,0
"Mar 01, 2023",MEM @ HOU,W,20,0,2,1,1,0,2
"Feb 28, 2023",MEM vs. LAL,W,23,6,1,1,0,0,0
"Feb 25, 2023",MEM vs. DEN,W,25,12,2,2,0,0,0
"Feb 15, 2023",MEM vs. UTA,W,21,9,1,2,0,0,0
"Feb 12, 2023",MEM @ BOS,L,22,4,2,1,0,0,0
"Feb 08, 2023",LAC vs. DAL,L,6,0,0,0,0,0,0
"Feb 06, 2023",LAC @ BKN,W,15,3,0,0,1,0,0
"Jan 31, 2023",LAC @ CHI,W,17,0,4,1,0,0,0
"Jan 29, 2023",LAC @ CLE,L,10,2,2,1,1,0,1
"Jan 28, 2023",LAC @ ATL,W,21,11,3,0,1,0,2
"Jan 26, 2023",LAC vs. SAS,W,17,5,1,0,0,0,0
"Jan 06, 2023",LAC @ MIN,L,21,11,4,1,0,1,2
"Jan 05, 2023",LAC @ DEN,L,24,4,1,2,1,0,2
"Jan 02, 2023",LAC vs. MIA,L,18,11,0,0,1,0,0
"Dec 31, 2022",LAC @ IND,L,20,7,1,3,0,0,1
"Dec 29, 2022",LAC @ BOS,L,17,0,1,1,0,0,0
"Dec 27, 2022",LAC @ TOR,W,18,0,3,1,1,0,0
"Dec 26, 2022",LAC @ DET,W,32,18,5,1,1,0,0
"Dec 23, 2022",LAC @ PHI,L,21,8,2,3,1,1,0
"Dec 21, 2022",LAC vs. CHA,W,24,12,3,3,0,0,1
"Dec 17, 2022",LAC vs. WAS,W,29,20,4,2,0,0,2
"Dec 14, 2022",LAC vs. MIN,W,23,16,0,0,0,1,0
"Dec 12, 2022",LAC vs. BOS,W,26,12,0,1,2,0,1
"Dec 10, 2022",LAC @ WAS,W,24,10,3,5,1,1,2
"Dec 08, 2022",LAC @ MIA,L,24,7,3,2,0,0,1
"Dec 05, 2022",LAC @ CHA,W,20,9,2,2,0,0,0
"Nov 15, 2022",LAC @ DAL,L,3,0,1,0,1,0,0
"Nov 14, 2022",LAC @ HOU,W,28,8,1,1,1,0,2
"Nov 12, 2022",LAC vs. BKN,L,24,9,3,0,0,0,2
"Nov 09, 2022",LAC vs. LAL,W,25,13,3,2,1,0,0
"Nov 07, 2022",LAC vs. CLE,W,13,6,0,0,2,0,0
"Nov 04, 2022",LAC @ SAS,W,9,2,1,0,0,0,0
"Nov 02, 2022",LAC @ HOU,W,24,6,6,0,1,0,1
"Oct 31, 2022",LAC vs. HOU,W,34,8,10,2,0,0,2
"Oct 30, 2022",LAC vs. NOP,L,23,7,6,0,0,0,0
"Oct 27, 2022",LAC @ OKC,L,17,10,1,0,1,0,4
"Oct 25, 2022",LAC @ OKC,L,29,15,4,2,1,0,1
"Oct 23, 2022",LAC vs. PHX,L,18,2,3,0,0,0,3
"Oct 22, 2022",LAC @ SAC,W,28,11,1,0,0,0,0
"Oct 20, 2022",LAC @ LAL,W,24,11,1,1,0,0,0
