GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",CHA @ CLE,W,30,22,10,0,1,2,2
"Apr 07, 2023",CHA vs. HOU,L,26,12,13,0,1,1,0
"Apr 02, 2023",CHA vs. TOR,L,27,15,12,0,0,0,1
"Mar 31, 2023",CHA vs. CHI,L,35,6,8,0,1,1,3
"Mar 26, 2023",CHA vs. DAL,W,32,15,16,1,0,0,2
"Mar 24, 2023",CHA @ DAL,W,21,13,8,2,0,1,1
"Mar 09, 2023",CHA @ DET,W,11,2,4,1,0,0,0
"Mar 07, 2023",CHA @ NYK,W,28,7,3,0,1,1,1
"Mar 05, 2023",CHA @ BKN,L,24,10,14,0,1,0,1
"Mar 03, 2023",CHA vs. ORL,L,28,13,7,0,0,1,3
"Mar 01, 2023",CHA vs. PHX,L,28,11,10,2,1,1,1
"Feb 27, 2023",CHA vs. DET,W,30,15,11,3,0,1,2
"Feb 25, 2023",CHA vs. MIA,W,29,18,20,0,1,1,1
"Feb 24, 2023",CHA @ MIN,W,17,8,6,1,0,1,0
"Feb 15, 2023",CHA vs. SAS,W,30,12,10,0,0,4,1
"Feb 13, 2023",CHA vs. ATL,W,30,15,5,0,2,2,1
"Feb 11, 2023",CHA vs. DEN,L,21,6,5,0,1,2,0
"Feb 10, 2023",CHA @ BOS,L,31,11,12,2,0,1,0
"Feb 08, 2023",CHA @ WAS,L,17,9,8,0,0,2,1
"Feb 05, 2023",CHA vs. ORL,L,17,6,4,0,1,2,2
"Feb 03, 2023",CHA @ DET,L,1,0,0,0,0,0,0
"Feb 02, 2023",CHA @ CHI,L,17,13,7,0,1,3,2
"Jan 31, 2023",CHA @ MIL,L,17,5,7,0,0,1,0
"Jan 29, 2023",CHA vs. MIA,W,20,7,3,1,2,1,1
"Jan 26, 2023",CHA vs. CHI,W,18,10,6,0,1,0,0
"Jan 24, 2023",CHA @ PHX,L,6,6,2,0,0,0,1
"Jan 23, 2023",CHA @ UTA,L,18,11,3,0,2,3,1
"Jan 21, 2023",CHA @ ATL,W,19,8,5,0,3,0,0
"Jan 18, 2023",CHA @ HOU,W,19,17,6,0,0,5,0
"Jan 16, 2023",CHA vs. BOS,L,17,9,6,0,0,0,0
"Jan 14, 2023",CHA vs. BOS,L,2,2,2,0,0,0,0
"Jan 10, 2023",CHA @ TOR,L,15,4,4,0,0,1,1
"Jan 08, 2023",CHA @ IND,L,16,7,8,0,1,1,0
"Jan 06, 2023",CHA @ MIL,W,14,4,6,1,1,0,0
"Jan 04, 2023",CHA vs. MEM,L,20,2,8,0,1,1,2
"Jan 02, 2023",CHA vs. LAL,L,15,5,9,0,0,1,1
"Dec 31, 2022",CHA vs. BKN,L,15,8,7,0,0,0,4
"Dec 29, 2022",CHA vs. OKC,W,21,17,13,2,2,2,1
"Dec 27, 2022",CHA @ GSW,L,18,6,2,1,1,2,1
"Dec 26, 2022",CHA @ POR,L,16,9,6,1,2,0,0
"Oct 28, 2022",CHA @ ORL,L,7,7,4,0,0,0,0
"Oct 23, 2022",CHA @ ATL,W,1,2,3,0,0,0,0
"Oct 19, 2022",CHA @ SAS,W,4,2,1,0,0,0,2
