GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 02, 2023",POR @ MIN,W,30,2,4,0,3,0,0
"Mar 31, 2023",POR vs. SAC,L,24,8,2,1,1,2,2
"Mar 29, 2023",POR vs. SAC,L,37,8,5,3,2,1,1
"Mar 27, 2023",POR vs. NOP,L,14,3,1,0,0,1,0
"Mar 26, 2023",POR vs. OKC,L,33,8,4,1,2,0,1
"Mar 24, 2023",POR vs. CHI,L,14,5,0,1,1,0,2
"Mar 22, 2023",POR @ UTA,W,28,6,4,2,2,1,1
"Mar 19, 2023",POR vs. LAC,L,23,6,4,0,0,0,0
"Mar 17, 2023",POR vs. BOS,L,21,12,1,0,2,0,0
"Mar 14, 2023",POR vs. NYK,L,38,15,8,3,3,1,1
"Mar 12, 2023",POR @ NOP,L,24,10,0,0,3,0,2
"Mar 10, 2023",POR @ PHI,L,19,5,2,1,1,1,0
"Mar 08, 2023",POR @ BOS,L,20,2,1,1,1,0,0
"Mar 06, 2023",POR @ DET,W,37,3,3,2,1,0,1
"Mar 05, 2023",POR @ ORL,W,32,6,8,2,1,0,1
"Mar 03, 2023",POR @ ATL,L,32,8,5,2,4,1,1
"Mar 01, 2023",POR vs. NOP,L,38,12,8,4,1,4,0
"Feb 28, 2023",POR @ GSW,L,25,15,3,0,1,2,0
"Feb 26, 2023",POR vs. HOU,W,36,8,3,2,2,1,0
"Feb 23, 2023",POR @ SAC,L,27,5,4,2,2,0,1
"Feb 14, 2023",POR vs. WAS,L,30,2,1,1,4,0,1
"Feb 13, 2023",POR vs. LAL,W,26,14,6,2,1,3,1
"Feb 08, 2023",PHI @ BOS,L,10,3,1,0,1,0,1
"Feb 05, 2023",PHI @ NYK,L,10,0,4,0,1,0,0
"Feb 03, 2023",PHI @ SAS,W,16,4,1,1,2,0,0
"Feb 01, 2023",PHI vs. ORL,W,10,2,2,0,0,0,0
"Jan 30, 2023",PHI vs. ORL,L,11,10,1,2,2,0,0
"Jan 28, 2023",PHI vs. DEN,W,12,2,2,0,3,0,0
"Jan 25, 2023",PHI vs. BKN,W,12,10,2,1,3,0,0
"Jan 21, 2023",PHI @ SAC,W,13,2,2,0,0,0,0
"Jan 19, 2023",PHI @ POR,W,17,2,1,0,2,2,0
"Jan 17, 2023",PHI @ LAC,W,8,0,0,1,0,0,1
"Jan 15, 2023",PHI @ LAL,W,10,2,1,0,0,0,0
"Jan 14, 2023",PHI @ UTA,W,20,2,4,1,1,0,1
"Jan 12, 2023",PHI vs. OKC,L,11,0,0,0,1,1,0
"Jan 10, 2023",PHI vs. DET,W,10,4,1,1,1,1,0
"Jan 08, 2023",PHI @ DET,W,23,5,1,2,5,0,0
"Jan 06, 2023",PHI vs. CHI,L,12,0,1,1,0,1,0
"Jan 04, 2023",PHI vs. IND,W,21,5,2,1,0,0,0
"Jan 02, 2023",PHI vs. NOP,W,8,2,1,0,1,1,0
"Dec 31, 2022",PHI @ OKC,W,22,9,1,0,0,0,0
"Dec 30, 2022",PHI @ NOP,L,8,0,3,0,0,1,0
"Dec 27, 2022",PHI @ WAS,L,5,0,1,0,0,1,0
"Dec 25, 2022",PHI @ NYK,W,4,0,0,1,0,0,0
"Dec 23, 2022",PHI vs. LAC,W,1,0,0,0,0,0,0
"Dec 21, 2022",PHI vs. DET,W,13,6,0,1,2,0,0
"Dec 19, 2022",PHI vs. TOR,W,7,3,1,1,0,0,0
"Dec 16, 2022",PHI vs. GSW,W,21,3,2,0,1,1,0
"Dec 13, 2022",PHI vs. SAC,W,22,15,2,0,0,0,0
"Dec 11, 2022",PHI vs. CHA,W,13,0,2,0,0,0,1
"Dec 09, 2022",PHI vs. LAL,W,13,9,0,1,3,0,1
"Dec 05, 2022",PHI @ HOU,L,7,0,1,0,0,0,0
"Dec 02, 2022",PHI @ MEM,L,13,0,1,0,1,0,0
"Nov 30, 2022",PHI @ CLE,L,18,3,2,0,1,0,1
"Nov 28, 2022",PHI vs. ATL,W,8,4,0,0,1,0,0
"Nov 22, 2022",PHI vs. BKN,W,3,3,0,0,0,0,0
"Nov 19, 2022",PHI vs. MIN,L,5,0,0,0,0,0,0
"Nov 18, 2022",PHI vs. MIL,W,4,0,0,0,0,0,0
"Nov 13, 2022",PHI vs. UTA,W,27,2,6,2,5,1,0
"Nov 12, 2022",PHI vs. ATL,W,30,3,2,0,1,0,0
"Nov 10, 2022",PHI @ ATL,L,8,0,0,0,1,0,1
"Nov 07, 2022",PHI vs. PHX,W,11,0,1,1,0,1,0
"Nov 04, 2022",PHI vs. NYK,L,13,4,3,0,1,1,0
"Nov 02, 2022",PHI vs. WAS,L,16,2,0,2,1,0,0
"Oct 31, 2022",PHI @ WAS,W,16,1,5,0,2,0,1
"Oct 29, 2022",PHI @ CHI,W,21,2,0,0,1,0,0
"Oct 28, 2022",PHI @ TOR,W,22,6,3,3,1,2,0
"Oct 24, 2022",PHI vs. IND,W,2,0,0,0,0,0,0
"Oct 22, 2022",PHI vs. SAS,L,3,0,0,0,0,0,0
"Oct 20, 2022",PHI vs. MIL,L,0,0,0,0,0,0,0
"Oct 18, 2022",PHI @ BOS,L,0,0,0,0,0,0,0
