GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",LAL vs. UTA,W,1,0,0,0,0,0,0
"Apr 07, 2023",LAL vs. PHX,W,1,0,0,0,0,0,0
"Apr 02, 2023",LAL @ HOU,W,4,0,1,2,0,0,0
"Mar 14, 2023",LAL @ NOP,W,2,0,0,0,0,0,0
"Mar 01, 2023",LAL @ OKC,W,6,2,0,0,1,0,0
"Feb 28, 2023",LAL @ MEM,L,1,0,0,0,0,0,0
"Feb 13, 2023",LAL @ POR,L,7,2,2,1,1,1,2
"Feb 09, 2023",LAL vs. MIL,L,12,0,0,1,0,0,0
"Jan 31, 2023",LAL @ NYK,W,13,6,2,0,0,0,0
"Jan 30, 2023",LAL @ BKN,L,8,3,1,0,0,0,1
"Jan 25, 2023",LAL vs. SAS,W,24,5,4,1,1,1,1
"Jan 24, 2023",LAL vs. LAC,L,17,5,2,0,1,0,0
"Jan 22, 2023",LAL @ POR,W,16,0,2,0,0,1,0
"Jan 20, 2023",LAL vs. MEM,W,14,3,1,1,0,0,0
"Jan 18, 2023",LAL vs. SAC,L,27,12,3,1,2,0,0
"Jan 16, 2023",LAL vs. HOU,W,5,0,0,0,0,0,0
"Jan 15, 2023",LAL vs. PHI,L,15,2,2,0,0,0,0
"Jan 12, 2023",LAL vs. DAL,L,29,7,5,0,0,1,1
"Jan 09, 2023",LAL @ DEN,L,26,14,3,1,0,0,0
"Jan 07, 2023",LAL @ SAC,W,24,2,2,0,0,0,0
"Jan 06, 2023",LAL vs. ATL,W,16,8,1,3,0,1,2
"Jan 04, 2023",LAL vs. MIA,W,7,0,1,1,0,0,1
"Dec 28, 2022",LAL @ MIA,L,0,0,0,0,0,0,0
"Dec 27, 2022",LAL @ ORL,W,5,0,0,0,0,0,0
"Dec 25, 2022",LAL @ DAL,L,5,2,1,0,0,0,0
"Dec 23, 2022",LAL vs. CHA,L,10,0,0,0,0,0,1
"Dec 21, 2022",LAL @ SAC,L,26,6,4,3,0,0,0
"Dec 19, 2022",LAL @ PHX,L,27,2,6,1,0,0,1
"Dec 18, 2022",LAL vs. WAS,W,24,8,4,0,0,1,0
"Dec 16, 2022",LAL vs. DEN,W,16,6,3,0,0,1,0
"Dec 07, 2022",LAL @ TOR,L,13,5,3,0,0,0,1
"Nov 30, 2022",LAL vs. POR,W,19,3,1,1,0,0,0
"Nov 25, 2022",LAL @ SAS,W,2,0,0,0,0,0,0
"Nov 13, 2022",LAL vs. BKN,W,21,0,9,0,0,0,0
"Nov 11, 2022",LAL vs. SAC,L,17,7,4,1,1,0,0
"Nov 09, 2022",LAL @ LAC,L,14,3,5,0,0,0,1
"Nov 07, 2022",LAL @ UTA,L,29,8,1,2,2,0,1
"Nov 06, 2022",LAL vs. CLE,L,5,2,0,0,0,0,0
"Nov 04, 2022",LAL vs. UTA,L,1,0,0,0,0,0,0
"Oct 26, 2022",LAL @ DEN,L,3,2,1,1,0,0,0
"Oct 18, 2022",LAL @ GSW,L,2,3,1,0,0,0,0
