GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",MIA vs. ORL,W,11,0,1,2,0,1,0
"Apr 07, 2023",MIA @ WAS,L,26,11,3,2,0,0,1
"Apr 06, 2023",MIA @ PHI,W,24,14,1,4,0,0,1
"Apr 04, 2023",MIA @ DET,W,29,9,3,2,0,0,0
"Apr 01, 2023",MIA vs. DAL,W,30,18,4,1,0,0,2
"Mar 29, 2023",MIA @ NYK,L,3,0,0,0,0,0,0
"Mar 28, 2023",MIA @ TOR,L,27,3,2,1,0,0,2
"Mar 25, 2023",MIA vs. BKN,L,34,23,5,2,0,0,0
"Mar 22, 2023",MIA vs. NYK,W,32,11,1,1,2,0,0
"Mar 19, 2023",MIA @ DET,W,24,5,2,1,0,0,1
"Mar 18, 2023",MIA @ CHI,L,31,20,3,4,0,0,0
"Mar 15, 2023",MIA vs. MEM,W,33,12,2,6,0,0,0
"Mar 13, 2023",MIA vs. UTA,W,7,0,0,1,1,0,0
"Mar 11, 2023",MIA @ ORL,L,32,8,4,1,1,0,0
"Mar 10, 2023",MIA vs. CLE,W,26,14,3,3,0,1,2
"Mar 08, 2023",MIA vs. CLE,L,21,9,2,1,0,0,0
"Mar 06, 2023",MIA vs. ATL,W,22,8,0,0,1,0,0
"Mar 04, 2023",MIA vs. ATL,W,18,4,3,3,0,0,0
"Mar 03, 2023",MIA vs. NYK,L,19,5,0,3,0,0,1
"Mar 01, 2023",MIA vs. PHI,L,30,13,5,2,0,0,2
"Feb 27, 2023",MIA @ PHI,W,24,13,1,0,0,0,0
"Feb 25, 2023",MIA @ CHA,L,19,0,4,2,0,0,1
"Feb 24, 2023",MIA @ MIL,L,27,5,4,4,0,1,0
"Feb 15, 2023",MIA @ BKN,L,39,18,4,2,0,0,2
"Feb 13, 2023",MIA vs. DEN,L,42,23,7,4,1,0,1
"Feb 11, 2023",MIA @ ORL,W,39,12,4,7,0,0,3
"Feb 10, 2023",MIA vs. HOU,W,34,14,0,1,1,0,0
"Feb 08, 2023",MIA vs. IND,W,17,3,5,1,0,0,0
"Feb 04, 2023",MIA @ MIL,L,24,11,2,1,0,0,1
"Feb 02, 2023",MIA @ NYK,L,29,17,1,1,0,0,0
"Jan 31, 2023",MIA @ CLE,W,14,0,3,1,0,0,1
"Jan 29, 2023",MIA @ CHA,L,17,10,2,1,0,0,1
"Jan 27, 2023",MIA vs. ORL,W,30,17,1,2,1,0,2
"Jan 24, 2023",MIA vs. BOS,W,37,13,7,1,2,0,0
"Jan 22, 2023",MIA vs. NOP,W,15,0,6,1,0,0,1
"Jan 20, 2023",MIA @ DAL,L,24,0,3,1,0,0,1
"Jan 18, 2023",MIA @ NOP,W,27,16,2,10,0,0,1
"Jan 16, 2023",MIA @ ATL,L,28,13,2,3,0,0,3
"Jan 14, 2023",MIA vs. MIL,W,42,10,7,4,0,0,2
"Jan 12, 2023",MIA vs. MIL,W,41,12,10,4,0,0,2
"Jan 10, 2023",MIA vs. OKC,W,42,22,7,3,1,0,2
"Jan 08, 2023",MIA vs. BKN,L,27,10,1,3,1,0,0
"Jan 06, 2023",MIA @ PHX,W,38,19,2,3,1,1,1
"Jan 04, 2023",MIA @ LAL,L,23,8,4,3,2,0,0
"Jan 02, 2023",MIA @ LAC,W,25,13,8,2,1,0,1
"Dec 31, 2022",MIA @ UTA,W,31,13,2,6,2,0,1
"Dec 30, 2022",MIA @ DEN,L,33,19,3,0,0,0,1
"Dec 28, 2022",MIA vs. LAL,W,17,7,1,1,0,0,1
"Dec 26, 2022",MIA vs. MIN,W,25,19,3,0,0,0,0
"Dec 23, 2022",MIA vs. IND,L,21,6,5,2,1,0,0
"Dec 20, 2022",MIA vs. CHI,L,29,4,4,6,0,0,0
"Dec 17, 2022",MIA @ SAS,W,27,12,4,3,1,0,0
"Dec 15, 2022",MIA @ HOU,W,33,12,4,5,0,0,0
"Dec 14, 2022",MIA @ OKC,W,18,10,2,0,1,0,0
"Dec 12, 2022",MIA @ IND,W,32,9,3,1,0,0,1
"Dec 10, 2022",MIA vs. SAS,L,16,4,1,1,1,0,0
"Dec 08, 2022",MIA vs. LAC,W,32,8,4,2,0,0,0
"Dec 06, 2022",MIA vs. DET,L,30,11,4,2,0,1,2
"Dec 05, 2022",MIA @ MEM,L,23,5,1,0,1,1,1
"Dec 02, 2022",MIA @ BOS,W,21,4,4,1,3,0,0
"Nov 30, 2022",MIA @ BOS,L,36,23,1,2,1,0,0
"Nov 27, 2022",MIA @ ATL,W,33,16,3,1,0,0,2
"Nov 21, 2022",MIA @ MIN,L,40,19,6,2,1,0,4
"Nov 20, 2022",MIA @ CLE,L,33,8,0,2,1,0,1
"Nov 18, 2022",MIA @ WAS,L,45,22,5,2,0,0,1
"Nov 16, 2022",MIA @ TOR,L,35,20,3,0,2,1,3
"Nov 14, 2022",MIA vs. PHX,W,36,5,3,2,1,0,2
"Nov 12, 2022",MIA vs. CHA,W,38,31,4,2,1,0,0
"Nov 10, 2022",MIA vs. CHA,W,40,12,1,1,2,0,1
"Nov 07, 2022",MIA vs. POR,L,25,16,0,2,1,0,0
"Nov 04, 2022",MIA @ IND,L,40,17,7,3,2,0,3
"Nov 02, 2022",MIA vs. SAC,W,33,10,0,4,0,1,0
"Nov 01, 2022",MIA vs. GSW,W,33,24,1,2,1,0,2
"Oct 29, 2022",MIA @ SAC,L,34,11,5,1,1,0,0
"Oct 27, 2022",MIA @ GSW,L,32,14,5,0,0,2,0
"Oct 26, 2022",MIA @ POR,W,28,16,9,3,2,0,3
"Oct 24, 2022",MIA vs. TOR,L,30,6,6,2,0,0,0
"Oct 22, 2022",MIA vs. TOR,W,37,20,5,3,0,2,0
"Oct 21, 2022",MIA vs. BOS,L,23,2,1,1,0,0,1
"Oct 19, 2022",MIA vs. CHI,L,31,22,7,1,0,0,2
