GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",BKN vs. PHI,L,0,0,0,0,0,0,0
"Apr 07, 2023",BKN vs. ORL,W,37,22,5,2,2,0,3
"Apr 05, 2023",BKN @ DET,W,38,26,3,6,0,1,1
"Apr 04, 2023",BKN vs. MIN,L,40,24,5,2,2,1,3
"Apr 02, 2023",BKN vs. UTA,W,39,30,7,2,3,0,1
"Mar 31, 2023",BKN vs. ATL,W,36,42,4,3,1,0,3
"Mar 29, 2023",BKN vs. HOU,W,40,27,6,6,0,1,3
"Mar 26, 2023",BKN @ ORL,L,34,44,6,1,1,1,2
"Mar 25, 2023",BKN @ MIA,W,38,27,3,7,2,0,2
"Mar 23, 2023",BKN vs. CLE,L,34,32,6,1,0,0,1
"Mar 21, 2023",BKN vs. CLE,L,37,18,4,1,0,0,2
"Mar 19, 2023",BKN vs. DEN,L,31,23,1,1,0,0,4
"Mar 16, 2023",BKN vs. SAC,L,35,23,4,2,1,0,1
"Mar 14, 2023",BKN @ OKC,L,38,34,4,2,0,4,3
"Mar 12, 2023",BKN @ DEN,W,38,25,3,2,1,0,1
"Mar 10, 2023",BKN @ MIN,W,47,34,6,1,0,0,4
"Mar 09, 2023",BKN @ MIL,L,12,10,1,0,2,0,0
"Mar 07, 2023",BKN @ HOU,W,36,30,0,5,1,2,1
"Mar 05, 2023",BKN vs. CHA,W,41,33,8,2,0,1,0
"Mar 03, 2023",BKN @ BOS,W,43,38,10,4,1,0,2
"Mar 01, 2023",BKN @ NYK,L,30,21,3,3,1,0,1
"Feb 28, 2023",BKN vs. MIL,L,37,31,2,5,2,0,2
"Feb 26, 2023",BKN @ ATL,L,38,24,5,3,2,2,0
"Feb 24, 2023",BKN @ CHI,L,27,13,6,2,0,0,2
"Feb 15, 2023",BKN vs. MIA,W,36,45,8,5,2,2,3
"Feb 13, 2023",BKN @ NYK,L,29,7,5,3,0,1,3
