GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 07, 2023",TOR @ BOS,L,31,7,2,1,1,0,0
"Apr 05, 2023",TOR @ BOS,L,40,12,4,2,4,3,0
"Apr 04, 2023",TOR @ CHA,W,29,17,2,5,2,1,1
"Apr 02, 2023",TOR @ CHA,W,34,23,7,1,0,0,0
"Mar 31, 2023",TOR @ PHI,L,41,17,3,3,1,1,1
"Mar 28, 2023",TOR vs. MIA,W,39,22,3,5,1,0,2
"Mar 26, 2023",TOR vs. WAS,W,37,29,8,1,1,3,1
"Mar 24, 2023",TOR vs. DET,W,25,17,3,2,0,0,1
"Mar 22, 2023",TOR vs. IND,L,37,7,6,1,4,0,1
"Mar 19, 2023",TOR @ MIL,L,37,22,4,1,1,1,0
"Mar 18, 2023",TOR vs. MIN,W,35,15,2,1,1,0,3
"Mar 16, 2023",TOR vs. OKC,W,29,17,4,1,2,2,2
"Mar 14, 2023",TOR vs. DEN,W,35,24,3,3,1,0,1
"Mar 10, 2023",TOR @ LAL,L,38,31,2,1,5,0,5
"Mar 08, 2023",TOR @ LAC,L,37,18,3,0,3,0,2
"Mar 06, 2023",TOR @ DEN,L,35,12,4,1,0,0,1
"Mar 04, 2023",TOR @ WAS,W,39,6,3,2,1,1,2
"Mar 02, 2023",TOR @ WAS,L,38,26,3,2,2,1,3
"Feb 28, 2023",TOR vs. CHI,W,34,17,8,2,1,0,3
"Feb 26, 2023",TOR @ CLE,L,34,7,1,1,1,0,1
"Feb 25, 2023",TOR @ DET,W,39,6,3,2,1,1,1
"Feb 23, 2023",TOR vs. NOP,W,32,12,6,2,2,1,3
"Jan 27, 2023",TOR @ GSW,L,10,1,0,1,1,0,0
"Jan 25, 2023",TOR @ SAC,W,31,11,3,2,2,1,1
"Jan 21, 2023",TOR vs. BOS,L,21,12,3,0,0,0,2
"Jan 19, 2023",TOR @ MIN,L,36,15,8,0,1,1,3
"Jan 17, 2023",TOR @ MIL,L,35,5,3,2,0,1,0
"Jan 16, 2023",TOR @ NYK,W,40,10,5,3,3,2,1
"Jan 14, 2023",TOR vs. ATL,L,35,14,4,2,0,0,3
"Jan 12, 2023",TOR vs. CHA,W,38,15,4,4,4,1,2
"Jan 10, 2023",TOR vs. CHA,W,31,22,3,2,0,0,2
"Jan 08, 2023",TOR vs. POR,W,34,14,5,2,4,1,2
"Jan 06, 2023",TOR vs. NYK,L,40,13,9,2,3,0,0
"Jan 04, 2023",TOR vs. MIL,L,46,14,9,0,4,0,1
"Jan 02, 2023",TOR @ IND,L,40,17,8,2,1,2,2
"Dec 30, 2022",TOR vs. PHX,W,29,16,5,4,2,0,3
"Dec 29, 2022",TOR vs. MEM,L,35,16,3,3,2,1,1
"Dec 27, 2022",TOR vs. LAC,L,44,18,5,1,0,1,4
"Dec 23, 2022",TOR @ CLE,W,38,26,9,2,2,0,4
"Dec 21, 2022",TOR @ NYK,W,36,15,6,1,0,1,0
"Dec 19, 2022",TOR @ PHI,L,40,13,4,3,2,1,2
"Dec 09, 2022",TOR @ ORL,L,44,12,8,2,5,0,1
"Dec 07, 2022",TOR vs. LAL,W,34,23,6,1,1,1,1
"Dec 05, 2022",TOR vs. BOS,L,42,13,5,0,3,1,5
"Dec 03, 2022",TOR vs. ORL,W,33,32,2,4,3,0,1
"Dec 02, 2022",TOR @ BKN,L,38,21,6,1,2,0,0
"Nov 30, 2022",TOR @ NOP,L,31,12,5,3,1,1,4
"Nov 28, 2022",TOR vs. CLE,W,37,20,1,2,1,1,0
"Nov 26, 2022",TOR vs. DAL,W,43,26,9,2,2,2,5
"Nov 23, 2022",TOR vs. BKN,L,36,15,5,4,2,0,5
"Nov 19, 2022",TOR @ ATL,L,42,27,3,5,2,0,5
"Nov 16, 2022",TOR vs. MIA,W,43,32,10,3,0,1,3
"Nov 14, 2022",TOR @ DET,W,37,19,7,3,0,2,3
"Nov 12, 2022",TOR @ IND,L,36,26,2,3,1,2,4
"Nov 11, 2022",TOR @ OKC,L,31,13,6,1,2,1,3
"Nov 09, 2022",TOR vs. HOU,W,39,27,10,1,3,1,1
"Nov 07, 2022",TOR @ CHI,L,39,13,4,1,3,0,4
"Nov 06, 2022",TOR vs. CHI,W,38,22,6,3,3,1,1
"Nov 04, 2022",TOR @ DAL,L,38,27,7,1,5,0,4
"Nov 02, 2022",TOR @ SAS,W,24,18,5,3,5,1,2
"Oct 31, 2022",TOR vs. ATL,W,32,14,6,3,6,2,1
"Oct 28, 2022",TOR vs. PHI,L,36,19,9,2,2,1,2
"Oct 26, 2022",TOR vs. PHI,W,34,15,2,1,3,0,1
"Oct 24, 2022",TOR @ MIA,W,34,6,7,0,2,1,3
"Oct 22, 2022",TOR @ MIA,L,38,13,9,0,1,1,0
"Oct 21, 2022",TOR @ BKN,L,37,10,5,1,1,1,3
"Oct 19, 2022",TOR vs. CLE,W,38,18,7,5,3,1,3
