GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 06, 2023",PHI vs. MIA,L,22,2,3,1,0,0,0
"Apr 04, 2023",PHI vs. BOS,W,27,11,2,0,0,0,2
"Apr 02, 2023",PHI @ MIL,L,24,5,2,2,0,0,0
"Mar 31, 2023",PHI vs. TOR,W,26,9,6,1,0,0,1
"Mar 29, 2023",PHI vs. DAL,W,19,2,6,0,0,0,0
"Mar 27, 2023",PHI @ DEN,L,23,0,0,0,0,0,0
"Mar 25, 2023",PHI @ PHX,L,28,5,4,0,0,1,0
"Mar 24, 2023",PHI @ GSW,L,25,0,2,1,2,0,1
"Mar 22, 2023",PHI @ CHI,W,24,5,3,1,1,0,0
"Mar 17, 2023",PHI @ CHA,W,22,0,5,1,2,0,0
"Mar 15, 2023",PHI @ CLE,W,35,5,6,3,3,0,2
"Mar 12, 2023",PHI vs. WAS,W,21,0,6,2,1,1,0
"Mar 10, 2023",PHI vs. POR,W,21,2,5,0,0,0,0
"Mar 07, 2023",PHI @ MIN,W,22,0,1,0,0,0,0
"Mar 04, 2023",PHI @ MIL,W,19,2,2,1,1,0,0
"Mar 02, 2023",PHI @ DAL,L,24,3,0,0,0,0,0
"Mar 01, 2023",PHI @ MIA,W,19,5,3,1,0,0,0
"Feb 27, 2023",PHI vs. MIA,L,33,8,4,0,2,0,1
"Feb 25, 2023",PHI vs. BOS,L,38,7,16,1,0,0,0
"Feb 23, 2023",PHI vs. MEM,W,32,6,6,1,1,0,1
"Feb 15, 2023",PHI vs. CLE,W,21,10,3,0,1,0,0
"Feb 13, 2023",PHI vs. HOU,W,7,0,0,0,0,0,1
"Feb 11, 2023",PHI @ BKN,W,27,2,3,0,0,0,1
"Feb 10, 2023",PHI vs. NYK,W,31,5,6,1,0,0,0
"Feb 08, 2023",PHI @ BOS,L,25,8,4,1,0,1,0
"Feb 05, 2023",PHI @ NYK,L,27,10,3,1,0,0,1
"Feb 03, 2023",PHI @ SAS,W,22,0,3,1,0,0,0
"Feb 01, 2023",PHI vs. ORL,W,13,3,1,0,1,0,0
"Jan 30, 2023",PHI vs. ORL,L,28,0,4,2,0,1,0
"Jan 28, 2023",PHI vs. DEN,W,24,2,1,1,1,0,0
"Jan 25, 2023",PHI vs. BKN,W,18,6,3,2,0,0,0
"Jan 21, 2023",PHI @ SAC,W,19,0,3,0,0,0,0
"Jan 19, 2023",PHI @ POR,W,19,0,2,1,0,1,1
"Jan 17, 2023",PHI @ LAC,W,27,6,4,0,1,0,0
"Jan 15, 2023",PHI @ LAL,W,24,3,0,0,0,0,1
"Jan 14, 2023",PHI @ UTA,W,23,5,4,1,0,0,0
"Jan 12, 2023",PHI vs. OKC,L,21,0,2,0,0,0,0
"Jan 10, 2023",PHI vs. DET,W,21,6,8,1,0,0,0
"Jan 06, 2023",PHI vs. CHI,L,20,2,3,2,1,0,0
"Jan 04, 2023",PHI vs. IND,W,25,0,7,1,1,0,2
"Jan 02, 2023",PHI vs. NOP,W,18,3,3,0,0,0,0
"Dec 30, 2022",PHI @ NOP,L,28,5,3,0,0,1,1
"Dec 27, 2022",PHI @ WAS,L,19,0,3,0,1,0,0
"Dec 25, 2022",PHI @ NYK,W,24,6,1,1,0,0,0
"Dec 23, 2022",PHI vs. LAC,W,20,0,2,0,1,0,0
"Dec 21, 2022",PHI vs. DET,W,21,0,10,0,1,0,0
"Dec 19, 2022",PHI vs. TOR,W,39,5,6,2,1,1,3
"Dec 16, 2022",PHI vs. GSW,W,27,7,6,0,0,0,1
"Dec 13, 2022",PHI vs. SAC,W,24,6,4,0,0,0,0
"Dec 11, 2022",PHI vs. CHA,W,32,3,2,0,1,1,0
"Dec 09, 2022",PHI vs. LAL,W,33,3,5,2,1,0,1
"Dec 05, 2022",PHI @ HOU,L,42,3,6,1,0,0,0
"Dec 02, 2022",PHI @ MEM,L,21,3,5,2,1,0,0
"Nov 30, 2022",PHI @ CLE,L,20,6,1,1,0,0,1
"Nov 28, 2022",PHI vs. ATL,W,28,0,3,0,0,0,1
"Nov 27, 2022",PHI @ ORL,W,16,0,2,1,0,0,0
"Nov 25, 2022",PHI @ ORL,W,25,0,5,1,0,0,1
"Nov 23, 2022",PHI @ CHA,L,34,3,7,1,1,0,1
"Nov 22, 2022",PHI vs. BKN,W,37,0,5,3,3,0,0
"Nov 19, 2022",PHI vs. MIN,L,33,0,5,1,0,0,2
"Nov 18, 2022",PHI vs. MIL,W,32,0,4,2,1,0,2
"Nov 13, 2022",PHI vs. UTA,W,30,0,1,1,1,0,1
"Nov 12, 2022",PHI vs. ATL,W,31,2,6,2,2,0,1
"Nov 10, 2022",PHI @ ATL,L,24,3,3,0,0,1,1
"Nov 07, 2022",PHI vs. PHX,W,30,4,8,1,0,1,1
"Nov 04, 2022",PHI vs. NYK,L,25,3,5,2,0,1,1
"Nov 02, 2022",PHI vs. WAS,L,28,5,2,0,0,0,0
"Oct 31, 2022",PHI @ WAS,W,32,13,5,1,1,0,1
"Oct 29, 2022",PHI @ CHI,W,23,8,6,0,0,2,4
"Oct 28, 2022",PHI @ TOR,W,23,5,5,1,1,0,0
"Oct 26, 2022",PHI @ TOR,L,31,8,4,0,0,0,1
"Oct 24, 2022",PHI vs. IND,W,20,3,3,1,0,0,0
"Oct 22, 2022",PHI vs. SAS,L,29,3,4,1,1,0,1
"Oct 20, 2022",PHI vs. MIL,L,39,5,5,1,2,1,1
"Oct 18, 2022",PHI @ BOS,L,33,6,4,0,0,1,2
