GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 07, 2023",TOR @ BOS,L,30,19,3,2,4,0,1
"Apr 05, 2023",TOR @ BOS,L,35,28,11,4,2,0,1
"Apr 04, 2023",TOR @ CHA,W,35,22,14,4,2,2,2
"Apr 02, 2023",TOR @ CHA,W,38,36,7,7,2,0,0
"Mar 31, 2023",TOR @ PHI,L,42,14,4,7,0,0,2
"Mar 28, 2023",TOR vs. MIA,W,37,26,9,5,0,1,3
"Mar 26, 2023",TOR vs. WAS,W,34,19,11,2,1,0,3
"Mar 24, 2023",TOR vs. DET,W,38,32,5,9,1,0,2
"Mar 22, 2023",TOR vs. IND,L,40,31,10,7,0,1,1
"Mar 19, 2023",TOR @ MIL,L,38,13,12,7,2,0,1
"Mar 18, 2023",TOR vs. MIN,W,35,27,10,6,0,0,3
"Mar 16, 2023",TOR vs. OKC,W,34,25,14,8,0,0,0
"Mar 14, 2023",TOR vs. DEN,W,39,12,8,4,1,0,3
"Mar 10, 2023",TOR @ LAL,L,37,12,4,2,0,1,1
"Mar 08, 2023",TOR @ LAC,L,41,20,6,5,2,0,3
"Mar 06, 2023",TOR @ DEN,L,37,19,4,4,0,1,3
"Mar 04, 2023",TOR @ WAS,W,37,15,4,8,4,0,4
"Mar 02, 2023",TOR @ WAS,L,39,13,11,6,0,1,4
"Feb 28, 2023",TOR vs. CHI,W,34,20,8,3,1,0,1
"Feb 26, 2023",TOR @ CLE,L,33,25,8,5,0,0,4
"Feb 25, 2023",TOR @ DET,W,35,29,8,5,3,2,0
"Feb 23, 2023",TOR vs. NOP,W,38,26,4,5,0,0,1
"Feb 14, 2023",TOR vs. ORL,W,41,26,4,6,2,0,3
"Feb 12, 2023",TOR vs. DET,W,38,28,4,6,0,2,2
"Feb 10, 2023",TOR vs. UTA,L,39,35,6,4,3,0,3
"Feb 08, 2023",TOR vs. SAS,W,40,37,10,7,1,0,2
"Feb 05, 2023",TOR @ MEM,W,28,19,6,5,1,0,2
"Feb 03, 2023",TOR @ HOU,W,36,23,6,4,2,0,3
"Feb 01, 2023",TOR @ UTA,L,39,21,10,5,0,0,3
"Jan 30, 2023",TOR @ PHX,L,38,19,3,1,0,0,3
"Jan 28, 2023",TOR @ POR,W,39,24,3,4,0,0,1
"Jan 27, 2023",TOR @ GSW,L,40,21,7,3,0,0,0
"Jan 25, 2023",TOR @ SAC,W,35,26,11,7,2,2,1
"Jan 22, 2023",TOR vs. NYK,W,34,24,7,6,1,1,1
"Jan 21, 2023",TOR vs. BOS,L,43,29,9,10,0,1,6
"Jan 19, 2023",TOR @ MIN,L,41,13,7,9,0,1,4
"Jan 17, 2023",TOR @ MIL,L,40,23,9,3,0,1,4
"Jan 16, 2023",TOR @ NYK,W,46,20,8,9,0,3,1
"Jan 14, 2023",TOR vs. ATL,L,34,15,7,6,0,1,3
"Jan 12, 2023",TOR vs. CHA,W,38,35,7,3,0,1,4
"Jan 10, 2023",TOR vs. CHA,W,36,28,8,7,0,0,3
"Jan 08, 2023",TOR vs. POR,W,38,27,4,6,2,1,4
"Jan 06, 2023",TOR vs. NYK,L,40,18,13,5,0,0,5
"Jan 04, 2023",TOR vs. MIL,L,40,11,8,4,0,1,3
"Jan 02, 2023",TOR @ IND,L,39,26,7,7,0,0,3
"Dec 30, 2022",TOR vs. PHX,W,41,26,2,6,0,0,2
"Dec 29, 2022",TOR vs. MEM,L,38,25,10,4,2,1,1
"Dec 27, 2022",TOR vs. LAC,L,41,36,9,5,1,1,2
"Dec 23, 2022",TOR @ CLE,W,42,26,7,9,2,1,5
"Dec 21, 2022",TOR @ NYK,W,41,52,9,7,1,0,1
"Dec 19, 2022",TOR @ PHI,L,48,38,15,6,1,0,5
"Dec 18, 2022",TOR vs. GSW,L,37,27,5,5,0,0,1
"Dec 16, 2022",TOR vs. BKN,L,37,17,7,5,1,0,3
"Dec 14, 2022",TOR vs. SAC,L,43,19,4,6,0,0,1
"Dec 11, 2022",TOR @ ORL,L,38,19,6,7,1,1,4
"Dec 09, 2022",TOR @ ORL,L,38,36,9,7,1,1,1
"Dec 07, 2022",TOR vs. LAL,W,32,25,10,7,2,0,2
"Dec 05, 2022",TOR vs. BOS,L,39,29,8,7,0,0,2
"Dec 03, 2022",TOR vs. ORL,W,31,26,8,10,3,0,1
"Dec 02, 2022",TOR @ BKN,L,32,24,7,4,1,0,0
"Nov 30, 2022",TOR @ NOP,L,34,23,6,4,2,2,5
"Nov 28, 2022",TOR vs. CLE,W,30,18,11,5,0,0,2
"Nov 04, 2022",TOR @ DAL,L,31,18,7,6,1,0,2
"Nov 02, 2022",TOR @ SAS,W,28,22,10,11,1,0,3
"Oct 31, 2022",TOR vs. ATL,W,35,31,12,6,0,2,0
"Oct 28, 2022",TOR vs. PHI,L,36,26,10,6,0,0,5
"Oct 26, 2022",TOR vs. PHI,W,38,20,5,13,0,0,1
"Oct 24, 2022",TOR @ MIA,W,42,23,9,6,2,2,5
"Oct 22, 2022",TOR @ MIA,L,40,23,8,9,1,1,1
"Oct 21, 2022",TOR @ BKN,L,37,37,12,11,0,0,3
"Oct 19, 2022",TOR vs. CLE,W,34,23,11,1,3,0,4
