GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",CHI vs. DET,W,22,2,2,1,1,1,0
"Apr 07, 2023",CHI @ DAL,W,37,23,8,2,2,2,2
"Apr 05, 2023",CHI @ MIL,L,29,6,6,1,0,0,2
"Apr 04, 2023",CHI vs. ATL,L,27,15,2,1,2,2,0
"Apr 02, 2023",CHI vs. MEM,W,26,12,3,1,1,3,0
"Mar 31, 2023",CHI @ CHA,W,24,15,0,0,1,0,0
"Mar 29, 2023",CHI vs. LAL,L,24,2,1,1,1,1,1
"Mar 27, 2023",CHI @ LAC,L,30,16,2,1,1,1,1
"Mar 26, 2023",CHI @ LAL,W,25,7,3,1,1,0,2
"Mar 24, 2023",CHI @ POR,W,27,10,3,0,1,3,2
"Mar 22, 2023",CHI vs. PHI,L,21,7,5,1,2,0,4
"Mar 20, 2023",CHI @ PHI,W,32,6,4,2,0,1,1
"Mar 18, 2023",CHI vs. MIA,W,33,10,2,0,1,2,1
"Mar 17, 2023",CHI vs. MIN,W,25,6,3,1,0,0,1
"Mar 15, 2023",CHI vs. SAC,L,25,13,4,2,4,1,1
"Mar 11, 2023",CHI @ HOU,W,23,3,0,1,0,3,0
"Mar 08, 2023",CHI @ DEN,W,30,18,4,0,1,0,0
"Mar 05, 2023",CHI vs. IND,L,21,14,1,0,0,0,3
"Mar 03, 2023",CHI vs. PHX,L,29,9,3,0,0,0,0
"Mar 01, 2023",CHI @ DET,W,28,11,2,0,0,2,0
"Feb 28, 2023",CHI @ TOR,L,22,8,1,1,2,1,0
"Feb 26, 2023",CHI vs. WAS,W,22,5,4,1,0,1,0
"Feb 24, 2023",CHI vs. BKN,W,28,17,6,3,2,0,2
"Feb 16, 2023",CHI vs. MIL,L,30,16,5,2,2,0,0
"Feb 15, 2023",CHI @ IND,L,28,11,2,2,2,0,1
"Feb 13, 2023",CHI vs. ORL,L,30,6,4,0,0,1,3
