GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",TOR vs. MIL,W,22,8,2,5,0,0,1
"Apr 07, 2023",TOR @ BOS,L,30,8,2,3,0,1,2
"Apr 05, 2023",TOR @ BOS,L,39,18,8,5,2,1,4
"Apr 04, 2023",TOR @ CHA,W,29,0,3,3,1,0,1
"Apr 02, 2023",TOR @ CHA,W,36,12,3,3,2,1,3
"Mar 31, 2023",TOR @ PHI,L,40,29,9,8,4,1,2
"Mar 28, 2023",TOR vs. MIA,W,41,22,7,12,3,0,0
"Mar 26, 2023",TOR vs. WAS,W,32,13,5,6,3,1,1
"Mar 19, 2023",TOR @ MIL,L,13,5,2,1,1,0,0
"Mar 18, 2023",TOR vs. MIN,W,28,10,4,2,0,0,1
"Mar 16, 2023",TOR vs. OKC,W,35,19,8,6,1,0,2
"Mar 14, 2023",TOR vs. DEN,W,37,18,7,5,1,0,4
"Mar 10, 2023",TOR @ LAL,L,38,32,9,7,1,0,1
"Mar 08, 2023",TOR @ LAC,L,37,20,5,4,2,0,3
"Mar 06, 2023",TOR @ DEN,L,34,12,9,2,1,1,3
"Mar 04, 2023",TOR @ WAS,W,35,12,3,6,0,0,1
"Mar 02, 2023",TOR @ WAS,L,36,14,3,5,0,0,3
"Feb 28, 2023",TOR vs. CHI,W,35,11,8,4,1,4,1
"Feb 26, 2023",TOR @ CLE,L,31,12,3,5,0,2,2
"Feb 25, 2023",TOR @ DET,W,37,12,7,4,0,0,2
"Feb 23, 2023",TOR vs. NOP,W,41,18,5,3,3,1,3
"Feb 14, 2023",TOR vs. ORL,W,36,17,6,6,1,2,1
"Feb 12, 2023",TOR vs. DET,W,37,20,4,2,1,0,4
"Feb 10, 2023",TOR vs. UTA,L,39,12,7,9,0,0,1
"Feb 08, 2023",TOR vs. SAS,W,39,10,9,4,1,0,2
"Feb 05, 2023",TOR @ MEM,W,35,16,7,2,2,2,4
"Feb 03, 2023",TOR @ HOU,W,37,13,6,4,0,1,1
