GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2023",GSW @ POR,W,22,26,5,7,0,0,1
"Apr 07, 2023",GSW @ SAC,W,33,25,7,6,2,1,5
"Apr 04, 2023",GSW vs. OKC,W,37,34,5,6,1,0,0
"Apr 02, 2023",GSW @ DEN,L,37,21,3,4,0,2,3
"Mar 31, 2023",GSW vs. SAS,W,33,33,2,5,0,0,1
"Mar 28, 2023",GSW vs. NOP,W,37,39,8,8,3,0,4
"Mar 26, 2023",GSW vs. MIN,L,36,20,6,9,1,0,3
"Mar 24, 2023",GSW vs. PHI,W,38,29,8,3,0,0,2
"Mar 22, 2023",GSW @ DAL,W,35,20,5,13,0,0,3
"Mar 20, 2023",GSW @ HOU,W,36,30,7,5,2,1,4
"Mar 18, 2023",GSW @ MEM,L,30,16,8,5,0,0,1
"Mar 17, 2023",GSW @ ATL,L,37,31,6,5,0,0,6
"Mar 15, 2023",GSW @ LAC,L,39,50,2,6,2,0,2
"Mar 13, 2023",GSW vs. PHX,W,33,23,7,5,0,0,5
"Mar 11, 2023",GSW vs. MIL,W,43,36,6,4,2,1,5
"Mar 09, 2023",GSW @ MEM,L,34,29,7,4,1,0,4
"Mar 07, 2023",GSW @ OKC,L,35,40,6,7,0,0,6
"Mar 05, 2023",GSW @ LAL,L,32,27,2,6,1,0,2
"Feb 04, 2023",GSW vs. DAL,W,26,21,6,7,0,0,0
"Feb 02, 2023",GSW @ DEN,L,33,28,5,5,0,0,6
"Feb 01, 2023",GSW @ MIN,L,42,29,10,3,1,1,4
"Jan 30, 2023",GSW @ OKC,W,37,38,8,12,0,1,4
"Jan 27, 2023",GSW vs. TOR,W,39,35,7,11,2,0,3
"Jan 25, 2023",GSW vs. MEM,W,35,34,2,3,2,0,3
"Jan 22, 2023",GSW vs. BKN,L,38,26,6,7,1,0,5
"Jan 19, 2023",GSW @ BOS,L,43,29,4,7,3,2,3
"Jan 16, 2023",GSW @ WAS,W,38,41,7,2,0,0,4
"Jan 15, 2023",GSW @ CHI,L,34,20,10,4,0,1,8
"Jan 13, 2023",GSW @ SAS,W,23,15,4,3,0,1,0
"Jan 10, 2023",GSW vs. PHX,L,31,24,1,3,1,0,1
"Dec 14, 2022",GSW @ IND,L,30,38,7,7,2,1,3
"Dec 13, 2022",GSW @ MIL,L,27,20,6,1,1,1,2
"Dec 10, 2022",GSW vs. BOS,W,37,32,6,7,0,1,4
"Dec 05, 2022",GSW vs. IND,L,38,12,4,6,1,0,3
"Dec 03, 2022",GSW vs. HOU,W,35,30,3,10,1,1,4
"Dec 02, 2022",GSW vs. CHI,W,33,19,11,6,0,1,6
"Nov 29, 2022",GSW @ DAL,L,38,32,5,5,0,0,4
"Nov 27, 2022",GSW @ MIN,W,33,25,11,8,1,0,7
"Nov 25, 2022",GSW vs. UTA,W,36,33,5,4,2,0,5
"Nov 23, 2022",GSW vs. LAC,W,32,22,6,9,0,0,1
"Nov 20, 2022",GSW @ HOU,W,37,33,6,15,3,2,1
"Nov 18, 2022",GSW vs. NYK,W,34,24,6,10,2,0,5
"Nov 16, 2022",GSW @ PHX,L,36,50,9,6,0,1,3
"Nov 14, 2022",GSW vs. SAS,W,27,16,5,5,1,0,1
"Nov 13, 2022",GSW @ SAC,L,37,27,6,4,1,0,4
"Nov 11, 2022",GSW vs. CLE,W,34,40,4,5,1,0,2
"Nov 07, 2022",GSW vs. SAC,W,38,47,8,8,0,0,0
"Nov 03, 2022",GSW @ ORL,L,38,39,3,9,0,0,5
"Nov 01, 2022",GSW @ MIA,L,34,23,13,13,1,0,5
"Oct 30, 2022",GSW @ DET,L,35,32,6,3,2,0,1
"Oct 29, 2022",GSW @ CHA,L,39,31,11,6,1,0,2
"Oct 27, 2022",GSW vs. MIA,W,37,33,7,9,1,0,3
"Oct 25, 2022",GSW @ PHX,L,30,21,7,8,1,0,1
"Oct 23, 2022",GSW vs. SAC,W,31,33,5,2,1,0,2
"Oct 21, 2022",GSW vs. DEN,L,36,34,5,4,0,0,3
"Oct 18, 2022",GSW vs. LAL,W,33,33,6,7,4,1,4
