GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 16, 2023",CHI vs. MIL,L,4,5,1,0,0,1,0
"Feb 06, 2023",CHI vs. SAS,W,4,2,0,0,0,0,0
"Jan 19, 2023",CHI @ DET,W,1,0,0,0,0,0,0
"Dec 18, 2022",CHI @ MIN,L,2,0,0,0,0,0,0
"Dec 16, 2022",CHI vs. NYK,L,4,2,3,0,0,0,0
"Dec 10, 2022",CHI vs. DAL,W,4,3,0,1,0,0,1
"Nov 30, 2022",CHI @ PHX,L,3,2,1,0,1,0,0
"Nov 16, 2022",CHI @ NOP,L,2,3,1,0,0,0,0
"Nov 13, 2022",CHI vs. DEN,L,3,2,1,0,0,0,0
"Nov 07, 2022",CHI vs. TOR,W,0,0,1,0,0,0,0
"Oct 24, 2022",CHI vs. BOS,W,2,0,1,0,0,0,0
"Oct 22, 2022",CHI vs. CLE,L,4,0,2,0,0,0,0
