GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",HOU @ LAC,W,40,18,11,10,3,3,3
"Apr 12, 2024",HOU @ POR,W,35,17,15,6,0,0,2
"Apr 11, 2024",HOU @ UTA,L,35,15,10,4,2,0,1
"Apr 09, 2024",HOU vs. ORL,W,38,13,8,4,2,1,4
"Apr 07, 2024",HOU @ DAL,L,8,5,3,3,0,0,0
"Apr 04, 2024",HOU vs. GSW,L,30,8,4,1,1,0,2
"Apr 02, 2024",HOU @ MIN,L,25,9,9,4,3,0,0
"Mar 31, 2024",HOU vs. DAL,L,20,8,7,1,2,0,1
"Mar 29, 2024",HOU @ UTA,W,40,18,14,5,2,1,3
"Mar 27, 2024",HOU @ OKC,W,39,25,15,4,1,0,1
"Mar 25, 2024",HOU vs. POR,W,28,12,9,2,1,1,1
"Mar 23, 2024",HOU vs. UTA,W,30,4,10,6,1,0,2
"Mar 21, 2024",HOU vs. CHI,W,26,15,8,3,1,0,1
"Mar 19, 2024",HOU @ WAS,W,32,25,10,2,0,1,2
"Mar 16, 2024",HOU vs. CLE,W,26,18,8,0,1,0,1
"Mar 14, 2024",HOU vs. WAS,W,28,20,11,4,3,0,1
"Mar 12, 2024",HOU @ SAS,W,23,6,4,2,1,0,1
"Mar 10, 2024",HOU @ SAC,W,20,13,5,0,0,0,2
"Mar 08, 2024",HOU @ POR,W,26,16,8,3,2,5,1
"Mar 06, 2024",HOU vs. LAC,L,18,6,3,2,1,0,0
"Mar 05, 2024",HOU vs. SAS,W,19,2,6,1,1,2,1
"Mar 02, 2024",HOU @ PHX,W,21,9,5,3,4,0,0
"Feb 29, 2024",HOU @ PHX,L,10,0,4,0,2,0,1
"Feb 27, 2024",HOU @ OKC,L,17,2,8,0,0,1,2
"Feb 25, 2024",HOU vs. OKC,L,21,6,6,1,2,3,1
"Feb 23, 2024",HOU vs. PHX,W,33,15,10,2,1,2,0
"Feb 22, 2024",HOU @ NOP,L,28,22,5,4,0,3,3
"Feb 14, 2024",HOU @ MEM,L,34,19,12,2,2,1,2
"Feb 12, 2024",HOU vs. NYK,W,38,8,13,5,5,0,3
"Feb 10, 2024",HOU @ ATL,L,33,12,11,3,1,0,2
"Feb 09, 2024",HOU @ TOR,L,32,8,9,4,1,0,6
"Feb 06, 2024",HOU @ IND,L,34,13,13,6,0,3,3
"Feb 04, 2024",HOU @ MIN,L,20,8,7,2,1,0,0
"Feb 02, 2024",HOU vs. TOR,W,24,19,7,4,2,1,2
"Jan 31, 2024",HOU vs. NOP,L,17,10,6,0,1,0,0
"Jan 29, 2024",HOU vs. LAL,W,12,0,7,3,1,0,5
"Jan 27, 2024",HOU @ BKN,L,15,5,4,2,3,2,2
"Jan 26, 2024",HOU @ CHA,W,23,13,6,8,2,0,1
"Jan 24, 2024",HOU vs. POR,L,14,6,3,2,0,1,0
"Jan 21, 2024",HOU vs. BOS,L,32,15,14,5,1,0,2
"Jan 20, 2024",HOU vs. UTA,W,18,6,8,2,2,2,0
"Jan 17, 2024",HOU @ NYK,L,10,4,1,1,1,2,0
"Jan 15, 2024",HOU @ PHI,L,19,14,3,0,1,0,1
"Jan 13, 2024",HOU @ BOS,L,25,10,10,3,3,0,4
"Jan 12, 2024",HOU @ DET,W,8,2,1,2,1,0,0
"Jan 10, 2024",HOU @ CHI,L,14,6,2,3,1,0,2
"Jan 08, 2024",HOU @ MIA,L,11,5,2,1,1,1,2
"Jan 06, 2024",HOU vs. MIL,W,16,4,3,5,0,0,1
"Jan 05, 2024",HOU vs. MIN,L,20,6,6,1,3,0,2
"Jan 03, 2024",HOU vs. BKN,W,20,10,6,1,0,0,1
"Jan 01, 2024",HOU vs. DET,W,28,12,4,6,2,0,2
"Dec 29, 2023",HOU vs. PHI,L,9,1,3,1,0,0,0
"Dec 27, 2023",HOU vs. PHX,L,17,2,4,3,0,1,0
"Dec 26, 2023",HOU vs. IND,L,12,7,4,0,2,0,1
"Dec 23, 2023",HOU @ NOP,W,10,2,0,0,1,0,0
"Dec 22, 2023",HOU vs. DAL,W,22,9,6,4,1,0,3
"Dec 20, 2023",HOU vs. ATL,L,8,2,2,0,0,0,0
"Dec 11, 2023",HOU vs. SAS,W,10,2,5,1,0,0,0
"Nov 01, 2023",HOU vs. CHA,W,13,4,1,1,1,0,1
"Oct 29, 2023",HOU vs. GSW,L,20,9,4,0,1,0,0
"Oct 27, 2023",HOU @ SAS,L,13,4,1,3,0,1,1
"Oct 25, 2023",HOU @ ORL,L,21,8,5,2,0,0,4
