GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 14, 2024",MIN vs. PHX,L,35,13,6,4,1,1,5
"Apr 12, 2024",MIN vs. ATL,W,27,14,4,4,2,0,3
"Apr 10, 2024",MIN @ DEN,L,35,25,2,4,0,0,1
"Apr 09, 2024",MIN vs. WAS,W,38,51,6,7,0,0,2
"Apr 07, 2024",MIN @ LAL,W,35,26,1,8,1,0,1
"Apr 05, 2024",MIN @ PHX,L,33,17,8,3,3,0,4
"Apr 03, 2024",MIN vs. TOR,W,30,28,3,6,2,0,0
"Apr 02, 2024",MIN vs. HOU,W,36,21,5,3,2,0,3
"Mar 31, 2024",MIN vs. CHI,L,36,22,11,5,0,1,6
"Mar 29, 2024",MIN @ DEN,W,39,25,4,5,3,0,2
"Mar 27, 2024",MIN vs. DET,W,29,9,3,5,1,0,3
"Mar 24, 2024",MIN vs. GSW,W,38,23,6,8,0,0,2
"Mar 22, 2024",MIN vs. CLE,W,35,16,13,5,0,0,3
"Mar 19, 2024",MIN vs. DEN,L,38,30,8,8,2,0,3
"Mar 18, 2024",MIN @ UTA,W,38,32,7,8,1,2,3
"Mar 16, 2024",MIN @ UTA,W,35,31,10,5,3,3,4
"Mar 12, 2024",MIN @ LAC,W,37,37,8,4,1,0,2
"Mar 10, 2024",MIN @ LAL,L,40,25,7,7,2,2,3
"Mar 08, 2024",MIN @ CLE,L,42,19,5,3,1,1,5
"Mar 07, 2024",MIN @ IND,W,39,44,6,3,2,2,0
"Mar 04, 2024",MIN vs. POR,W,35,13,4,6,1,0,2
"Mar 03, 2024",MIN vs. LAC,L,37,27,5,2,3,0,3
"Mar 01, 2024",MIN vs. SAC,L,19,11,2,2,0,1,1
"Feb 28, 2024",MIN vs. MEM,W,40,34,2,4,0,1,3
"Feb 27, 2024",MIN vs. SAS,W,33,34,5,5,4,1,4
"Feb 24, 2024",MIN vs. BKN,W,38,29,8,3,2,1,1
"Feb 23, 2024",MIN vs. MIL,L,38,28,9,5,1,0,3
"Feb 15, 2024",MIN @ POR,W,33,34,6,7,2,1,1
"Feb 13, 2024",MIN @ POR,W,34,41,4,2,2,1,2
"Feb 12, 2024",MIN @ LAC,W,32,23,7,8,1,0,1
"Feb 08, 2024",MIN @ MIL,W,36,26,3,9,1,0,0
"Feb 06, 2024",MIN @ CHI,L,44,38,12,5,2,1,5
"Feb 04, 2024",MIN vs. HOU,W,34,32,6,1,1,1,4
"Feb 02, 2024",MIN vs. ORL,L,35,22,1,5,1,0,3
"Jan 31, 2024",MIN vs. DAL,W,30,9,5,5,0,0,2
"Jan 29, 2024",MIN @ OKC,W,40,27,4,4,1,0,4
