GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 07, 2024",CHI @ ORL,L,36,14,5,4,2,2,5
"Apr 05, 2024",CHI vs. NYK,W,39,24,6,5,2,0,4
"Apr 01, 2024",CHI vs. ATL,L,36,15,3,1,1,0,1
"Mar 31, 2024",CHI @ MIN,W,36,13,3,6,2,0,1
"Mar 29, 2024",CHI @ BKN,L,32,16,3,3,0,0,0
"Mar 27, 2024",CHI vs. IND,W,34,17,3,4,0,2,2
"Mar 25, 2024",CHI vs. WAS,L,34,12,2,3,0,0,2
"Mar 23, 2024",CHI vs. BOS,L,40,14,2,4,2,0,1
"Mar 21, 2024",CHI @ HOU,L,39,35,2,2,3,0,2
"Mar 18, 2024",CHI vs. POR,W,39,23,1,10,1,0,2
"Mar 16, 2024",CHI vs. WAS,W,41,34,3,9,1,0,1
"Mar 14, 2024",CHI vs. LAC,L,35,7,4,4,0,0,3
"Mar 13, 2024",CHI @ IND,W,43,20,4,3,0,2,2
"Mar 11, 2024",CHI vs. DAL,L,29,9,8,6,1,1,2
"Mar 09, 2024",CHI @ LAC,L,36,13,2,4,2,1,1
"Mar 07, 2024",CHI @ GSW,W,38,14,3,6,0,2,2
"Mar 06, 2024",CHI @ UTA,W,36,8,2,9,1,0,2
"Mar 04, 2024",CHI @ SAC,W,39,20,2,5,1,0,0
"Mar 01, 2024",CHI vs. MIL,L,38,15,5,6,0,0,3
"Feb 28, 2024",CHI vs. CLE,W,48,21,3,4,1,1,4
"Feb 27, 2024",CHI vs. DET,L,38,8,6,6,3,0,2
"Feb 25, 2024",CHI @ NOP,W,39,21,3,8,3,0,1
"Feb 22, 2024",CHI vs. BOS,L,41,14,8,8,1,0,2
"Feb 14, 2024",CHI @ CLE,L,33,12,4,2,0,0,3
"Feb 12, 2024",CHI @ ATL,W,39,29,2,7,1,1,2
"Feb 10, 2024",CHI @ ORL,L,39,19,2,2,1,0,1
"Feb 08, 2024",CHI @ MEM,W,27,10,0,2,0,0,2
"Feb 06, 2024",CHI vs. MIN,W,29,6,1,3,1,2,2
"Feb 03, 2024",CHI vs. SAC,L,39,18,4,5,2,0,2
"Jan 31, 2024",CHI @ CHA,W,39,16,1,6,3,1,1
"Jan 30, 2024",CHI vs. TOR,L,39,21,5,2,0,1,4
"Jan 28, 2024",CHI @ POR,W,33,11,5,3,0,3,1
"Jan 25, 2024",CHI @ LAL,L,30,18,2,1,2,1,2
"Jan 22, 2024",CHI @ PHX,L,30,13,1,0,2,1,1
"Jan 20, 2024",CHI vs. MEM,W,28,20,6,4,1,1,3
"Jan 18, 2024",CHI @ TOR,W,32,10,1,5,0,1,0
"Jan 15, 2024",CHI @ CLE,L,19,10,3,3,0,0,0
"Jan 13, 2024",CHI @ SAS,W,29,21,2,4,1,0,2
"Jan 12, 2024",CHI vs. GSW,L,17,6,0,0,0,0,3
"Jan 10, 2024",CHI vs. HOU,W,18,8,4,3,0,0,0
"Jan 08, 2024",CHI @ CHA,W,18,6,1,2,0,1,1
"Jan 05, 2024",CHI vs. CHA,W,40,12,5,4,1,2,0
"Jan 03, 2024",CHI @ NYK,L,31,7,4,4,0,2,0
"Jan 02, 2024",CHI @ PHI,L,32,15,3,0,1,0,3
"Dec 30, 2023",CHI vs. PHI,W,29,6,3,2,0,1,0
"Dec 28, 2023",CHI vs. IND,L,33,15,5,3,0,0,0
"Dec 26, 2023",CHI vs. ATL,W,35,19,7,4,3,0,0
"Dec 23, 2023",CHI vs. CLE,L,20,4,3,1,0,0,1
"Dec 21, 2023",CHI vs. SAS,W,26,11,2,0,1,0,0
"Dec 20, 2023",CHI vs. LAL,W,22,14,2,1,2,2,1
"Dec 18, 2023",CHI @ PHI,W,19,4,4,1,1,1,2
"Dec 16, 2023",CHI @ MIA,L,41,8,4,3,2,1,2
"Dec 14, 2023",CHI @ MIA,W,35,24,8,5,1,0,0
"Dec 12, 2023",CHI vs. DEN,L,38,9,3,3,0,1,2
"Dec 11, 2023",CHI @ MIL,L,26,0,0,0,0,0,0
"Dec 08, 2023",CHI @ SAS,W,26,4,3,3,1,0,0
"Dec 06, 2023",CHI vs. CHA,W,22,8,2,2,1,0,4
"Dec 02, 2023",CHI vs. NOP,W,33,15,0,3,2,0,2
"Nov 30, 2023",CHI vs. MIL,W,39,14,6,6,3,0,2
"Nov 28, 2023",CHI @ BOS,L,24,10,0,2,1,0,0
"Nov 26, 2023",CHI @ BKN,L,14,5,2,2,0,0,1
"Nov 24, 2023",CHI @ TOR,L,13,2,1,1,1,0,0
"Nov 22, 2023",CHI @ OKC,L,21,11,2,2,1,1,2
"Nov 20, 2023",CHI vs. MIA,L,12,6,2,1,0,0,0
"Nov 18, 2023",CHI vs. MIA,W,13,2,1,2,0,0,1
"Nov 17, 2023",CHI vs. ORL,L,14,0,2,1,0,0,0
"Nov 15, 2023",CHI vs. ORL,L,18,5,2,2,0,0,1
"Nov 13, 2023",CHI @ MIL,L,26,5,2,1,0,0,1
"Nov 12, 2023",CHI vs. DET,W,27,13,1,3,3,0,0
"Nov 08, 2023",CHI vs. PHX,L,10,2,3,1,0,0,1
"Nov 06, 2023",CHI vs. UTA,W,16,8,1,0,0,0,1
"Nov 01, 2023",CHI @ DAL,L,11,8,1,1,0,0,0
"Oct 30, 2023",CHI @ IND,W,10,0,1,0,1,1,0
"Oct 28, 2023",CHI @ DET,L,15,5,3,3,0,0,0
"Oct 27, 2023",CHI vs. TOR,W,11,4,1,0,0,0,0
"Oct 25, 2023",CHI vs. OKC,L,9,8,0,1,1,0,1
